AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
601.0	41.875	0.61813426	6304.9697	33941
222.75	297.0	0.61813426	6304.9697	33941
404.0	313.0	0.61813426	6304.9697	33941
478.5	465.0	0.61813426	6304.9697	33941
232.75	249.0	0.61813426	6304.9697	33941
294.0	349.0	-0.61813426	6304.9697	33941
964.0	456.0	0.61813426	6304.9697	33941
590.5	556.0	-0.61813426	6304.9697	33941
564.0	388.0	0.61813426	6304.9697	33941
261.75	198.5	0.61813426	6304.9697	33941
417.75	413.0	0.61813426	6304.9697	33941
221.0	114.25	-0.61813426	6304.9697	33941
445.25	443.0	-0.61813426	6304.9697	33941
512.0	498.0	0.61813426	6304.9697	33941
396.5	387.0	0.61813426	6304.9697	33941
701.0	714.0	0.61813426	6304.9697	33941
376.75	416.0	0.61813426	6304.9697	33941
537.5	572.0	0.61813426	6304.9697	33941
524.5	490.0	0.61813426	6304.9697	33941
376.5	328.0	0.61813426	6304.9697	33941
444.25	485.0	0.61813426	6304.9697	33941
233.875	256.0	0.61813426	6304.9697	33941
777.0	716.0	0.61813426	6304.9697	33941
464.0	475.0	0.61813426	6304.9697	33941
417.75	441.0	0.61813426	6304.9697	33941
631.0	568.0	-0.61813426	6304.9697	33941
496.25	518.0	0.61813426	6304.9697	33941
319.0	286.0	-0.61813426	6304.9697	33941
220.0	108.75	0.61813426	6304.9697	33941
238.25	204.0	0.61813426	6304.9697	33941
247.875	230.0	0.61813426	6304.9697	33941
240.625	321.0	0.61813426	6304.9697	33941
251.25	326.0	0.61813426	6304.9697	33941
437.0	434.0	0.61813426	6304.9697	33941
585.0	590.0	0.61813426	6304.9697	33941
351.0	305.0	-0.61813426	6304.9697	33941
485.25	465.0	0.61813426	6304.9697	33941
308.25	319.0	0.61813426	6304.9697	33941
548.5	261.0	0.61813426	6304.9697	33941
379.25	426.0	0.61813426	6304.9697	33941
319.0	354.0	0.61813426	6304.9697	33941
400.75	376.0	0.61813426	6304.9697	33941
818.0	828.0	0.61813426	6304.9697	33941
637.5	640.0	0.61813426	6304.9697	33941
217.0	272.0	0.61813426	6304.9697	33941
447.75	460.0	0.61813426	6304.9697	33941
545.0	498.0	-0.61813426	6304.9697	33941
780.0	828.0	0.61813426	6304.9697	33941
393.5	407.0	0.61813426	6304.9697	33941
247.0	263.0	0.61813426	6304.9697	33941
678.5	670.0	-0.61813426	6304.9697	33941
231.25	101.0	0.61813426	6304.9697	33941
597.0	612.0	0.61813426	6304.9697	33941
1152.0	1036.0	0.61813426	6304.9697	33941
722.0	502.0	0.61813426	6304.9697	33941
393.25	357.0	0.61813426	6304.9697	33941
612.0	702.0	0.61813426	6304.9697	33941
397.0	503.0	0.61813426	6304.9697	33941
458.0	471.0	0.61813426	6304.9697	33941
461.75	156.5	0.61813426	6304.9697	33941
367.5	215.5	-0.61813426	6304.9697	33941
541.0	300.0	0.61813426	6304.9697	33941
387.5	424.0	0.61813426	6304.9697	33941
381.75	337.0	0.61813426	6304.9697	33941
436.0	421.0	0.61813426	6304.9697	33941
666.0	646.0	-0.61813426	6304.9697	33941
464.75	448.0	0.61813426	6304.9697	33941
