AK8_pt	Gent_pt	Flag	genWeights	sumWeight	N_exp
204.5	181.5	c	0.49554962	256276.42	35563
742.5	728.0	a	0.49554962	256276.42	35563
447.0	405.0		0.49554962	256276.42	35563
468.75	594.0	a	0.49554962	256276.42	35563
491.75	441.0	a	0.49554962	256276.42	35563
843.5	730.0	d	0.49554962	256276.42	35563
861.0	840.0	a	0.49554962	256276.42	35563
214.375	209.0		-0.49554962	256276.42	35563
226.5	243.5		0.49554962	256276.42	35563
355.0	413.0		0.49554962	256276.42	35563
570.5	544.0	a	0.49554962	256276.42	35563
273.25	228.5		-0.49554962	256276.42	35563
313.5	393.0	a	0.49554962	256276.42	35563
275.5	272.0	b	0.49554962	256276.42	35563
250.875	214.5		0.49554962	256276.42	35563
316.75	322.0		0.49554962	256276.42	35563
461.0	441.0	a	-0.49554962	256276.42	35563
293.75	296.0	b	0.49554962	256276.42	35563
367.75	354.0		-0.49554962	256276.42	35563
293.0	321.0		0.49554962	256276.42	35563
899.5	828.0	a	0.49554962	256276.42	35563
306.0	270.0	b	0.49554962	256276.42	35563
488.75	554.0	a	0.49554962	256276.42	35563
248.5	244.5		0.49554962	256276.42	35563
315.25	320.0		0.49554962	256276.42	35563
403.75	433.0	b	-0.49554962	256276.42	35563
336.25	373.0	a	0.49554962	256276.42	35563
632.0	614.0		0.49554962	256276.42	35563
322.5	279.0		0.49554962	256276.42	35563
607.0	612.0	a	0.49554962	256276.42	35563
664.5	612.0	a	0.49554962	256276.42	35563
272.0	246.5		0.49554962	256276.42	35563
431.0	369.0		-0.49554962	256276.42	35563
373.5	400.0	a	0.49554962	256276.42	35563
200.625	192.5	c	0.49554962	256276.42	35563
587.5	606.0	a	0.49554962	256276.42	35563
396.25	441.0	b	0.49554962	256276.42	35563
418.5	398.0		0.49554962	256276.42	35563
357.5	324.0		0.49554962	256276.42	35563
611.0	574.0		0.49554962	256276.42	35563
466.0	428.0	a	-0.49554962	256276.42	35563
391.75	277.0	b	0.49554962	256276.42	35563
