lep_pt	genWeights	sumWeight	N_exp
137.15073	0.49554962	161032.83	35563
287.59918	0.49554962	161032.83	35563
346.98193	0.49554962	161032.83	35563
219.28877	0.49554962	161032.83	35563
242.4287	0.49554962	161032.83	35563
95.93136	0.49554962	161032.83	35563
62.824596	0.49554962	161032.83	35563
140.6458	0.49554962	161032.83	35563
244.80093	-0.49554962	161032.83	35563
450.1823	0.49554962	161032.83	35563
121.88938	0.49554962	161032.83	35563
67.75351	0.49554962	161032.83	35563
143.09795	0.49554962	161032.83	35563
61.558987	0.49554962	161032.83	35563
88.17694	0.49554962	161032.83	35563
92.33501	0.49554962	161032.83	35563
125.3931	-0.49554962	161032.83	35563
97.17166	0.49554962	161032.83	35563
242.95525	0.49554962	161032.83	35563
479.32382	0.49554962	161032.83	35563
100.57603	0.49554962	161032.83	35563
68.97718	0.49554962	161032.83	35563
155.36075	-0.49554962	161032.83	35563
61.345875	0.49554962	161032.83	35563
76.67175	0.49554962	161032.83	35563
307.6052	-0.49554962	161032.83	35563
238.82404	0.49554962	161032.83	35563
271.95844	0.49554962	161032.83	35563
121.43429	-0.49554962	161032.83	35563
154.42157	0.49554962	161032.83	35563
166.86308	0.49554962	161032.83	35563
304.59497	-0.49554962	161032.83	35563
215.46638	0.49554962	161032.83	35563
184.0293	-0.49554962	161032.83	35563
205.01273	0.49554962	161032.83	35563
63.272858	-0.49554962	161032.83	35563
272.2602	0.49554962	161032.83	35563
218.35736	0.49554962	161032.83	35563
204.90154	0.49554962	161032.83	35563
58.62074	-0.49554962	161032.83	35563
189.4395	0.49554962	161032.83	35563
343.4996	-0.49554962	161032.83	35563
178.4942	0.49554962	161032.83	35563
173.18988	0.49554962	161032.83	35563
96.25771	0.49554962	161032.83	35563
48.55244	0.49554962	161032.83	35563
123.24967	0.49554962	161032.83	35563
86.15413	0.49554962	161032.83	35563
301.0969	0.49554962	161032.83	35563
214.25505	0.49554962	161032.83	35563
59.310112	0.49554962	161032.83	35563
380.04697	0.49554962	161032.83	35563
81.61977	0.49554962	161032.83	35563
124.69681	0.49554962	161032.83	35563
139.98479	0.49554962	161032.83	35563
414.32285	-0.49554962	161032.83	35563
463.5325	0.49554962	161032.83	35563
303.4552	0.49554962	161032.83	35563
