AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
325.5	337.0	0.49554962	206732.34	35563
449.75	471.0	0.49554962	206732.34	35563
917.0	880.0	0.49554962	206732.34	35563
898.0	834.0	0.49554962	206732.34	35563
366.5	396.0	0.49554962	206732.34	35563
239.0	291.0	0.49554962	206732.34	35563
268.25	247.5	-0.49554962	206732.34	35563
334.5	157.0	-0.49554962	206732.34	35563
307.0	323.0	-0.49554962	206732.34	35563
714.0	616.0	-0.49554962	206732.34	35563
275.0	281.0	0.49554962	206732.34	35563
315.75	368.0	0.49554962	206732.34	35563
265.25	322.0	-0.49554962	206732.34	35563
588.0	578.0	0.49554962	206732.34	35563
536.5	552.0	0.49554962	206732.34	35563
471.0	421.0	0.49554962	206732.34	35563
442.75	183.5	0.49554962	206732.34	35563
267.25	330.0	0.49554962	206732.34	35563
240.0	218.0	0.49554962	206732.34	35563
345.5	369.0	0.49554962	206732.34	35563
524.0	472.0	0.49554962	206732.34	35563
429.75	467.0	-0.49554962	206732.34	35563
489.0	445.0	0.49554962	206732.34	35563
453.25	462.0	-0.49554962	206732.34	35563
300.25	128.5	0.49554962	206732.34	35563
795.5	726.0	0.49554962	206732.34	35563
469.25	518.0	-0.49554962	206732.34	35563
322.0	341.0	0.49554962	206732.34	35563
422.75	425.0	0.49554962	206732.34	35563
281.5	255.0	0.49554962	206732.34	35563
528.5	443.0	0.49554962	206732.34	35563
367.75	358.0	0.49554962	206732.34	35563
337.5	276.0	0.49554962	206732.34	35563
246.875	248.0	0.49554962	206732.34	35563
676.5	654.0	0.49554962	206732.34	35563
415.5	468.0	0.49554962	206732.34	35563
734.0	684.0	0.49554962	206732.34	35563
441.0	198.0	0.49554962	206732.34	35563
220.625	202.0	0.49554962	206732.34	35563
480.0	75.5	0.49554962	206732.34	35563
209.125	330.0	0.49554962	206732.34	35563
250.75	269.0	-0.49554962	206732.34	35563
349.75	213.0	-0.49554962	206732.34	35563
313.75	254.0	-0.49554962	206732.34	35563
296.25	268.0	0.49554962	206732.34	35563
527.5	518.0	0.49554962	206732.34	35563
340.5	370.0	-0.49554962	206732.34	35563
382.5	347.0	0.49554962	206732.34	35563
542.5	530.0	0.49554962	206732.34	35563
247.125	418.0	0.49554962	206732.34	35563
229.375	221.0	-0.49554962	206732.34	35563
414.25	372.0	0.49554962	206732.34	35563
412.25	390.0	0.49554962	206732.34	35563
492.0	489.0	0.49554962	206732.34	35563
327.25	338.0	0.49554962	206732.34	35563
428.25	397.0	0.49554962	206732.34	35563
466.75	646.0	0.49554962	206732.34	35563
611.5	366.0	0.49554962	206732.34	35563
404.25	385.0	0.49554962	206732.34	35563
296.5	385.0	0.49554962	206732.34	35563
404.5	417.0	0.49554962	206732.34	35563
395.0	377.0	-0.49554962	206732.34	35563
459.75	458.0	0.49554962	206732.34	35563
401.0	397.0	0.49554962	206732.34	35563
299.25	118.0	0.49554962	206732.34	35563
417.75	468.0	0.49554962	206732.34	35563
517.0	485.0	0.49554962	206732.34	35563
444.75	469.0	-0.49554962	206732.34	35563
406.5	440.0	0.49554962	206732.34	35563
303.5	368.0	0.49554962	206732.34	35563
248.125	254.5	0.49554962	206732.34	35563
242.625	334.0	-0.49554962	206732.34	35563
529.5	466.0	-0.49554962	206732.34	35563
414.0	400.0	-0.49554962	206732.34	35563
507.5	514.0	-0.49554962	206732.34	35563
291.5	286.0	-0.49554962	206732.34	35563
287.25	300.0	0.49554962	206732.34	35563
331.75	335.0	0.49554962	206732.34	35563
387.5	414.0	0.49554962	206732.34	35563
511.25	542.0	-0.49554962	206732.34	35563
299.75	300.0	0.49554962	206732.34	35563
389.0	249.5	0.49554962	206732.34	35563
553.0	544.0	0.49554962	206732.34	35563
272.0	99.5	0.49554962	206732.34	35563
297.5	259.0	-0.49554962	206732.34	35563
1017.5	411.0	0.49554962	206732.34	35563
394.5	410.0	0.49554962	206732.34	35563
367.5	328.0	0.49554962	206732.34	35563
465.5	411.0	-0.49554962	206732.34	35563
508.75	574.0	0.49554962	206732.34	35563
422.0	438.0	0.49554962	206732.34	35563
808.5	578.0	0.49554962	206732.34	35563
352.0	349.0	0.49554962	206732.34	35563
314.25	291.0	0.49554962	206732.34	35563
232.25	229.5	0.49554962	206732.34	35563
349.25	354.0	-0.49554962	206732.34	35563
350.25	418.0	0.49554962	206732.34	35563
464.0	456.0	0.49554962	206732.34	35563
250.125	275.0	-0.49554962	206732.34	35563
341.25	195.5	0.49554962	206732.34	35563
371.75	305.0	0.49554962	206732.34	35563
