lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
69.155075	294.5	181.46875	108.375	0.59069765	147.0	2.8689086	23430.375	29118
80.63487	357.25	117.6875	117.6875	0.5099698	129.875	-2.8689086	23430.375	29118
71.030685	604.0	164.75	164.75	0.4385612	204.375	-2.8689086	23430.375	29118
75.21319	255.5	77.6875	52.53125	0.74172187	90.5625	2.8689086	23430.375	29118
149.9187	688.0	158.75	85.3125	0.5244089	219.5	-2.8689086	23430.375	29118
148.28171	274.5	97.28125	38.71875	0.5248296	135.5	-2.8689086	23430.375	29118
39.371174	294.5	63.59375	63.59375	0.8597599	96.4375	2.8689086	23430.375	29118
81.07199	248.75	114.40625	65.125	0.3767288	99.5625	2.8689086	23430.375	29118
127.15069	441.5	52.40625	52.40625	0.44159955	195.0	2.8689086	23430.375	29118
194.90514	578.5	135.5	109.0	0.7642436	164.75	-2.8689086	23430.375	29118
63.66662	409.25	116.5625	116.5625	0.34115675	187.375	-2.8689086	23430.375	29118
77.994896	337.5	85.6875	85.6875	0.87704486	130.5	-2.8689086	23430.375	29118
126.51392	453.5	110.84375	53.46875	0.4700984	176.875	-2.8689086	23430.375	29118
51.27541	440.5	34.875	34.875	0.35105702	156.25	-2.8689086	23430.375	29118
221.75937	574.5	110.453125	80.625	0.9064706	126.9375	-2.8689086	23430.375	29118
127.23981	247.875	121.75	65.1875	0.8084061	75.0	-2.8689086	23430.375	29118
167.03119	409.0	124.125	124.125	0.68628407	161.5	-2.8689086	23430.375	29118
30.482368	358.25	38.875	38.875	0.76246333	128.875	2.8689086	23430.375	29118
42.180626	246.25	42.25	42.25	0.84842193	75.0	2.8689086	23430.375	29118
40.294666	350.5	331.25	108.625	0.43209377	168.5	2.8689086	23430.375	29118
99.17725	468.75	167.625	167.625	0.4987677	210.625	-2.8689086	23430.375	29118
103.17723	284.0	88.875	49.625	0.8307087	87.9375	-2.8689086	23430.375	29118
302.48102	273.0	349.1875	153.75	0.7227513	100.125	2.8689086	23430.375	29118
35.655067	497.75	115.0625	115.0625	0.3588889	186.375	2.8689086	23430.375	29118
127.168755	352.0	217.875	110.8125	0.5348513	139.875	-2.8689086	23430.375	29118
