lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
63.228367	322.5	138.625	138.625	0.78847927	129.0	0.61813426	9132.316	33941
99.731155	419.75	144.98438	118.0625	0.7662142	126.3125	-0.61813426	9132.316	33941
105.772446	434.5	128.09375	88.25	0.6651211	179.125	-0.61813426	9132.316	33941
127.7877	639.0	84.8125	84.8125	0.49010655	174.375	-0.61813426	9132.316	33941
203.10062	552.5	198.40625	143.125	0.60084033	237.25	0.61813426	9132.316	33941
151.6764	331.5	137.6875	79.375	0.47798914	166.625	0.61813426	9132.316	33941
44.89885	332.75	115.5	115.5	0.613959	89.9375	0.61813426	9132.316	33941
126.26432	423.5	131.625	131.625	0.6349874	172.0	0.61813426	9132.316	33941
220.27452	300.75	196.28125	103.75	0.8532934	10.6875	0.61813426	9132.316	33941
204.59033	667.5	119.9375	119.9375	0.612748	188.875	0.61813426	9132.316	33941
36.509563	212.75	236.0625	135.625	0.5145119	104.625	-0.61813426	9132.316	33941
95.51498	329.25	91.359375	65.9375	0.6258206	72.6875	0.61813426	9132.316	33941
128.13742	664.0	88.125	88.125	0.54775995	202.0	0.61813426	9132.316	33941
112.657036	614.0	167.5625	111.8125	0.5289907	82.8125	-0.61813426	9132.316	33941
248.1724	535.5	188.0	116.4375	0.6737013	134.875	0.61813426	9132.316	33941
88.68837	475.0	256.59375	111.5	0.54889846	165.0	0.61813426	9132.316	33941
108.430855	259.5	100.9375	61.34375	0.6925754	101.6875	0.61813426	9132.316	33941
117.33004	627.0	169.125	169.125	0.43074173	239.25	0.61813426	9132.316	33941
25.31466	705.0	90.8125	61.75	0.44064486	187.125	0.61813426	9132.316	33941
80.18874	240.25	214.4375	114.8125	0.8545164	101.3125	0.61813426	9132.316	33941
95.939896	668.0	178.875	178.875	0.34235808	176.75	0.61813426	9132.316	33941
253.48102	632.5	110.25	69.3125	0.79346406	79.625	-0.61813426	9132.316	33941
185.9026	290.5	52.21875	52.21875	0.79611653	105.1875	0.61813426	9132.316	33941
155.76971	293.75	144.0	144.0	0.8746531	99.6875	0.61813426	9132.316	33941
220.04741	593.5	117.6875	59.34375	0.53920484	2.4863281	0.61813426	9132.316	33941
30.048613	400.0	100.0625	61.46875	0.78504235	89.5625	0.61813426	9132.316	33941
52.690907	688.0	214.82812	189.0	0.86934674	217.0	0.61813426	9132.316	33941
99.91738	462.5	106.1875	106.1875	0.5645299	174.625	0.61813426	9132.316	33941
55.4096	388.75	246.0	141.5	0.852292	139.875	0.61813426	9132.316	33941
270.99054	597.0	157.125	157.125	0.90555555	10.3359375	0.61813426	9132.316	33941
30.16872	346.0	25.625	25.625	0.7652838	107.75	0.61813426	9132.316	33941
102.15621	543.0	121.3125	121.3125	0.77182233	147.125	0.61813426	9132.316	33941
55.972256	266.5	116.03125	79.875	0.43683445	119.0	0.61813426	9132.316	33941
208.81738	719.5	130.75	130.75	0.6298518	179.5	0.61813426	9132.316	33941
108.85043	345.5	48.15625	48.15625	0.71648985	137.625	0.61813426	9132.316	33941
93.70635	368.75	216.125	123.6875	0.3240059	152.5	0.61813426	9132.316	33941
122.95605	455.25	77.3125	77.3125	0.7303295	17.109375	0.61813426	9132.316	33941
55.403522	538.0	103.3125	103.3125	0.5347791	146.75	-0.61813426	9132.316	33941
121.19554	289.5	175.125	92.8125	0.35272145	109.125	0.61813426	9132.316	33941
269.8693	430.5	259.75	152.625	0.44048735	206.875	0.61813426	9132.316	33941
