lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
321.489	646.0	27.515625	27.515625	0.49955907	172.25	0.49554962	80409.86	35563
201.26456	854.5	115.5625	59.4375	0.70633185	143.5	0.49554962	80409.86	35563
229.6119	346.25	132.53125	77.8125	0.51963866	127.6875	0.49554962	80409.86	35563
37.442307	272.5	58.96875	58.96875	0.561194	108.4375	0.49554962	80409.86	35563
122.6873	331.25	38.59375	38.59375	0.6258278	96.5625	-0.49554962	80409.86	35563
31.474895	301.25	53.0	53.0	0.64206266	151.875	-0.49554962	80409.86	35563
219.97884	391.5	186.32812	158.5	0.63096625	124.1875	0.49554962	80409.86	35563
96.340996	357.25	208.4375	161.25	0.69903404	172.625	0.49554962	80409.86	35563
360.43515	894.0	33.59375	33.59375	0.60242003	198.0	-0.49554962	80409.86	35563
13.150306	595.0	32.71875	32.71875	0.72664624	198.125	0.49554962	80409.86	35563
73.87675	533.0	98.609375	73.125	0.7299735	132.875	0.49554962	80409.86	35563
228.07312	342.75	67.375	67.375	0.85727787	141.625	0.49554962	80409.86	35563
304.19568	395.0	67.6875	67.6875	0.8861348	108.75	0.49554962	80409.86	35563
117.5205	388.0	178.90625	120.6875	0.7677075	139.375	-0.49554962	80409.86	35563
18.571983	238.5	37.59375	37.59375	0.78149223	82.625	0.49554962	80409.86	35563
16.071545	389.25	275.59375	139.5	0.15427478	155.625	0.49554962	80409.86	35563
123.05413	439.5	104.0625	104.0625	0.43779564	120.25	0.49554962	80409.86	35563
139.9305	434.5	186.6875	141.875	0.62464345	175.75	0.49554962	80409.86	35563
304.847	396.0	160.3125	85.875	0.58225965	89.0625	-0.49554962	80409.86	35563
94.655914	271.25	181.46875	88.8125	0.4220273	126.5625	0.49554962	80409.86	35563
54.712784	429.0	186.75	122.25	0.6716727	168.25	0.49554962	80409.86	35563
118.50784	343.25	54.9375	54.9375	0.3334276	158.375	0.49554962	80409.86	35563
209.95758	270.75	270.25	98.3125	0.6604803	136.375	-0.49554962	80409.86	35563
94.16965	616.5	172.625	105.125	0.70941174	106.625	0.49554962	80409.86	35563
124.77272	415.5	336.125	148.5	0.8195592	159.875	0.49554962	80409.86	35563
74.48798	812.5	51.84375	51.84375	0.7487374	227.0	0.49554962	80409.86	35563
174.81569	655.0	64.0625	64.0625	0.78422713	77.1875	0.49554962	80409.86	35563
391.5196	473.0	118.6875	118.6875	0.45645162	174.75	-0.49554962	80409.86	35563
55.88321	262.0	111.3125	111.3125	0.7037457	113.1875	0.49554962	80409.86	35563
19.26023	394.25	236.34375	119.5	0.863607	86.125	-0.49554962	80409.86	35563
111.86806	322.5	40.9375	40.9375	0.75624424	129.25	-0.49554962	80409.86	35563
118.6127	275.5	85.21875	48.375	0.68122065	111.6875	-0.49554962	80409.86	35563
90.81188	324.75	141.57812	116.0	0.65763277	130.0	0.49554962	80409.86	35563
171.62544	313.25	26.453125	26.453125	0.8613139	59.59375	0.49554962	80409.86	35563
94.00914	241.75	72.125	36.59375	0.6319254	61.875	0.49554962	80409.86	35563
78.37235	453.75	101.0	101.0	0.6012236	120.0625	0.49554962	80409.86	35563
544.1029	658.5	126.0	126.0	0.7682345	122.375	0.49554962	80409.86	35563
377.1495	717.0	82.1875	82.1875	0.64985335	142.75	-0.49554962	80409.86	35563
73.28886	573.5	245.4375	190.875	0.7683081	191.0	0.49554962	80409.86	35563
58.541157	389.5	174.25	100.0	0.42513737	182.125	-0.49554962	80409.86	35563
134.58209	464.25	173.125	173.125	0.5136411	225.0	0.49554962	80409.86	35563
210.59288	487.25	166.4375	95.25	0.6011004	147.375	0.49554962	80409.86	35563
283.0086	363.25	46.21875	46.21875	0.540744	114.75	0.49554962	80409.86	35563
