lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
289.84387	728.5	85.59375	57.21875	0.67147195	238.5	1.0	334320.0	77280
89.603355	429.25	66.6875	66.6875	0.8566038	3.6582031	1.0	334320.0	77280
812.4918	1191.0	61.9375	61.9375	0.75248754	9.53125	1.0	334320.0	77280
194.01735	344.5	63.9375	63.9375	0.67235374	140.5	1.0	334320.0	77280
138.78279	394.75	86.625	86.625	0.4673797	95.375	1.0	334320.0	77280
44.13417	447.0	230.0625	125.3125	0.52859086	150.875	1.0	334320.0	77280
67.11744	408.25	190.25	190.25	0.88801455	168.125	1.0	334320.0	77280
119.83809	430.25	288.3125	120.0	0.53418803	176.125	1.0	334320.0	77280
157.69368	475.25	250.0	250.0	0.63937825	218.25	1.0	334320.0	77280
172.06586	387.0	74.75	74.75	0.7133106	6.608665e-06	1.0	334320.0	77280
82.81701	507.0	108.5625	108.5625	0.8921914	2.0214844	1.0	334320.0	77280
88.28636	454.75	152.875	152.875	0.54362744	177.5	1.0	334320.0	77280
103.505974	598.0	256.9375	208.125	0.8414074	1.40625	1.0	334320.0	77280
128.60689	557.5	85.015625	58.875	0.6147998	125.5625	1.0	334320.0	77280
105.85026	658.5	57.96875	57.96875	0.8587156	123.5	1.0	334320.0	77280
62.073254	539.5	105.4375	105.4375	0.8405337	152.625	1.0	334320.0	77280
103.77909	433.75	180.78125	133.0	0.9454454	3.0742188	1.0	334320.0	77280
100.89692	558.0	88.0625	88.0625	0.7712067	85.0625	1.0	334320.0	77280
116.938614	554.0	81.75	81.75	0.82745594	176.625	1.0	334320.0	77280
113.65899	478.75	105.625	105.625	0.542101	176.0	1.0	334320.0	77280
314.93002	602.5	287.0	287.0	0.61627233	198.0	1.0	334320.0	77280
185.58682	578.5	84.5	84.5	0.7032967	57.03125	1.0	334320.0	77280
216.63887	563.0	215.125	215.125	0.7122929	151.75	1.0	334320.0	77280
60.78963	416.0	92.9375	92.9375	0.79810727	1.9570312	1.0	334320.0	77280
222.92242	524.5	86.75	86.75	0.25727466	165.375	1.0	334320.0	77280
107.90089	575.5	84.25	84.25	0.6793131	300.0	1.0	334320.0	77280
77.84297	331.25	112.9375	112.9375	0.80023366	1.5605469	1.0	334320.0	77280
48.07801	497.5	89.8125	89.8125	0.6895822	159.375	1.0	334320.0	77280
192.20317	427.5	144.125	144.125	0.7186128	202.5	1.0	334320.0	77280
143.89497	485.25	120.59375	75.1875	0.5348083	130.0	1.0	334320.0	77280
65.270515	541.0	101.625	101.625	0.664825	162.25	1.0	334320.0	77280
693.0296	712.0	56.9375	56.9375	0.82203925	117.375	1.0	334320.0	77280
531.21765	730.5	144.25	144.25	0.5262238	204.875	1.0	334320.0	77280
124.75708	425.75	112.3125	112.3125	0.8744916	27.234375	1.0	334320.0	77280
93.629295	326.75	110.9375	110.9375	0.63736266	121.625	1.0	334320.0	77280
162.39394	458.5	88.25	88.25	0.7121758	118.375	1.0	334320.0	77280
139.60376	669.0	114.875	87.9375	0.793161	175.0	1.0	334320.0	77280
361.1039	745.5	94.0625	94.0625	0.38580528	221.5	1.0	334320.0	77280
