lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
85.299126	226.25	145.75	145.75	0.4551346	71.6875	1.0	1161000.0	306360
136.29462	401.0	62.4375	62.4375	0.583378	97.25	1.0	1161000.0	306360
85.60218	263.5	69.9375	69.9375	0.8486005	11.3125	1.0	1161000.0	306360
65.90259	189.875	110.328125	83.5625	0.88325655	-1.0	1.0	1161000.0	306360
64.63679	391.0	128.0	128.0	0.77509433	6.8984375	1.0	1161000.0	306360
95.40669	433.0	203.6875	102.0625	0.5463768	173.75	1.0	1161000.0	306360
52.541676	295.25	75.1875	75.1875	0.53905326	106.5	1.0	1161000.0	306360
24.090897	329.25	155.125	155.125	0.87184286	19.390625	1.0	1161000.0	306360
44.51634	232.0	58.96875	58.96875	0.48142415	124.1875	1.0	1161000.0	306360
136.88988	378.0	139.20312	109.8125	0.8568093	3.1308594	1.0	1161000.0	306360
