lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
111.17643	561.5	88.5625	88.5625	0.875	83.25	2.8689086	358332.44	29118
84.24961	630.5	63.1875	63.1875	0.5838059	179.75	2.8689086	358332.44	29118
135.28201	383.5	127.75	127.75	0.3758055	162.625	2.8689086	358332.44	29118
123.44121	455.0	62.34375	62.34375	0.40559188	166.5	-2.8689086	358332.44	29118
230.61807	315.0	189.125	95.25	0.8206661	103.5	2.8689086	358332.44	29118
114.70314	966.0	184.03125	140.75	0.6729705	26.96875	2.8689086	358332.44	29118
61.390377	434.25	136.375	136.375	0.49781388	196.75	2.8689086	358332.44	29118
131.75352	552.5	66.9375	66.9375	0.45607615	169.125	2.8689086	358332.44	29118
145.95303	474.75	178.25	119.8125	0.48138297	193.875	-2.8689086	358332.44	29118
54.611553	258.5	65.1875	65.1875	0.5621442	118.3125	-2.8689086	358332.44	29118
118.17852	432.75	267.4375	176.125	0.6391239	198.625	-2.8689086	358332.44	29118
196.32506	665.5	110.578125	84.625	0.55037314	123.9375	2.8689086	358332.44	29118
46.546825	513.5	125.6875	125.6875	0.6894236	79.8125	2.8689086	358332.44	29118
179.1643	452.75	91.5	91.5	0.7267408	137.75	2.8689086	358332.44	29118
81.513214	449.0	250.25	156.75	0.44220892	222.25	2.8689086	358332.44	29118
95.97352	318.5	162.375	99.4375	0.4986024	131.25	2.8689086	358332.44	29118
116.332726	712.0	174.0	174.0	0.46561489	185.375	-2.8689086	358332.44	29118
182.95976	434.5	140.375	140.375	0.31690872	183.375	-2.8689086	358332.44	29118
153.88528	363.0	110.3125	110.3125	0.53840125	176.375	2.8689086	358332.44	29118
53.311237	424.75	126.03125	91.4375	0.31607866	180.125	-2.8689086	358332.44	29118
224.64476	353.75	80.625	80.625	0.7710487	75.25	-2.8689086	358332.44	29118
110.96438	519.5	67.875	67.875	0.81174576	187.0	-2.8689086	358332.44	29118
83.45979	371.0	161.90625	116.5	0.43589133	192.75	2.8689086	358332.44	29118
613.5018	742.0	117.125	71.5625	0.8628987	1.4941406	2.8689086	358332.44	29118
112.29783	405.25	109.0	109.0	0.56029963	151.875	2.8689086	358332.44	29118
125.76181	363.0	112.0625	112.0625	0.62511414	173.875	-2.8689086	358332.44	29118
162.51561	388.5	65.1875	65.1875	0.5414508	141.75	2.8689086	358332.44	29118
77.42592	297.5	103.1875	69.625	0.4978852	109.4375	-2.8689086	358332.44	29118
65.13707	265.75	96.3125	96.3125	0.50642055	119.5625	2.8689086	358332.44	29118
