lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
116.71788	339.0	105.3125	76.75	0.954389	131.875	0.61813426	36514.426	33941
232.67088	303.5	169.5625	112.875	0.63010204	141.75	-0.61813426	36514.426	33941
104.959885	409.0	106.625	66.75	0.48613623	181.625	0.61813426	36514.426	33941
273.80057	511.25	98.5	98.5	0.65566623	186.125	0.61813426	36514.426	33941
37.142693	560.0	63.46875	63.46875	0.4888124	167.875	0.61813426	36514.426	33941
68.58819	586.0	159.25	159.25	0.49955156	197.125	0.61813426	36514.426	33941
229.75774	534.5	124.0625	124.0625	0.5806878	120.4375	0.61813426	36514.426	33941
60.55893	711.0	163.25	163.25	0.6748221	191.875	0.61813426	36514.426	33941
112.59609	232.875	113.125	77.75	0.7819642	107.625	0.61813426	36514.426	33941
41.01014	494.25	89.0625	89.0625	0.5940783	195.75	0.61813426	36514.426	33941
52.45154	397.5	128.75	128.75	0.4296452	170.625	0.61813426	36514.426	33941
48.667618	400.5	137.75	137.75	0.700092	172.625	0.61813426	36514.426	33941
170.41862	465.25	137.0	137.0	0.39521712	172.375	0.61813426	36514.426	33941
