lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
138.91869	260.0	89.625	53.0625	0.60084254	90.1875	0.49554962	289486.16	35563
104.20831	359.0	283.3125	163.125	0.91938996	150.5	0.49554962	289486.16	35563
132.72162	324.75	84.8125	84.8125	0.50035137	166.0	0.49554962	289486.16	35563
71.52845	437.5	128.875	128.875	0.36438924	165.5	-0.49554962	289486.16	35563
104.69898	526.0	115.3125	115.3125	0.41738382	187.375	0.49554962	289486.16	35563
147.01598	231.625	59.5625	59.5625	0.75511646	73.0	0.49554962	289486.16	35563
129.57124	394.5	255.40625	130.25	0.70390826	169.375	0.49554962	289486.16	35563
103.459885	403.25	136.5	136.5	0.74763834	168.375	0.49554962	289486.16	35563
57.56964	416.25	145.625	145.625	0.5582822	175.625	0.49554962	289486.16	35563
88.37626	451.5	115.8125	115.8125	0.29312354	159.75	-0.49554962	289486.16	35563
304.63898	596.0	199.1875	105.8125	0.4702925	251.625	0.49554962	289486.16	35563
360.68304	715.0	292.0	292.0	0.38559672	182.375	0.49554962	289486.16	35563
111.38882	340.75	89.3125	89.3125	0.5507559	171.5	0.49554962	289486.16	35563
52.473713	444.5	115.6875	115.6875	0.66736734	170.0	-0.49554962	289486.16	35563
266.31326	435.0	116.1875	116.1875	0.74767804	143.875	0.49554962	289486.16	35563
131.66377	203.375	201.4375	124.6875	0.6221471	67.75	0.49554962	289486.16	35563
183.90361	350.75	172.3125	90.9375	0.3150035	133.875	-0.49554962	289486.16	35563
44.722004	339.75	110.6875	110.6875	0.19364598	173.625	0.49554962	289486.16	35563
256.8194	677.5	268.75	139.0	0.72680414	147.0	0.49554962	289486.16	35563
242.41547	569.0	135.65625	94.5625	0.54850405	151.625	0.49554962	289486.16	35563
391.15213	430.5	100.625	100.625	0.5706583	164.5	0.49554962	289486.16	35563
253.26404	227.625	138.625	88.1875	0.43754676	120.3125	0.49554962	289486.16	35563
41.554314	332.0	79.4375	79.4375	0.59905213	116.6875	0.49554962	289486.16	35563
213.41832	684.0	124.5	124.5	0.82653064	148.75	-0.49554962	289486.16	35563
337.37265	546.0	107.0	107.0	0.24968906	187.125	0.49554962	289486.16	35563
434.24344	617.5	66.125	66.125	0.6689967	208.75	-0.49554962	289486.16	35563
206.00932	540.0	83.625	83.625	0.6754926	185.0	0.49554962	289486.16	35563
314.52567	464.5	248.25	152.625	0.4309429	191.125	0.49554962	289486.16	35563
420.71024	371.5	192.625	126.0625	0.5003737	147.0	-0.49554962	289486.16	35563
70.38932	364.0	112.1875	112.1875	0.60029644	159.875	0.49554962	289486.16	35563
261.9739	427.25	186.375	186.375	0.73910296	204.375	-0.49554962	289486.16	35563
309.09714	322.5	106.6875	106.6875	0.78455514	134.125	-0.49554962	289486.16	35563
300.45508	480.75	87.875	87.875	0.6449563	167.0	0.49554962	289486.16	35563
351.18063	553.5	196.71875	132.75	0.54728466	89.0	0.49554962	289486.16	35563
270.61023	539.0	149.125	149.125	0.29895768	198.0	0.49554962	289486.16	35563
124.66033	345.5	135.5625	102.125	0.66292137	135.375	0.49554962	289486.16	35563
316.75137	302.75	154.4375	93.875	0.4736553	117.375	0.49554962	289486.16	35563
97.96483	313.75	171.6875	131.625	0.65996987	154.5	0.49554962	289486.16	35563
175.58545	480.0	156.125	156.125	0.5684569	181.25	0.49554962	289486.16	35563
217.18016	360.75	75.1875	75.1875	0.6160762	94.125	-0.49554962	289486.16	35563
249.47147	841.5	123.375	123.375	0.3748873	198.875	0.49554962	289486.16	35563
153.89539	509.5	72.375	72.375	0.59782606	164.625	0.49554962	289486.16	35563
96.97548	453.25	314.59375	192.875	0.9136578	159.375	0.49554962	289486.16	35563
129.08406	382.75	261.375	143.375	0.44833782	168.375	0.49554962	289486.16	35563
