lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
107.0172	333.0	215.4375	119.75	0.75855213	129.875	2.8689086	256572.23	29118
72.64784	607.5	69.25	69.25	0.4949128	148.75	2.8689086	256572.23	29118
141.6645	382.0	116.375	90.3125	0.74526876	101.75	2.8689086	256572.23	29118
142.5961	309.0	98.25	51.5	0.76226413	96.6875	-2.8689086	256572.23	29118
115.971794	558.5	28.109375	28.109375	0.8722149	175.375	-2.8689086	256572.23	29118
61.010727	418.5	214.1875	134.75	0.651593	151.125	2.8689086	256572.23	29118
226.74585	965.5	62.9375	62.9375	0.70316845	418.75	-2.8689086	256572.23	29118
113.87252	322.75	95.9375	95.9375	0.8012387	156.5	-2.8689086	256572.23	29118
148.70183	504.0	193.625	112.875	0.8369153	155.25	-2.8689086	256572.23	29118
82.396805	331.5	104.046875	41.65625	0.84225094	101.4375	-2.8689086	256572.23	29118
70.32322	905.5	30.453125	30.453125	0.6255841	147.75	-2.8689086	256572.23	29118
241.95816	346.25	67.296875	41.46875	0.62263465	97.25	-2.8689086	256572.23	29118
