lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
274.6647	325.5	32.40625	32.40625	0.55067265	98.9375	0.49554962	206732.34	35563
197.38692	449.75	218.5	118.4375	0.3637097	159.5	0.49554962	206732.34	35563
338.1563	917.0	45.84375	45.84375	0.56881243	185.125	0.49554962	206732.34	35563
191.10005	898.0	127.9375	64.875	0.38441482	303.0	0.49554962	206732.34	35563
82.28211	366.5	106.5625	70.3125	0.8604651	114.5	0.49554962	206732.34	35563
131.06464	239.0	196.0	103.1875	0.49266246	106.875	0.49554962	206732.34	35563
102.78789	268.25	71.1875	38.3125	0.7466468	63.46875	-0.49554962	206732.34	35563
72.23547	334.5	145.79688	118.5625	0.39320704	169.25	-0.49554962	206732.34	35563
179.20244	307.0	35.0	35.0	0.6790188	116.3125	-0.49554962	206732.34	35563
371.12683	714.0	30.296875	30.296875	0.7076547	161.0	-0.49554962	206732.34	35563
129.89397	275.0	130.0	130.0	0.86212766	104.375	0.49554962	206732.34	35563
123.34767	315.75	73.125	73.125	0.6681736	97.125	0.49554962	206732.34	35563
84.98483	265.25	74.625	74.625	0.68242425	97.25	-0.49554962	206732.34	35563
213.66292	588.0	37.75	37.75	0.42985317	183.25	0.49554962	206732.34	35563
154.41313	536.5	142.5	107.125	0.41339412	161.0	0.49554962	206732.34	35563
81.48087	471.0	223.5625	112.75	0.45930234	206.625	0.49554962	206732.34	35563
100.10004	442.75	73.4375	73.4375	0.53319174	66.8125	0.49554962	206732.34	35563
112.593864	267.25	203.48438	97.875	0.85704833	2.734375	0.49554962	206732.34	35563
141.21532	240.0	56.8125	56.8125	0.7932053	100.8125	0.49554962	206732.34	35563
584.8341	345.5	135.0625	90.4375	0.6298151	98.6875	0.49554962	206732.34	35563
258.04294	524.0	49.84375	49.84375	0.48063242	125.875	0.49554962	206732.34	35563
538.9328	429.75	170.9375	96.1875	0.750928	120.6875	-0.49554962	206732.34	35563
164.64066	489.0	201.6875	123.375	0.74572533	173.0	0.49554962	206732.34	35563
335.29492	453.25	114.4375	75.625	0.43898624	178.75	-0.49554962	206732.34	35563
192.82933	300.25	155.46875	108.5625	0.44357976	137.0	0.49554962	206732.34	35563
641.2315	795.5	94.875	94.875	0.48156956	108.75	0.49554962	206732.34	35563
189.81036	469.25	101.375	101.375	0.22363152	172.125	-0.49554962	206732.34	35563
130.66844	322.0	179.625	104.1875	0.72317594	135.625	0.49554962	206732.34	35563
236.22665	422.75	197.125	197.125	0.63984674	155.875	0.49554962	206732.34	35563
88.112885	281.5	91.9375	91.9375	0.71046376	127.375	0.49554962	206732.34	35563
309.68854	528.5	224.73438	130.25	0.74930674	168.625	0.49554962	206732.34	35563
109.84413	367.75	37.84375	37.84375	0.5852553	114.5625	0.49554962	206732.34	35563
198.5984	337.5	45.9375	45.9375	0.6075096	147.75	0.49554962	206732.34	35563
89.46241	246.875	126.40625	49.1875	0.91000557	92.6875	0.49554962	206732.34	35563
179.11809	676.5	45.6875	45.6875	0.63727057	78.875	0.49554962	206732.34	35563
154.84541	415.5	75.125	75.125	0.8265625	96.875	0.49554962	206732.34	35563
321.85794	734.0	122.75	122.75	0.44800776	163.375	0.49554962	206732.34	35563
96.39884	441.0	201.4375	162.125	0.677256	148.125	0.49554962	206732.34	35563
69.293724	220.625	121.15625	88.1875	0.8707202	64.875	0.49554962	206732.34	35563
189.08589	480.0	209.76562	130.5	0.57316387	150.875	0.49554962	206732.34	35563
93.09613	209.125	171.8125	123.9375	0.9018106	81.9375	0.49554962	206732.34	35563
171.03368	250.75	101.9375	101.9375	0.6262959	96.3125	-0.49554962	206732.34	35563
256.97534	349.75	80.390625	55.0625	0.6568284	98.875	-0.49554962	206732.34	35563
132.98279	313.75	26.421875	26.421875	0.58514774	115.875	-0.49554962	206732.34	35563
245.80507	296.25	30.296875	30.296875	0.9438964	102.9375	0.49554962	206732.34	35563
173.76535	527.5	181.28125	121.8125	0.39092356	175.625	0.49554962	206732.34	35563
123.530426	340.5	71.5	71.5	0.6069519	120.125	-0.49554962	206732.34	35563
84.78202	382.5	170.73438	142.0	0.71086955	62.90625	0.49554962	206732.34	35563
