lep_pt	AK8_pt	H_t	AK4_pt	t32	Msd	genWeights	sumWeight	N_exp
112.59826	205.375	106.5625	106.5625	0.58455235	92.8125	0.005284793	204.75403	415
151.27638	288.75	161.0	124.8125	0.65135133	130.5	0.005284793	204.75403	415
212.44232	343.75	168.71875	105.1875	0.58279127	140.375	0.005284793	204.75403	415
162.99332	235.25	68.734375	39.96875	0.46869564	79.0	0.005284793	204.75403	415
93.86605	332.0	32.5625	32.5625	0.88570166	137.25	0.005284793	204.75403	415
300.58072	504.5	96.375	96.375	0.7044688	174.625	0.005284793	204.75403	415
98.41766	454.25	91.125	91.125	0.38245413	178.0	0.005284793	204.75403	415
276.69345	319.5	89.375	89.375	0.65687025	129.5	-0.005284793	204.75403	415
367.94943	649.0	251.125	251.125	0.6	232.0	0.005284793	204.75403	415
312.81158	481.75	125.75	125.75	0.4570637	172.375	0.005284793	204.75403	415
99.716995	423.25	287.6875	167.5	0.2473583	189.625	0.005284793	204.75403	415
178.37794	497.75	43.3125	43.3125	0.53897685	212.0	-0.005284793	204.75403	415
160.59148	283.75	52.6875	52.6875	0.7254566	115.0	-0.005284793	204.75403	415
223.462	414.5	127.875	80.125	0.5271647	184.5	-0.005284793	204.75403	415
81.65254	249.25	90.625	90.625	0.807822	95.25	0.005284793	204.75403	415
124.09305	396.0	51.125	51.125	0.5934907	136.625	-0.005284793	204.75403	415
397.10074	471.75	206.9375	130.625	0.6580221	78.125	0.005284793	204.75403	415
152.70859	362.25	119.328125	91.25	0.7275729	146.25	0.005284793	204.75403	415
116.06977	228.625	58.3125	58.3125	0.60480094	84.0	0.005284793	204.75403	415
345.12143	511.5	109.125	109.125	0.54303986	142.375	0.005284793	204.75403	415
345.1721	644.0	32.21875	32.21875	0.8230032	91.375	0.005284793	204.75403	415
64.077	520.5	153.96875	107.75	0.44027182	227.375	0.005284793	204.75403	415
315.72583	512.5	227.0	113.8125	0.60194176	250.625	0.005284793	204.75403	415
267.33246	454.5	139.875	139.875	0.3210634	194.625	0.005284793	204.75403	415
670.81525	739.5	30.0625	30.0625	0.46334013	219.375	0.005284793	204.75403	415
310.03674	515.0	144.75	144.75	0.52504754	225.5	-0.005284793	204.75403	415
760.8935	460.25	113.8125	113.8125	0.48262662	179.5	-0.005284793	204.75403	415
244.26149	812.0	146.40625	84.125	0.8340452	6.0429688	0.005284793	204.75403	415
173.73344	517.5	176.375	176.375	0.78467155	158.375	0.005284793	204.75403	415
259.44785	697.0	152.5625	100.6875	0.6628644	161.25	0.005284793	204.75403	415
195.03601	289.75	78.0	78.0	0.5188953	121.6875	0.005284793	204.75403	415
210.15453	259.0	145.75	103.6875	0.8480121	93.0	0.005284793	204.75403	415
168.26067	296.5	70.8125	70.8125	0.8687553	110.125	-0.005284793	204.75403	415
291.02576	425.75	118.4375	82.375	0.7055596	107.5625	0.005284793	204.75403	415
243.05113	447.25	25.796875	25.796875	0.48405254	135.375	0.005284793	204.75403	415
231.48357	480.0	131.125	131.125	0.68694884	168.625	0.005284793	204.75403	415
316.14963	485.75	181.03125	136.0	0.902719	148.125	0.005284793	204.75403	415
228.55939	400.25	115.0625	115.0625	0.59199136	112.5625	0.005284793	204.75403	415
664.45	774.0	26.578125	26.578125	0.4719149	188.125	0.005284793	204.75403	415
58.11537	287.0	77.5625	77.5625	0.62374246	122.75	0.005284793	204.75403	415
205.20827	435.75	147.96875	102.5	0.7413894	143.875	-0.005284793	204.75403	415
195.29256	483.25	120.25	120.25	0.5280857	179.875	-0.005284793	204.75403	415
206.17114	438.75	54.84375	54.84375	0.43880972	123.875	-0.005284793	204.75403	415
112.12905	436.5	155.0	155.0	0.3270659	203.25	0.005284793	204.75403	415
253.2171	380.0	323.9375	196.0	0.51802266	188.125	0.005284793	204.75403	415
54.48138	249.5	94.640625	64.0625	0.48473683	109.125	-0.005284793	204.75403	415
176.90887	354.75	91.875	91.875	0.6054122	136.875	0.005284793	204.75403	415
164.0158	256.0	26.328125	26.328125	0.86651236	92.375	0.005284793	204.75403	415
91.36688	379.25	152.5	117.375	0.57851636	182.375	0.005284793	204.75403	415
290.7109	340.0	108.3125	108.3125	0.8344733	148.0	-0.005284793	204.75403	415
458.56985	508.0	28.90625	28.90625	0.56138545	154.75	-0.005284793	204.75403	415
232.614	626.0	38.875	38.875	0.40607736	161.625	0.005284793	204.75403	415
192.25194	369.75	170.5625	131.125	0.56453633	170.125	0.005284793	204.75403	415
414.3528	485.75	99.578125	70.5	0.7644665	146.75	0.005284793	204.75403	415
303.03485	373.25	132.5	132.5	0.79219985	144.625	0.005284793	204.75403	415
66.49394	375.25	156.75	156.75	0.89586115	137.375	0.005284793	204.75403	415
75.9351	349.5	101.4375	101.4375	0.29296526	160.125	0.005284793	204.75403	415
143.78351	279.25	34.84375	34.84375	0.8960486	118.6875	0.005284793	204.75403	415
219.85268	263.0	145.4375	87.625	0.4760479	129.625	-0.005284793	204.75403	415
655.27246	214.0	69.625	69.625	0.7843561	4.9453125	0.005284793	204.75403	415
329.4045	330.75	100.9375	100.9375	0.7488396	110.625	-0.005284793	204.75403	415
229.14122	365.5	77.125	77.125	0.64657414	124.375	0.005284793	204.75403	415
135.34784	276.75	104.875	104.875	0.88077337	106.375	0.005284793	204.75403	415
264.01447	543.0	25.96875	25.96875	0.63378745	192.0	0.005284793	204.75403	415
93.58374	275.0	224.25	113.8125	0.84836066	118.25	0.005284793	204.75403	415
39.955994	330.75	108.5625	82.75	0.5359447	131.125	0.005284793	204.75403	415
99.27072	266.75	186.125	136.875	0.3367915	125.9375	-0.005284793	204.75403	415
181.34514	419.75	121.3125	121.3125	0.65534806	147.875	0.005284793	204.75403	415
75.33242	233.5	32.53125	32.53125	0.74081236	108.875	-0.005284793	204.75403	415
484.9375	703.0	155.5	155.5	0.7322775	204.625	0.005284793	204.75403	415
256.0257	300.75	78.9375	78.9375	0.74719584	87.0625	0.005284793	204.75403	415
339.87256	253.625	132.5	132.5	0.6564084	119.0625	0.005284793	204.75403	415
195.05298	378.0	51.03125	51.03125	0.64830506	142.375	0.005284793	204.75403	415
210.54471	386.5	111.0625	111.0625	0.6460129	156.625	0.005284793	204.75403	415
76.25943	207.0	71.5625	71.5625	0.58984375	85.375	0.005284793	204.75403	415
143.4911	339.25	87.15625	60.9375	0.60960335	141.0	0.005284793	204.75403	415
71.13093	355.25	151.875	151.875	0.557041	179.125	0.005284793	204.75403	415
157.55682	359.5	145.75	145.75	0.7348703	160.0	0.005284793	204.75403	415
226.57516	575.5	119.0625	119.0625	0.8515901	154.625	0.005284793	204.75403	415
84.400345	484.75	62.5625	62.5625	0.6245037	186.25	0.005284793	204.75403	415
291.25595	567.0	35.21875	35.21875	0.49234515	199.5	0.005284793	204.75403	415
372.4952	473.0	32.9375	32.9375	0.56881243	169.5	0.005284793	204.75403	415
164.9676	329.75	27.28125	27.28125	0.5963365	103.5625	0.005284793	204.75403	415
272.1888	230.875	37.40625	37.40625	0.58649606	64.625	0.005284793	204.75403	415
235.41037	261.25	33.84375	33.84375	0.557971	86.875	0.005284793	204.75403	415
168.07007	318.0	133.09375	70.1875	0.45134312	148.875	0.005284793	204.75403	415
226.72505	222.75	63.4375	63.4375	0.7396907	84.1875	0.005284793	204.75403	415
129.326	450.75	149.25	149.25	0.33635098	191.375	0.005284793	204.75403	415
317.42636	366.75	70.625	70.625	0.78979236	164.0	0.005284793	204.75403	415
363.6811	438.25	127.8125	101.1875	0.49955037	190.375	-0.005284793	204.75403	415
296.03973	453.0	168.1875	101.5625	0.48649663	218.75	0.005284793	204.75403	415
74.32701	297.0	103.0625	103.0625	0.43733543	126.875	0.005284793	204.75403	415
326.33447	431.75	84.875	84.875	0.5486072	153.125	-0.005284793	204.75403	415
129.815	273.75	128.25	128.25	0.7995475	95.6875	0.005284793	204.75403	415
169.03615	200.25	81.4375	81.4375	0.8534653	48.5625	0.005284793	204.75403	415
341.10358	371.75	92.0625	92.0625	0.49338624	186.625	0.005284793	204.75403	415
138.36134	229.125	106.9375	106.9375	0.82356197	92.0625	0.005284793	204.75403	415
161.8934	284.25	105.75	105.75	0.79781705	98.1875	0.005284793	204.75403	415
351.18958	515.0	114.75	87.8125	0.51839	182.125	0.005284793	204.75403	415
158.4323	273.25	25.890625	25.890625	0.84214807	102.3125	0.005284793	204.75403	415
314.40265	943.5	105.5625	66.4375	0.8120438	119.625	0.005284793	204.75403	415
158.80173	275.25	43.125	43.125	0.8862956	100.9375	0.005284793	204.75403	415
122.78781	395.0	224.125	169.25	0.8236208	158.75	-0.005284793	204.75403	415
473.19736	346.25	132.375	132.375	0.6027178	181.625	-0.005284793	204.75403	415
150.43321	354.5	196.5625	111.4375	0.30323094	172.875	-0.005284793	204.75403	415
302.94226	601.5	64.5625	64.5625	0.8535714	148.875	-0.005284793	204.75403	415
479.24597	451.0	187.8125	115.5625	0.6685714	139.375	-0.005284793	204.75403	415
467.5381	483.25	33.21875	33.21875	0.7907839	170.625	-0.005284793	204.75403	415
204.02591	338.5	80.9375	80.9375	0.3976532	115.8125	0.005284793	204.75403	415
317.0063	366.25	29.25	29.25	0.82290363	85.5	0.005284793	204.75403	415
168.67978	297.5	201.375	115.6875	0.47717485	157.875	-0.005284793	204.75403	415
305.40002	534.0	27.90625	27.90625	0.6177672	169.875	0.005284793	204.75403	415
210.22353	636.5	172.25	172.25	0.3248047	193.375	-0.005284793	204.75403	415
231.22993	505.75	166.75	166.75	0.5750497	175.0	0.005284793	204.75403	415
