lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
248.55191	766.5	66.625	84.5625	1.0	50000.0	1380
265.72763	452.0	84.5625	145.25	1.0	50000.0	1380
126.191864	675.0	50.0	172.625	1.0	50000.0	1380
211.58336	583.0	40.03125	84.625	1.0	50000.0	1380
369.83472	579.5	53.75	200.375	1.0	50000.0	1380
304.188	437.75	156.25	74.0625	1.0	50000.0	1380
215.38304	892.5	104.25	178.125	1.0	50000.0	1380
242.3914	618.0	96.6875	185.25	1.0	50000.0	1380
258.80344	654.5	81.4375	208.25	1.0	50000.0	1380
368.99173	987.0	48.25	101.0	1.0	50000.0	1380
234.97495	684.5	65.25	157.875	1.0	50000.0	1380
228.67474	996.5	418.0	193.5	1.0	50000.0	1380
162.5028	777.5	123.25	75.875	1.0	50000.0	1380
781.3772	921.5	33.4375	94.8125	1.0	50000.0	1380
270.2678	508.0	75.6875	158.625	1.0	50000.0	1380
270.41595	880.0	163.75	217.125	1.0	50000.0	1380
177.52481	677.5	152.875	251.125	1.0	50000.0	1380
236.84506	617.5	88.8125	157.375	1.0	50000.0	1380
305.07187	933.0	37.96875	159.25	1.0	50000.0	1380
353.17398	753.0	78.9375	115.375	1.0	50000.0	1380
254.39743	635.0	41.125	176.75	1.0	50000.0	1380
321.4211	609.0	161.5	217.0	1.0	50000.0	1380
338.89465	881.5	106.375	214.125	1.0	50000.0	1380
141.25613	701.5	40.9375	178.125	1.0	50000.0	1380
351.96924	719.5	149.625	178.25	1.0	50000.0	1380
500.1696	453.5	65.625	129.125	1.0	50000.0	1380
408.96783	420.0	105.0	170.5	1.0	50000.0	1380
557.4645	749.0	80.75	191.0	1.0	50000.0	1380
299.51743	549.0	110.0	84.9375	1.0	50000.0	1380
378.6496	765.5	88.1875	179.125	1.0	50000.0	1380
229.69595	747.5	56.5	112.5625	1.0	50000.0	1380
219.1998	866.5	140.25	151.0	1.0	50000.0	1380
300.86795	485.5	30.109375	58.4375	1.0	50000.0	1380
364.324	716.5	30.90625	174.75	1.0	50000.0	1380
272.07114	944.0	130.125	185.5	1.0	50000.0	1380
394.04074	708.0	63.28125	200.25	1.0	50000.0	1380
187.36969	404.5	112.0625	8.484375	1.0	50000.0	1380
343.84814	642.5	88.625	182.75	1.0	50000.0	1380
290.95627	401.25	27.984375	165.25	1.0	50000.0	1380
322.9147	954.0	91.8125	188.75	1.0	50000.0	1380
232.48094	811.5	84.125	318.25	1.0	50000.0	1380
162.56868	580.5	85.125	184.5	1.0	50000.0	1380
232.74617	500.75	96.5	135.625	1.0	50000.0	1380
251.76009	748.5	104.875	175.375	1.0	50000.0	1380
189.8114	631.0	168.375	209.25	1.0	50000.0	1380
