lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
63.40996	452.75	127.875	200.5	-2.8689086	432387.56	29118
82.29381	245.625	71.6875	108.375	2.8689086	432387.56	29118
136.19617	326.25	112.625	157.875	-2.8689086	432387.56	29118
101.3493	412.0	62.96875	124.125	-2.8689086	432387.56	29118
55.10333	203.125	43.03125	78.0	2.8689086	432387.56	29118
55.088703	285.0	95.0	111.9375	2.8689086	432387.56	29118
82.37185	315.25	108.3125	130.625	-2.8689086	432387.56	29118
189.73477	465.0	85.875	151.625	-2.8689086	432387.56	29118
54.036922	434.5	54.4375	154.5	2.8689086	432387.56	29118
39.503998	608.5	93.3125	160.625	2.8689086	432387.56	29118
118.89798	228.5	83.625	92.0625	-2.8689086	432387.56	29118
69.17812	467.0	67.6875	127.5	2.8689086	432387.56	29118
115.808624	372.75	170.0	187.375	2.8689086	432387.56	29118
87.025215	391.25	110.4375	169.625	2.8689086	432387.56	29118
107.276726	407.75	160.0	181.125	2.8689086	432387.56	29118
54.11459	349.75	38.34375	161.25	2.8689086	432387.56	29118
158.57811	473.5	86.25	182.75	2.8689086	432387.56	29118
79.76624	473.25	96.625	172.0	-2.8689086	432387.56	29118
103.5993	267.25	123.8125	128.5	2.8689086	432387.56	29118
147.65254	450.75	99.25	39.84375	2.8689086	432387.56	29118
159.8796	350.75	28.359375	132.125	2.8689086	432387.56	29118
121.25579	206.75	73.0	49.75	-2.8689086	432387.56	29118
105.92988	355.0	57.0	123.8125	2.8689086	432387.56	29118
137.22603	232.625	75.5625	93.8125	-2.8689086	432387.56	29118
127.18327	249.125	63.5625	116.3125	2.8689086	432387.56	29118
71.50657	408.5	139.125	161.0	-2.8689086	432387.56	29118
