lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
276.40048	522.0	157.375	190.75	0.49554962	290511.84	35563
259.92358	565.0	93.5625	79.1875	-0.49554962	290511.84	35563
87.54937	348.0	25.546875	116.25	-0.49554962	290511.84	35563
242.76611	469.0	153.75	150.875	0.49554962	290511.84	35563
44.872803	373.5	124.875	138.25	0.49554962	290511.84	35563
366.02615	413.0	153.75	198.75	0.49554962	290511.84	35563
198.79419	310.0	130.125	124.5	0.49554962	290511.84	35563
125.16736	212.75	72.25	77.25	0.49554962	290511.84	35563
234.46758	350.75	113.8125	177.875	-0.49554962	290511.84	35563
306.5785	845.0	117.5625	38.3125	0.49554962	290511.84	35563
79.64559	317.0	48.71875	141.625	0.49554962	290511.84	35563
325.42432	895.5	199.25	275.0	0.49554962	290511.84	35563
300.88965	390.0	150.75	141.5	-0.49554962	290511.84	35563
275.78705	425.5	116.375	169.125	-0.49554962	290511.84	35563
214.32654	646.0	102.3125	162.75	-0.49554962	290511.84	35563
132.70984	735.0	103.75	200.125	0.49554962	290511.84	35563
540.9865	501.0	97.5625	183.625	0.49554962	290511.84	35563
98.71933	218.125	28.484375	59.84375	-0.49554962	290511.84	35563
157.78232	288.0	130.375	99.375	-0.49554962	290511.84	35563
221.66899	260.0	69.625	100.4375	0.49554962	290511.84	35563
159.73903	573.5	45.34375	120.1875	0.49554962	290511.84	35563
54.47725	205.125	71.1875	75.625	0.49554962	290511.84	35563
50.708298	213.125	27.390625	79.4375	-0.49554962	290511.84	35563
359.01877	377.25	144.75	186.875	0.49554962	290511.84	35563
109.21566	297.0	37.59375	106.75	0.49554962	290511.84	35563
161.02896	414.75	151.75	142.625	0.49554962	290511.84	35563
244.09418	270.75	36.65625	94.4375	0.49554962	290511.84	35563
56.41405	411.75	84.375	164.75	0.49554962	290511.84	35563
98.01542	265.75	26.609375	105.3125	0.49554962	290511.84	35563
310.23395	535.5	99.0	163.75	0.49554962	290511.84	35563
168.92444	210.0	29.859375	81.3125	-0.49554962	290511.84	35563
339.3884	420.75	142.875	165.625	-0.49554962	290511.84	35563
389.8129	603.5	133.875	184.75	0.49554962	290511.84	35563
420.57684	840.0	62.75	198.875	-0.49554962	290511.84	35563
108.24406	372.25	27.3125	1.4697266	0.49554962	290511.84	35563
360.55206	399.25	26.59375	161.25	-0.49554962	290511.84	35563
195.73106	469.25	65.625	101.0625	0.49554962	290511.84	35563
237.99446	394.0	140.375	106.8125	0.49554962	290511.84	35563
139.64198	623.5	74.4375	160.125	0.49554962	290511.84	35563
127.98948	378.25	95.625	150.75	0.49554962	290511.84	35563
203.37271	504.5	121.125	176.25	0.49554962	290511.84	35563
104.32057	451.75	99.1875	162.25	0.49554962	290511.84	35563
99.75404	223.25	106.625	83.125	0.49554962	290511.84	35563
340.15424	228.75	93.8125	82.625	0.49554962	290511.84	35563
126.84844	326.5	80.0625	99.875	-0.49554962	290511.84	35563
153.40176	292.0	35.875	122.1875	0.49554962	290511.84	35563
173.24919	400.25	130.625	171.875	0.49554962	290511.84	35563
69.55257	327.5	149.25	139.875	0.49554962	290511.84	35563
164.66199	388.75	129.375	149.25	0.49554962	290511.84	35563
174.70862	448.5	38.15625	176.375	0.49554962	290511.84	35563
184.3027	313.75	117.875	128.875	0.49554962	290511.84	35563
110.32849	305.5	107.8125	135.125	0.49554962	290511.84	35563
242.61174	477.5	98.875	155.375	0.49554962	290511.84	35563
121.185646	241.75	74.0625	110.25	0.49554962	290511.84	35563
65.95706	266.25	86.9375	98.0	0.49554962	290511.84	35563
163.63857	787.5	118.875	133.625	0.49554962	290511.84	35563
116.27269	300.25	146.25	128.0	-0.49554962	290511.84	35563
512.8568	482.25	96.1875	116.1875	0.49554962	290511.84	35563
104.31424	341.0	127.875	136.375	0.49554962	290511.84	35563
84.31004	397.75	32.53125	114.625	-0.49554962	290511.84	35563
114.33811	399.75	152.375	99.375	-0.49554962	290511.84	35563
226.9704	367.0	78.625	90.9375	0.49554962	290511.84	35563
78.105515	353.75	107.125	166.375	0.49554962	290511.84	35563
329.4752	472.0	117.8125	92.875	0.49554962	290511.84	35563
74.25727	265.25	94.4375	121.6875	0.49554962	290511.84	35563
120.98585	357.25	108.125	158.375	0.49554962	290511.84	35563
190.70232	401.0	104.0	68.75	0.49554962	290511.84	35563
146.64177	541.0	51.21875	160.5	0.49554962	290511.84	35563
166.16483	477.0	104.0	160.0	-0.49554962	290511.84	35563
96.55305	452.0	39.84375	117.9375	0.49554962	290511.84	35563
250.5001	258.5	83.375	87.0625	0.49554962	290511.84	35563
87.697235	232.0	94.6875	100.875	-0.49554962	290511.84	35563
320.79004	494.75	62.125	187.5	0.49554962	290511.84	35563
102.3088	272.0	35.34375	109.125	0.49554962	290511.84	35563
124.333405	399.25	206.125	196.0	0.49554962	290511.84	35563
119.698	626.0	33.71875	211.375	0.49554962	290511.84	35563
413.81174	352.75	29.484375	109.25	0.49554962	290511.84	35563
109.78812	463.0	73.5625	160.125	-0.49554962	290511.84	35563
244.43948	454.75	137.0	206.0	-0.49554962	290511.84	35563
254.35109	421.75	80.0	122.8125	-0.49554962	290511.84	35563
181.46196	357.75	122.4375	173.875	-0.49554962	290511.84	35563
513.5956	1336.0	78.6875	77.625	-0.49554962	290511.84	35563
93.87426	334.25	114.125	151.5	0.49554962	290511.84	35563
119.62887	270.25	36.75	83.125	-0.49554962	290511.84	35563
137.15462	311.5	80.5	116.75	-0.49554962	290511.84	35563
53.025253	747.0	42.75	143.625	0.49554962	290511.84	35563
132.3751	254.75	78.8125	125.75	-0.49554962	290511.84	35563
201.80936	555.0	134.0	157.0	0.49554962	290511.84	35563
60.75148	283.75	77.1875	118.0625	-0.49554962	290511.84	35563
53.1905	226.0	72.8125	100.875	0.49554962	290511.84	35563
117.56668	215.25	105.625	101.25	0.49554962	290511.84	35563
87.18167	219.875	107.375	56.0	0.49554962	290511.84	35563
55.565063	248.25	81.75	126.875	0.49554962	290511.84	35563
453.14667	503.5	100.0625	47.5625	-0.49554962	290511.84	35563
304.31033	284.75	101.375	92.6875	0.49554962	290511.84	35563
61.5942	333.0	65.4375	121.25	-0.49554962	290511.84	35563
181.6837	283.75	105.25	68.9375	-0.49554962	290511.84	35563
126.849976	333.25	47.8125	120.6875	0.49554962	290511.84	35563
143.69919	450.5	25.328125	127.1875	-0.49554962	290511.84	35563
202.60953	401.25	59.59375	104.5625	-0.49554962	290511.84	35563
458.84088	615.5	36.78125	166.375	0.49554962	290511.84	35563
95.972466	413.75	149.75	191.75	0.49554962	290511.84	35563
