lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
210.7841	488.5	133.75	183.625	0.005284793	8.212568	415
323.0896	402.75	31.234375	77.25	0.005284793	8.212568	415
122.84839	244.25	111.6875	74.125	0.005284793	8.212568	415
249.82402	258.25	114.75	96.3125	0.005284793	8.212568	415
194.61958	345.75	76.375	122.5625	0.005284793	8.212568	415
225.7601	377.75	137.625	170.375	-0.005284793	8.212568	415
119.12449	385.75	127.625	159.5	0.005284793	8.212568	415
115.22517	387.25	58.84375	113.125	0.005284793	8.212568	415
42.42874	357.0	50.9375	0.67089844	0.005284793	8.212568	415
682.57996	602.5	129.0	184.5	-0.005284793	8.212568	415
262.55508	389.75	121.25	137.125	0.005284793	8.212568	415
283.3242	311.25	179.25	144.875	0.005284793	8.212568	415
402.13153	541.0	26.734375	179.25	-0.005284793	8.212568	415
190.56645	436.75	46.53125	153.125	0.005284793	8.212568	415
261.77213	363.75	152.125	148.125	0.005284793	8.212568	415
142.08502	444.0	58.8125	168.75	0.005284793	8.212568	415
202.94049	333.25	94.3125	154.5	0.005284793	8.212568	415
346.5618	629.0	44.34375	115.25	-0.005284793	8.212568	415
