AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	signal
38.375	201.125	82.59375	0.005783081	0.1850586	2.8337561787500363	False
117.6875	287.5	117.6875	3.0873343e-07	0.16638184	2.767732045960173	False
25.71875	207.375	25.71875	6.7949295e-05	0.08465576	0.6458667121537616	False
27.15625	180.25	27.15625	0.00019466877	0.06652832	1.598582458163719	False
27.875	290.0	27.875	0.029541016	0.07098389	0.1448140850762485	False
37.90625	194.0	37.90625	0.01637268	0.40112305	4.065811521781924	False
33.03125	178.0	33.03125	5.2265823e-06	0.3395996	1.990375676941838	False
48.09375	172.75	48.09375	8.779764e-05	0.06185913	0.629174173239619	False
108.125	357.75	108.125	0.053466797	0.05609131	4.066377112624465	False
97.8125	275.0	97.8125	1.34781e-05	0.2824707	1.0459612721733578	False
48.5	276.0	48.5	1.9356608e-05	0.5751953	2.5185590557620117	False
49.46875	499.5	49.46875	0.0012617111	0.234375	2.756632157712687	False
48.78125	300.25	48.78125	1.9282103e-05	0.9980469	2.529024044936378	False
26.03125	205.875	26.03125	0.0009021759	0.09710693	0.6151454854727803	False
27.515625	248.5	27.515625	3.3564866e-06	0.078430176	1.5717695717383435	False
38.6875	286.75	38.6875	6.8359077e-07	0.49536133	1.1183051294843267	False
29.640625	235.25	29.640625	1.9539148e-06	0.07885742	3.736067030559809	False
46.125	262.75	46.125	2.9243529e-06	0.067993164	0.4744065659341885	False
27.90625	177.0	27.90625	2.4214387e-06	0.119140625	1.9925564544653298	False
25.84375	465.0	25.84375	0.00054454803	0.21472168	0.8947516185249356	False
27.53125	882.0	27.53125	0.001786232	0.10107422	2.3315318868012724	False
87.25	180.25	87.25	0.009025574	0.07019043	1.871201960864866	False
30.984375	268.5	30.984375	4.0382147e-06	0.122924805	1.7335051950447422	False
30.546875	419.75	30.546875	3.3155084e-06	0.08068848	2.682672243374199	False
27.328125	213.875	27.328125	3.8556755e-06	0.15075684	2.2584415924383023	False
56.625	184.25	56.625	0.0009198189	0.08514404	1.5962174562248208	False
36.3125	171.625	36.3125	0.00011777878	0.3095703	1.4435415679677277	False
26.9375	192.125	26.9375	1.4089048e-05	0.1262207	5.247477701131487	False
132.75	174.5	132.75	1.3947487e-05	0.0914917	4.863458284875392	False
43.90625	187.875	43.90625	0.0002002716	0.16870117	1.4398377190981932	False
66.5	224.375	66.5	3.9190054e-06	0.34838867	0.7988439462733226	False
35.59375	238.25	35.59375	0.0013418198	0.09716797	2.0873271395252573	False
25.6875	313.75	25.6875	3.2735988e-07	0.05218506	0.9468380693354277	False
31.375	178.0	31.375	0.00016415119	0.066833496	4.801124171589734	False
31.71875	312.75	31.71875	9.730458e-06	0.12695312	8.979858186531956	False
33.21875	204.0	33.21875	0.001294136	0.47216797	3.2929851334520492	False
33.125	181.875	33.125	1.2539327e-05	0.33007812	0.9214372484290294	False
46.71875	318.75	46.71875	8.505583e-05	0.9770508	1.4850777848732548	False
27.875	323.0	193.76562	0.001964569	0.11621094	0.9999110755704237	False
50.28125	212.875	50.28125	0.00022339821	0.06964111	4.6779741573936064	False
36.875	283.5	36.875	3.542751e-06	0.07495117	2.2255458373425796	False
45.8125	619.0	45.8125	2.18153e-05	0.057739258	2.7479425409337637	False
44.0625	267.75	44.0625	0.0018024445	0.18383789	5.326881087377799	False
57.9375	218.125	57.9375	1.3615936e-06	0.15576172	5.104247674323673	False
56.75	247.875	56.75	0.0064048767	0.6669922	3.8140970785408683	False
117.6875	221.375	117.6875	0.000151515	0.99902344	0.19177158784688686	False
87.6875	221.25	87.6875	9.134412e-06	0.4711914	2.7730731506087665	False
35.15625	186.5	35.15625	1.9520521e-06	0.24291992	9.3855530561369	False
86.3125	353.0	86.3125	1.950562e-05	0.054107666	2.5694229244914624	False
26.75	207.375	26.75	7.736683e-05	0.064208984	1.085232239879602	False
29.890625	178.0	29.890625	0.17602539	0.084106445	0.8430986772473972	False
29.3125	217.125	29.3125	3.927946e-05	0.06500244	5.005323014343745	False
46.40625	193.375	46.40625	1.7816201e-06	0.05606079	0.5109183475231021	False
27.890625	222.5	27.890625	1.1017546e-06	0.2368164	3.4159059459534546	False
42.15625	252.75	42.15625	3.3285469e-06	0.053863525	0.3808690926665008	False
27.375	293.5	110.46875	0.000436306	0.062438965	0.7261298422567535	False
43.4375	194.5	43.4375	2.849102e-05	0.059020996	4.559823233247101	False
36.0	248.875	36.0	1.4342368e-06	0.7402344	1.1004002449675028	False
32.5	292.25	32.5	1.0142103e-06	0.06890869	2.9505204087840298	False
