lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
182.09145	642.0	109.125	12.859375	1.0	67101.0	77280
113.005615	461.25	133.0	8.359375	1.0	67101.0	77280
159.35602	454.25	115.125	159.125	1.0	67101.0	77280
97.63619	581.0	142.0	166.125	1.0	67101.0	77280
44.46578	454.25	108.375	168.125	1.0	67101.0	77280
111.15388	554.0	175.125	188.5	1.0	67101.0	77280
512.22644	615.0	110.75	180.875	1.0	67101.0	77280
74.70315	540.5	64.4375	211.25	1.0	67101.0	77280
200.68365	516.5	28.6875	51.5625	1.0	67101.0	77280
595.22003	388.5	69.375	98.125	1.0	67101.0	77280
111.91236	572.0	80.1875	163.0	1.0	67101.0	77280
85.57076	389.5	128.125	134.0	1.0	67101.0	77280
307.2901	662.0	217.875	211.75	1.0	67101.0	77280
862.86145	818.5	139.875	203.625	1.0	67101.0	77280
138.45146	387.25	62.625	5.5625	1.0	67101.0	77280
187.38371	418.25	58.09375	46.40625	1.0	67101.0	77280
