lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
180.6963	408.25	131.75	7.8242188	0.49554962	193245.5	35563
272.93576	307.0	88.125	147.75	0.49554962	193245.5	35563
109.39154	533.5	87.6875	92.6875	0.49554962	193245.5	35563
275.30908	681.0	130.0	179.75	0.49554962	193245.5	35563
93.26382	221.125	91.8125	85.9375	0.49554962	193245.5	35563
270.67157	421.25	95.9375	165.5	-0.49554962	193245.5	35563
462.7042	475.25	130.0	156.625	-0.49554962	193245.5	35563
255.95576	501.5	70.0625	162.5	0.49554962	193245.5	35563
253.84201	467.5	119.625	159.0	0.49554962	193245.5	35563
47.040775	300.5	89.375	81.8125	0.49554962	193245.5	35563
291.44788	834.5	113.5625	204.375	0.49554962	193245.5	35563
351.76147	310.25	114.875	150.625	0.49554962	193245.5	35563
88.31921	344.0	97.9375	149.875	0.49554962	193245.5	35563
261.19452	320.5	74.75	132.875	0.49554962	193245.5	35563
277.36093	497.25	91.3125	186.375	0.49554962	193245.5	35563
221.59709	488.25	79.8125	129.125	0.49554962	193245.5	35563
208.32185	362.5	144.125	91.8125	0.49554962	193245.5	35563
158.8022	217.875	80.875	99.625	-0.49554962	193245.5	35563
176.1393	395.25	98.5625	93.5625	0.49554962	193245.5	35563
74.5123	324.25	73.75	90.75	-0.49554962	193245.5	35563
274.80634	521.0	101.0	176.25	-0.49554962	193245.5	35563
167.88531	473.0	113.3125	187.625	0.49554962	193245.5	35563
105.80983	392.0	93.0	131.375	0.49554962	193245.5	35563
100.89962	795.0	80.25	79.5	-0.49554962	193245.5	35563
125.260925	689.5	94.875	89.8125	0.49554962	193245.5	35563
46.532055	311.0	123.875	146.25	0.49554962	193245.5	35563
86.63208	278.5	159.5	120.25	0.49554962	193245.5	35563
123.01862	308.5	101.25	124.0625	0.49554962	193245.5	35563
296.38574	440.5	131.875	150.0	0.49554962	193245.5	35563
161.80975	338.25	110.4375	120.75	0.49554962	193245.5	35563
207.05928	614.5	60.5625	86.625	0.49554962	193245.5	35563
244.38654	610.5	148.125	193.0	0.49554962	193245.5	35563
126.46399	437.0	101.125	169.625	-0.49554962	193245.5	35563
132.5798	358.25	78.8125	142.0	0.49554962	193245.5	35563
150.92229	276.75	138.25	106.5	0.49554962	193245.5	35563
72.95901	303.5	115.75	121.125	-0.49554962	193245.5	35563
120.51081	488.0	103.25	185.25	-0.49554962	193245.5	35563
458.8811	291.25	123.6875	117.875	-0.49554962	193245.5	35563
289.1673	302.25	160.0	132.25	0.49554962	193245.5	35563
132.4805	377.25	84.9375	142.125	0.49554962	193245.5	35563
896.9666	976.0	64.5	0.7788086	0.49554962	193245.5	35563
135.44994	301.5	111.4375	128.125	-0.49554962	193245.5	35563
331.97128	348.5	141.875	155.875	0.49554962	193245.5	35563
74.24826	430.75	70.1875	133.25	0.49554962	193245.5	35563
44.91067	282.0	141.125	97.8125	0.49554962	193245.5	35563
295.17944	531.5	183.875	213.875	0.49554962	193245.5	35563
56.12053	395.0	111.5625	158.125	-0.49554962	193245.5	35563
97.53478	417.5	79.625	120.0	0.49554962	193245.5	35563
215.5197	306.25	107.625	152.125	-0.49554962	193245.5	35563
491.68503	438.5	71.0	171.0	0.49554962	193245.5	35563
102.03833	194.5	134.75	89.0	0.49554962	193245.5	35563
328.19916	596.5	136.125	187.75	0.49554962	193245.5	35563
96.456535	359.5	109.0	152.125	0.49554962	193245.5	35563
119.5524	536.5	81.4375	235.25	-0.49554962	193245.5	35563
67.51551	458.75	67.625	83.3125	-0.49554962	193245.5	35563
101.05305	294.25	78.8125	140.125	0.49554962	193245.5	35563
56.866116	261.5	71.4375	108.625	0.49554962	193245.5	35563
105.46373	498.25	134.125	180.375	0.49554962	193245.5	35563
163.47093	381.0	150.75	149.875	0.49554962	193245.5	35563
227.81209	680.5	162.875	162.375	-0.49554962	193245.5	35563
411.08536	414.0	79.6875	89.6875	0.49554962	193245.5	35563
65.58167	401.5	89.5625	119.25	0.49554962	193245.5	35563
273.33853	299.75	106.4375	124.0625	0.49554962	193245.5	35563
294.4187	324.0	54.1875	119.6875	0.49554962	193245.5	35563
47.044437	544.0	130.5	169.375	0.49554962	193245.5	35563
144.36401	220.5	83.3125	100.5625	0.49554962	193245.5	35563
308.4798	463.25	62.21875	156.75	0.49554962	193245.5	35563
192.64714	312.5	70.1875	120.375	0.49554962	193245.5	35563
102.33096	708.5	81.4375	167.375	0.49554962	193245.5	35563
79.88576	487.5	74.5	163.5	-0.49554962	193245.5	35563
277.6995	286.5	147.875	125.6875	0.49554962	193245.5	35563
148.47478	290.5	62.78125	83.3125	0.49554962	193245.5	35563
90.87295	332.5	155.0	136.625	0.49554962	193245.5	35563
180.16711	303.75	101.875	123.9375	-0.49554962	193245.5	35563
