lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
61.08751	597.5	122.75	196.0	0.005284793	404.65662	415
187.56265	409.0	145.375	154.125	0.005284793	404.65662	415
117.99406	255.125	117.0625	114.4375	0.005284793	404.65662	415
79.81953	469.75	134.75	176.25	0.005284793	404.65662	415
208.4512	367.5	90.1875	184.75	0.005284793	404.65662	415
294.98965	243.5	114.875	101.5	0.005284793	404.65662	415
405.0342	543.0	73.0625	175.75	0.005284793	404.65662	415
101.3326	372.5	146.375	137.5	0.005284793	404.65662	415
203.09042	398.75	121.5625	132.375	0.005284793	404.65662	415
62.201294	364.75	72.5	158.375	-0.005284793	404.65662	415
146.91179	490.0	226.25	209.125	-0.005284793	404.65662	415
300.58847	339.5	102.625	158.25	0.005284793	404.65662	415
44.362724	376.75	76.0625	159.125	0.005284793	404.65662	415
62.440357	417.75	161.5	157.0	-0.005284793	404.65662	415
197.11539	306.25	141.375	120.5625	0.005284793	404.65662	415
113.17934	358.5	110.375	161.375	0.005284793	404.65662	415
300.90863	383.5	98.875	173.875	0.005284793	404.65662	415
244.2071	357.0	103.5625	123.3125	0.005284793	404.65662	415
88.389496	451.0	161.625	182.5	0.005284793	404.65662	415
159.80264	384.0	97.9375	167.75	-0.005284793	404.65662	415
73.23997	383.75	121.9375	165.75	0.005284793	404.65662	415
212.71837	413.5	110.5	161.125	0.005284793	404.65662	415
183.82368	251.375	156.75	89.4375	-0.005284793	404.65662	415
61.238876	288.75	59.375	111.625	-0.005284793	404.65662	415
303.4045	316.0	163.875	126.0	-0.005284793	404.65662	415
172.13022	304.0	115.0	124.5625	0.005284793	404.65662	415
82.59013	460.0	155.25	191.0	0.005284793	404.65662	415
470.30945	394.5	142.375	126.0	0.005284793	404.65662	415
241.4272	618.5	73.375	182.125	0.005284793	404.65662	415
339.0008	376.75	66.0625	162.875	0.005284793	404.65662	415
66.90526	330.75	32.34375	137.125	-0.005284793	404.65662	415
122.38511	443.0	97.375	170.375	0.005284793	404.65662	415
295.39352	264.5	95.4375	123.5	0.005284793	404.65662	415
163.88083	823.0	59.6875	168.875	0.005284793	404.65662	415
104.52187	428.75	141.625	88.875	0.005284793	404.65662	415
237.32353	415.25	66.5	151.75	0.005284793	404.65662	415
101.764	408.5	142.0	176.0	0.005284793	404.65662	415
339.35855	226.75	85.0625	69.25	0.005284793	404.65662	415
523.7456	680.0	153.0	173.875	-0.005284793	404.65662	415
90.42578	326.25	115.5	118.375	0.005284793	404.65662	415
77.56352	397.5	198.125	167.5	-0.005284793	404.65662	415
440.388	596.5	153.25	192.0	0.005284793	404.65662	415
66.06821	335.0	124.0625	166.625	0.005284793	404.65662	415
112.02451	590.5	98.1875	185.0	-0.005284793	404.65662	415
323.71747	467.0	111.5	173.0	0.005284793	404.65662	415
119.72792	559.5	143.5	161.25	0.005284793	404.65662	415
197.80359	357.5	142.875	184.25	0.005284793	404.65662	415
63.29585	304.0	109.6875	5.8125	0.005284793	404.65662	415
125.40723	276.75	83.625	134.0	-0.005284793	404.65662	415
150.61703	403.75	74.0	90.6875	0.005284793	404.65662	415
177.63167	600.0	43.34375	89.875	0.005284793	404.65662	415
528.692	610.0	127.9375	182.875	0.005284793	404.65662	415
134.36238	367.5	60.0625	87.125	0.005284793	404.65662	415
96.01659	305.0	85.125	150.375	-0.005284793	404.65662	415
294.35718	452.25	104.6875	171.875	0.005284793	404.65662	415
94.256	490.25	163.0	229.125	0.005284793	404.65662	415
60.2027	225.125	77.8125	94.9375	-0.005284793	404.65662	415
227.0389	369.5	112.0	180.0	0.005284793	404.65662	415
157.43143	431.75	70.5	159.625	-0.005284793	404.65662	415
423.54233	420.75	88.125	157.5	0.005284793	404.65662	415
515.61896	490.5	97.25	240.625	0.005284793	404.65662	415
91.09225	356.75	79.5	145.5	0.005284793	404.65662	415
226.77557	354.0	135.375	159.375	0.005284793	404.65662	415
113.76647	468.0	68.1875	169.75	-0.005284793	404.65662	415
324.69196	227.625	77.375	79.0625	-0.005284793	404.65662	415
290.70087	312.25	142.75	138.75	0.005284793	404.65662	415
98.10707	222.625	117.8125	93.125	0.005284793	404.65662	415
196.44995	286.25	137.375	136.125	0.005284793	404.65662	415
136.34308	202.0	71.25	77.25	0.005284793	404.65662	415
120.471176	507.5	61.5625	92.125	0.005284793	404.65662	415
326.61612	533.5	103.1875	185.125	0.005284793	404.65662	415
107.96811	388.5	177.125	181.875	0.005284793	404.65662	415
174.88243	428.25	120.0	176.5	-0.005284793	404.65662	415
158.70425	312.0	104.8125	133.375	0.005284793	404.65662	415
65.50382	222.125	109.875	97.3125	-0.005284793	404.65662	415
252.35883	445.5	143.75	167.25	0.005284793	404.65662	415
87.05226	273.0	40.46875	111.125	0.005284793	404.65662	415
157.55473	412.0	107.6875	169.25	0.005284793	404.65662	415
191.99313	415.25	106.5	187.875	0.005284793	404.65662	415
231.20918	271.25	133.0	110.375	0.005284793	404.65662	415
419.37656	407.25	69.4375	131.375	0.005284793	404.65662	415
295.62067	480.25	76.3125	168.25	0.005284793	404.65662	415
