lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
244.02225	301.75	104.875	155.75	15.384004	15287389.0	855600
298.5094	366.25	116.5	2.4707031	15.384004	15287389.0	855600
313.3983	476.5	55.5	172.5	-15.384004	15287389.0	855600
218.82098	307.25	102.9375	144.375	15.384004	15287389.0	855600
156.91536	345.25	151.75	153.5	15.384004	15287389.0	855600
199.80931	406.5	81.4375	140.25	15.384004	15287389.0	855600
69.82116	358.5	107.4375	150.0	15.384004	15287389.0	855600
78.169846	639.5	64.8125	19.8125	15.384004	15287389.0	855600
46.73983	304.5	92.125	85.75	15.384004	15287389.0	855600
152.63788	193.25	69.4375	42.78125	15.384004	15287389.0	855600
156.56416	201.875	66.875	100.25	15.384004	15287389.0	855600
