AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
386.25	364.0	0.61813426	7120.907	33941
337.0	256.0	-0.61813426	7120.907	33941
333.75	179.0	0.61813426	7120.907	33941
852.0	848.0	0.61813426	7120.907	33941
541.5	530.0	0.61813426	7120.907	33941
221.125	333.0	-0.61813426	7120.907	33941
294.0	253.0	0.61813426	7120.907	33941
623.5	88.5	-0.61813426	7120.907	33941
293.0	344.0	0.61813426	7120.907	33941
389.0	302.0	0.61813426	7120.907	33941
558.0	200.5	-0.61813426	7120.907	33941
304.5	338.0	0.61813426	7120.907	33941
460.5	506.0	-0.61813426	7120.907	33941
542.0	534.0	-0.61813426	7120.907	33941
439.25	421.0	-0.61813426	7120.907	33941
218.875	127.25	0.61813426	7120.907	33941
585.0	526.0	0.61813426	7120.907	33941
274.0	41.25	0.61813426	7120.907	33941
718.0	574.0	-0.61813426	7120.907	33941
253.875	219.0	0.61813426	7120.907	33941
469.25	462.0	0.61813426	7120.907	33941
696.5	143.0	-0.61813426	7120.907	33941
214.625	206.5	-0.61813426	7120.907	33941
334.75	144.5	0.61813426	7120.907	33941
400.5	492.0	0.61813426	7120.907	33941
594.5	532.0	0.61813426	7120.907	33941
592.5	141.5	0.61813426	7120.907	33941
610.0	652.0	0.61813426	7120.907	33941
290.0	357.0	0.61813426	7120.907	33941
482.0	474.0	0.61813426	7120.907	33941
697.0	158.0	-0.61813426	7120.907	33941
296.0	234.0	-0.61813426	7120.907	33941
446.5	374.0	-0.61813426	7120.907	33941
373.5	352.0	0.61813426	7120.907	33941
238.875	123.0	0.61813426	7120.907	33941
498.25	93.25	0.61813426	7120.907	33941
379.25	367.0	0.61813426	7120.907	33941
366.5	385.0	-0.61813426	7120.907	33941
540.0	483.0	0.61813426	7120.907	33941
936.0	864.0	0.61813426	7120.907	33941
369.5	384.0	-0.61813426	7120.907	33941
441.5	260.0	0.61813426	7120.907	33941
333.75	348.0	0.61813426	7120.907	33941
1124.0	189.5	0.61813426	7120.907	33941
382.75	435.0	0.61813426	7120.907	33941
383.75	400.0	0.61813426	7120.907	33941
491.0	512.0	0.61813426	7120.907	33941
489.25	448.0	-0.61813426	7120.907	33941
363.25	367.0	-0.61813426	7120.907	33941
344.5	327.0	0.61813426	7120.907	33941
653.0	684.0	0.61813426	7120.907	33941
433.75	455.0	0.61813426	7120.907	33941
303.0	268.0	0.61813426	7120.907	33941
270.0	324.0	0.61813426	7120.907	33941
873.0	240.5	0.61813426	7120.907	33941
372.25	280.0	-0.61813426	7120.907	33941
486.75	470.0	-0.61813426	7120.907	33941
616.0	594.0	0.61813426	7120.907	33941
514.5	440.0	0.61813426	7120.907	33941
717.0	694.0	0.61813426	7120.907	33941
329.5	337.0	-0.61813426	7120.907	33941
305.5	57.375	0.61813426	7120.907	33941
386.75	383.0	0.61813426	7120.907	33941
417.5	428.0	-0.61813426	7120.907	33941
653.5	686.0	0.61813426	7120.907	33941
