AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
334.5	361.0	0.49554962	209628.39	35563
402.5	417.0	0.49554962	209628.39	35563
276.75	348.0	0.49554962	209628.39	35563
297.5	399.0	-0.49554962	209628.39	35563
477.75	500.0	0.49554962	209628.39	35563
314.0	248.5	0.49554962	209628.39	35563
384.25	393.0	0.49554962	209628.39	35563
359.25	377.0	-0.49554962	209628.39	35563
222.0	330.0	-0.49554962	209628.39	35563
467.25	446.0	-0.49554962	209628.39	35563
221.75	182.0	0.49554962	209628.39	35563
397.0	362.0	0.49554962	209628.39	35563
612.5	574.0	0.49554962	209628.39	35563
512.5	407.0	0.49554962	209628.39	35563
257.5	308.0	-0.49554962	209628.39	35563
429.75	355.0	0.49554962	209628.39	35563
306.75	263.0	-0.49554962	209628.39	35563
456.0	112.25	0.49554962	209628.39	35563
552.0	510.0	0.49554962	209628.39	35563
272.0	338.0	0.49554962	209628.39	35563
916.5	870.0	0.49554962	209628.39	35563
313.0	340.0	0.49554962	209628.39	35563
365.75	353.0	0.49554962	209628.39	35563
549.0	429.0	-0.49554962	209628.39	35563
637.0	540.0	-0.49554962	209628.39	35563
601.0	512.0	0.49554962	209628.39	35563
453.5	361.0	-0.49554962	209628.39	35563
569.5	522.0	0.49554962	209628.39	35563
366.25	365.0	0.49554962	209628.39	35563
605.0	598.0	0.49554962	209628.39	35563
362.75	203.0	-0.49554962	209628.39	35563
262.0	325.0	-0.49554962	209628.39	35563
270.75	353.0	0.49554962	209628.39	35563
422.75	554.0	0.49554962	209628.39	35563
490.5	383.0	-0.49554962	209628.39	35563
413.25	455.0	-0.49554962	209628.39	35563
369.25	364.0	-0.49554962	209628.39	35563
343.25	362.0	0.49554962	209628.39	35563
549.0	452.0	0.49554962	209628.39	35563
920.0	852.0	0.49554962	209628.39	35563
361.75	658.0	0.49554962	209628.39	35563
291.25	313.0	0.49554962	209628.39	35563
323.0	331.0	-0.49554962	209628.39	35563
247.0	268.0	0.49554962	209628.39	35563
456.5	526.0	0.49554962	209628.39	35563
607.5	564.0	0.49554962	209628.39	35563
271.25	125.5	0.49554962	209628.39	35563
297.75	316.0	-0.49554962	209628.39	35563
346.75	356.0	0.49554962	209628.39	35563
320.5	348.0	0.49554962	209628.39	35563
327.25	317.0	0.49554962	209628.39	35563
423.0	449.0	0.49554962	209628.39	35563
440.75	520.0	0.49554962	209628.39	35563
367.5	362.0	0.49554962	209628.39	35563
228.25	206.5	-0.49554962	209628.39	35563
334.25	389.0	0.49554962	209628.39	35563
383.75	370.0	-0.49554962	209628.39	35563
251.0	304.0	-0.49554962	209628.39	35563
334.25	217.0	0.49554962	209628.39	35563
378.75	312.0	0.49554962	209628.39	35563
390.0	416.0	0.49554962	209628.39	35563
395.75	421.0	0.49554962	209628.39	35563
352.75	206.5	0.49554962	209628.39	35563
486.75	342.0	0.49554962	209628.39	35563
362.75	375.0	0.49554962	209628.39	35563
460.25	442.0	0.49554962	209628.39	35563
531.5	466.0	0.49554962	209628.39	35563
285.0	297.0	0.49554962	209628.39	35563
345.5	359.0	-0.49554962	209628.39	35563
391.0	290.0	0.49554962	209628.39	35563
442.0	389.0	-0.49554962	209628.39	35563
405.0	409.0	0.49554962	209628.39	35563
887.0	824.0	0.49554962	209628.39	35563
379.5	416.0	0.49554962	209628.39	35563
380.0	340.0	0.49554962	209628.39	35563
336.75	326.0	0.49554962	209628.39	35563
913.5	890.0	0.49554962	209628.39	35563
431.25	416.0	0.49554962	209628.39	35563
327.5	363.0	0.49554962	209628.39	35563
284.5	277.0	-0.49554962	209628.39	35563
392.75	413.0	0.49554962	209628.39	35563
309.5	318.0	-0.49554962	209628.39	35563
246.875	177.0	0.49554962	209628.39	35563
552.0	638.0	0.49554962	209628.39	35563
443.25	365.0	-0.49554962	209628.39	35563
336.75	366.0	0.49554962	209628.39	35563
544.5	483.0	0.49554962	209628.39	35563
200.875	281.0	-0.49554962	209628.39	35563
827.5	762.0	0.49554962	209628.39	35563
473.25	474.0	0.49554962	209628.39	35563
333.0	391.0	-0.49554962	209628.39	35563
406.5	409.0	0.49554962	209628.39	35563
347.0	372.0	-0.49554962	209628.39	35563
403.5	403.0	0.49554962	209628.39	35563
360.0	329.0	0.49554962	209628.39	35563
310.75	287.0	0.49554962	209628.39	35563
304.5	297.0	0.49554962	209628.39	35563
273.25	288.0	0.49554962	209628.39	35563
357.25	341.0	0.49554962	209628.39	35563
541.5	448.0	-0.49554962	209628.39	35563
388.25	320.0	0.49554962	209628.39	35563
461.5	463.0	-0.49554962	209628.39	35563
228.375	266.0	0.49554962	209628.39	35563
453.0	453.0	-0.49554962	209628.39	35563
519.0	505.0	0.49554962	209628.39	35563
270.5	266.0	-0.49554962	209628.39	35563
381.5	308.0	-0.49554962	209628.39	35563
266.25	27.8125	-0.49554962	209628.39	35563
536.0	253.5	0.49554962	209628.39	35563
318.25	370.0	0.49554962	209628.39	35563
536.5	510.0	0.49554962	209628.39	35563
498.0	412.0	0.49554962	209628.39	35563
324.25	326.0	-0.49554962	209628.39	35563
314.5	365.0	-0.49554962	209628.39	35563
690.0	580.0	-0.49554962	209628.39	35563
603.0	498.0	0.49554962	209628.39	35563
428.0	372.0	0.49554962	209628.39	35563
266.75	311.0	0.49554962	209628.39	35563
536.0	526.0	-0.49554962	209628.39	35563
328.75	390.0	0.49554962	209628.39	35563
249.75	330.0	0.49554962	209628.39	35563
552.0	530.0	0.49554962	209628.39	35563
248.875	326.0	0.49554962	209628.39	35563
569.0	592.0	-0.49554962	209628.39	35563
354.5	392.0	0.49554962	209628.39	35563
377.25	337.0	0.49554962	209628.39	35563
317.75	298.0	0.49554962	209628.39	35563
330.5	349.0	0.49554962	209628.39	35563
403.75	467.0	0.49554962	209628.39	35563
645.5	682.0	0.49554962	209628.39	35563
371.75	362.0	-0.49554962	209628.39	35563
524.5	556.0	0.49554962	209628.39	35563
439.5	418.0	-0.49554962	209628.39	35563
524.0	453.0	0.49554962	209628.39	35563
292.75	326.0	-0.49554962	209628.39	35563
368.0	481.0	0.49554962	209628.39	35563
266.0	183.0	0.49554962	209628.39	35563
560.5	558.0	0.49554962	209628.39	35563
434.0	421.0	0.49554962	209628.39	35563
237.625	258.0	0.49554962	209628.39	35563
241.875	280.0	-0.49554962	209628.39	35563
356.25	367.0	0.49554962	209628.39	35563
269.75	289.0	0.49554962	209628.39	35563
491.75	383.0	0.49554962	209628.39	35563
518.5	509.0	-0.49554962	209628.39	35563
282.75	266.0	0.49554962	209628.39	35563
714.5	660.0	0.49554962	209628.39	35563
322.75	255.0	0.49554962	209628.39	35563
321.75	333.0	0.49554962	209628.39	35563
389.25	372.0	0.49554962	209628.39	35563
556.0	558.0	0.49554962	209628.39	35563
300.25	509.0	0.49554962	209628.39	35563
530.5	592.0	0.49554962	209628.39	35563
371.5	369.0	0.49554962	209628.39	35563
389.25	390.0	0.49554962	209628.39	35563
272.75	326.0	-0.49554962	209628.39	35563
418.5	402.0	-0.49554962	209628.39	35563
286.0	344.0	0.49554962	209628.39	35563
481.5	470.0	0.49554962	209628.39	35563
415.25	381.0	0.49554962	209628.39	35563
301.75	210.5	-0.49554962	209628.39	35563
291.0	328.0	0.49554962	209628.39	35563
463.25	462.0	0.49554962	209628.39	35563
443.75	447.0	-0.49554962	209628.39	35563
519.0	359.0	0.49554962	209628.39	35563
341.0	369.0	-0.49554962	209628.39	35563
498.75	498.0	0.49554962	209628.39	35563
285.75	282.0	-0.49554962	209628.39	35563
432.0	453.0	0.49554962	209628.39	35563
244.25	286.0	0.49554962	209628.39	35563
371.75	186.0	0.49554962	209628.39	35563
440.0	446.0	0.49554962	209628.39	35563
530.0	506.0	0.49554962	209628.39	35563
