lep_pt	AK8_pt	genWeights	sumWeight	N_exp
467.57858	319.75	-0.49554962	209709.69	35563
146.19765	267.25	0.49554962	209709.69	35563
167.08	614.5	0.49554962	209709.69	35563
368.91483	226.625	0.49554962	209709.69	35563
128.75984	326.25	-0.49554962	209709.69	35563
38.183025	302.5	-0.49554962	209709.69	35563
91.789276	366.75	-0.49554962	209709.69	35563
206.72736	382.0	0.49554962	209709.69	35563
64.47344	362.0	0.49554962	209709.69	35563
130.3376	287.75	0.49554962	209709.69	35563
133.70721	250.125	0.49554962	209709.69	35563
176.64786	454.0	-0.49554962	209709.69	35563
60.222996	506.0	-0.49554962	209709.69	35563
174.61147	515.5	0.49554962	209709.69	35563
134.02946	297.5	0.49554962	209709.69	35563
129.88344	302.5	0.49554962	209709.69	35563
56.371628	269.75	0.49554962	209709.69	35563
248.6315	385.25	0.49554962	209709.69	35563
75.954506	289.25	-0.49554962	209709.69	35563
315.2667	420.0	-0.49554962	209709.69	35563
56.93709	509.25	0.49554962	209709.69	35563
389.04465	596.0	0.49554962	209709.69	35563
166.03596	452.75	-0.49554962	209709.69	35563
277.68976	282.0	-0.49554962	209709.69	35563
119.05084	252.25	-0.49554962	209709.69	35563
121.22582	206.375	-0.49554962	209709.69	35563
46.048855	421.25	0.49554962	209709.69	35563
29.474808	308.0	0.49554962	209709.69	35563
35.75943	200.375	0.49554962	209709.69	35563
77.32517	378.0	0.49554962	209709.69	35563
126.38681	303.5	-0.49554962	209709.69	35563
113.75022	535.5	-0.49554962	209709.69	35563
130.5423	325.75	-0.49554962	209709.69	35563
248.58627	353.75	-0.49554962	209709.69	35563
54.384193	289.75	0.49554962	209709.69	35563
64.087524	242.875	-0.49554962	209709.69	35563
317.7468	982.0	0.49554962	209709.69	35563
21.452093	349.0	0.49554962	209709.69	35563
155.6299	324.25	0.49554962	209709.69	35563
136.59564	446.25	-0.49554962	209709.69	35563
239.10506	550.0	-0.49554962	209709.69	35563
36.36757	409.75	0.49554962	209709.69	35563
215.70906	285.75	0.49554962	209709.69	35563
126.75719	301.5	0.49554962	209709.69	35563
122.72491	435.75	-0.49554962	209709.69	35563
293.13385	516.5	0.49554962	209709.69	35563
125.60965	659.0	0.49554962	209709.69	35563
80.09947	790.0	0.49554962	209709.69	35563
623.47363	246.5	0.49554962	209709.69	35563
121.1276	296.25	0.49554962	209709.69	35563
235.54948	831.5	0.49554962	209709.69	35563
148.06683	365.0	-0.49554962	209709.69	35563
30.896452	627.5	0.49554962	209709.69	35563
154.29988	484.5	0.49554962	209709.69	35563
132.38737	314.5	0.49554962	209709.69	35563
316.07596	461.75	0.49554962	209709.69	35563
52.22092	262.75	0.49554962	209709.69	35563
97.60539	325.75	0.49554962	209709.69	35563
78.60245	328.5	0.49554962	209709.69	35563
88.61565	422.0	0.49554962	209709.69	35563
203.39595	560.5	-0.49554962	209709.69	35563
129.15059	397.0	0.49554962	209709.69	35563
370.3449	551.5	0.49554962	209709.69	35563
58.38988	269.0	0.49554962	209709.69	35563
326.00134	619.0	0.49554962	209709.69	35563
92.53743	370.25	0.49554962	209709.69	35563
103.73599	430.5	-0.49554962	209709.69	35563
52.516144	407.0	0.49554962	209709.69	35563
25.666904	454.75	0.49554962	209709.69	35563
44.02943	284.25	0.49554962	209709.69	35563
158.48822	347.5	0.49554962	209709.69	35563
34.424812	319.5	-0.49554962	209709.69	35563
300.35773	741.0	-0.49554962	209709.69	35563
23.277283	494.25	0.49554962	209709.69	35563
94.103806	347.25	0.49554962	209709.69	35563
155.12659	296.5	0.49554962	209709.69	35563
123.16571	279.5	-0.49554962	209709.69	35563
219.52855	326.5	0.49554962	209709.69	35563
