lep_pt	genWeights	sumWeight	N_exp
53.826584	2.8689086	89472.66	29118
117.29281	-2.8689086	89472.66	29118
44.52443	2.8689086	89472.66	29118
63.463615	-2.8689086	89472.66	29118
70.23271	2.8689086	89472.66	29118
116.293396	2.8689086	89472.66	29118
37.225685	2.8689086	89472.66	29118
61.729492	-2.8689086	89472.66	29118
87.37664	2.8689086	89472.66	29118
104.46865	2.8689086	89472.66	29118
62.717117	2.8689086	89472.66	29118
44.439083	-2.8689086	89472.66	29118
24.268805	2.8689086	89472.66	29118
52.89619	-2.8689086	89472.66	29118
17.713762	2.8689086	89472.66	29118
189.42252	-2.8689086	89472.66	29118
38.206688	2.8689086	89472.66	29118
93.5397	-2.8689086	89472.66	29118
39.296078	2.8689086	89472.66	29118
30.340107	-2.8689086	89472.66	29118
32.485504	2.8689086	89472.66	29118
32.84767	2.8689086	89472.66	29118
41.577892	2.8689086	89472.66	29118
29.691164	-2.8689086	89472.66	29118
153.80728	2.8689086	89472.66	29118
28.049309	2.8689086	89472.66	29118
110.24782	2.8689086	89472.66	29118
70.55255	2.8689086	89472.66	29118
152.87248	-2.8689086	89472.66	29118
55.191154	2.8689086	89472.66	29118
50.091084	-2.8689086	89472.66	29118
74.7692	2.8689086	89472.66	29118
35.565403	2.8689086	89472.66	29118
109.4711	-2.8689086	89472.66	29118
93.13339	-2.8689086	89472.66	29118
194.12708	2.8689086	89472.66	29118
58.994904	2.8689086	89472.66	29118
138.74973	-2.8689086	89472.66	29118
164.8268	2.8689086	89472.66	29118
66.41087	-2.8689086	89472.66	29118
78.34882	2.8689086	89472.66	29118
64.16359	-2.8689086	89472.66	29118
268.66376	2.8689086	89472.66	29118
14.7438965	2.8689086	89472.66	29118
47.254147	2.8689086	89472.66	29118
27.614504	2.8689086	89472.66	29118
44.12624	2.8689086	89472.66	29118
108.1835	-2.8689086	89472.66	29118
75.87595	-2.8689086	89472.66	29118
40.722576	-2.8689086	89472.66	29118
104.878006	-2.8689086	89472.66	29118
108.16835	2.8689086	89472.66	29118
70.597435	-2.8689086	89472.66	29118
147.07953	-2.8689086	89472.66	29118
30.553463	2.8689086	89472.66	29118
73.32086	-2.8689086	89472.66	29118
74.60226	2.8689086	89472.66	29118
75.49459	2.8689086	89472.66	29118
