lep_pt	genWeights	sumWeight	N_exp
28.465904	-2.8689086	25739.848	29118
90.594246	2.8689086	25739.848	29118
57.4718	2.8689086	25739.848	29118
31.14534	-2.8689086	25739.848	29118
108.46194	2.8689086	25739.848	29118
32.157356	2.8689086	25739.848	29118
36.99226	2.8689086	25739.848	29118
48.925175	2.8689086	25739.848	29118
18.451475	2.8689086	25739.848	29118
63.817127	2.8689086	25739.848	29118
35.57402	2.8689086	25739.848	29118
42.41994	-2.8689086	25739.848	29118
61.595673	2.8689086	25739.848	29118
61.44962	-2.8689086	25739.848	29118
64.18591	-2.8689086	25739.848	29118
34.32298	-2.8689086	25739.848	29118
42.768753	2.8689086	25739.848	29118
100.583015	-2.8689086	25739.848	29118
30.297285	2.8689086	25739.848	29118
48.457504	-2.8689086	25739.848	29118
153.91971	2.8689086	25739.848	29118
262.17688	2.8689086	25739.848	29118
36.84689	2.8689086	25739.848	29118
33.001984	-2.8689086	25739.848	29118
125.91591	2.8689086	25739.848	29118
208.96265	2.8689086	25739.848	29118
38.624954	2.8689086	25739.848	29118
335.52603	2.8689086	25739.848	29118
173.17851	-2.8689086	25739.848	29118
37.7629	2.8689086	25739.848	29118
20.698017	2.8689086	25739.848	29118
30.084211	-2.8689086	25739.848	29118
150.19672	-2.8689086	25739.848	29118
19.653849	2.8689086	25739.848	29118
68.32505	2.8689086	25739.848	29118
151.8091	-2.8689086	25739.848	29118
73.61525	-2.8689086	25739.848	29118
21.262177	2.8689086	25739.848	29118
53.00811	-2.8689086	25739.848	29118
126.96652	2.8689086	25739.848	29118
60.089455	2.8689086	25739.848	29118
362.30402	-2.8689086	25739.848	29118
70.94548	2.8689086	25739.848	29118
88.83709	2.8689086	25739.848	29118
143.83011	2.8689086	25739.848	29118
47.563946	2.8689086	25739.848	29118
31.927822	2.8689086	25739.848	29118
54.946335	2.8689086	25739.848	29118
39.744102	2.8689086	25739.848	29118
59.289177	2.8689086	25739.848	29118
96.140045	2.8689086	25739.848	29118
57.027405	2.8689086	25739.848	29118
48.99745	2.8689086	25739.848	29118
40.720753	2.8689086	25739.848	29118
67.15398	2.8689086	25739.848	29118
30.536438	-2.8689086	25739.848	29118
157.7261	-2.8689086	25739.848	29118
96.02782	2.8689086	25739.848	29118
47.683914	2.8689086	25739.848	29118
22.64537	2.8689086	25739.848	29118
24.345388	2.8689086	25739.848	29118
85.069374	-2.8689086	25739.848	29118
118.63109	2.8689086	25739.848	29118
72.6865	-2.8689086	25739.848	29118
121.854004	-2.8689086	25739.848	29118
196.46669	-2.8689086	25739.848	29118
53.37614	2.8689086	25739.848	29118
65.44908	2.8689086	25739.848	29118
80.25083	-2.8689086	25739.848	29118
28.94842	2.8689086	25739.848	29118
71.38787	2.8689086	25739.848	29118
102.0348	2.8689086	25739.848	29118
46.52672	-2.8689086	25739.848	29118
62.885185	2.8689086	25739.848	29118
62.9327	2.8689086	25739.848	29118
111.63746	2.8689086	25739.848	29118
212.18271	-2.8689086	25739.848	29118
38.70367	2.8689086	25739.848	29118
83.104416	-2.8689086	25739.848	29118
36.488888	2.8689086	25739.848	29118
56.307255	2.8689086	25739.848	29118
52.085285	2.8689086	25739.848	29118
71.81885	2.8689086	25739.848	29118
84.04687	-2.8689086	25739.848	29118
92.48177	2.8689086	25739.848	29118
127.44325	2.8689086	25739.848	29118
118.881	-2.8689086	25739.848	29118
65.82488	2.8689086	25739.848	29118
54.534466	2.8689086	25739.848	29118
116.87347	2.8689086	25739.848	29118
58.063816	-2.8689086	25739.848	29118
35.067696	-2.8689086	25739.848	29118
29.269289	-2.8689086	25739.848	29118
42.651516	2.8689086	25739.848	29118
176.3609	2.8689086	25739.848	29118
75.106476	2.8689086	25739.848	29118
19.936495	2.8689086	25739.848	29118
71.33025	2.8689086	25739.848	29118
65.93656	2.8689086	25739.848	29118
59.481495	-2.8689086	25739.848	29118
26.177488	-2.8689086	25739.848	29118
48.279488	-2.8689086	25739.848	29118
116.59132	-2.8689086	25739.848	29118
57.88469	2.8689086	25739.848	29118
55.27966	-2.8689086	25739.848	29118
89.35866	2.8689086	25739.848	29118
93.13322	-2.8689086	25739.848	29118
38.10465	2.8689086	25739.848	29118
51.82306	2.8689086	25739.848	29118
41.3734	-2.8689086	25739.848	29118
90.08549	-2.8689086	25739.848	29118
54.936092	2.8689086	25739.848	29118
39.36737	-2.8689086	25739.848	29118
114.82708	2.8689086	25739.848	29118
179.7241	2.8689086	25739.848	29118
45.72178	2.8689086	25739.848	29118
160.12344	2.8689086	25739.848	29118
34.601353	2.8689086	25739.848	29118
52.303112	2.8689086	25739.848	29118
137.23749	2.8689086	25739.848	29118
94.12236	2.8689086	25739.848	29118
100.58792	2.8689086	25739.848	29118
123.457535	2.8689086	25739.848	29118
73.33175	-2.8689086	25739.848	29118
38.99292	2.8689086	25739.848	29118
158.51334	2.8689086	25739.848	29118
71.54739	2.8689086	25739.848	29118
31.30978	2.8689086	25739.848	29118
56.941936	2.8689086	25739.848	29118
102.30654	2.8689086	25739.848	29118
121.57843	2.8689086	25739.848	29118
33.488964	2.8689086	25739.848	29118
83.10079	2.8689086	25739.848	29118
93.1121	-2.8689086	25739.848	29118
50.418575	-2.8689086	25739.848	29118
108.51552	-2.8689086	25739.848	29118
121.75283	2.8689086	25739.848	29118
46.260075	2.8689086	25739.848	29118
45.19726	-2.8689086	25739.848	29118
114.92622	2.8689086	25739.848	29118
112.85782	2.8689086	25739.848	29118
91.40878	-2.8689086	25739.848	29118
19.810846	2.8689086	25739.848	29118
95.17892	2.8689086	25739.848	29118
61.93683	2.8689086	25739.848	29118
140.40053	2.8689086	25739.848	29118
100.24939	-2.8689086	25739.848	29118
63.421772	2.8689086	25739.848	29118
91.86718	2.8689086	25739.848	29118
67.30349	-2.8689086	25739.848	29118
128.93362	2.8689086	25739.848	29118
52.35546	-2.8689086	25739.848	29118
72.37006	2.8689086	25739.848	29118
148.92262	2.8689086	25739.848	29118
23.089703	2.8689086	25739.848	29118
43.987503	2.8689086	25739.848	29118
146.55444	2.8689086	25739.848	29118
117.02829	-2.8689086	25739.848	29118
103.18611	2.8689086	25739.848	29118
66.29666	-2.8689086	25739.848	29118
45.776188	2.8689086	25739.848	29118
18.910515	2.8689086	25739.848	29118
22.272013	2.8689086	25739.848	29118
22.368698	2.8689086	25739.848	29118
51.0196	-2.8689086	25739.848	29118
40.65335	2.8689086	25739.848	29118
49.376274	2.8689086	25739.848	29118
53.36685	-2.8689086	25739.848	29118
108.40991	2.8689086	25739.848	29118
73.94309	2.8689086	25739.848	29118
37.974648	2.8689086	25739.848	29118
142.87369	2.8689086	25739.848	29118
71.90895	2.8689086	25739.848	29118
112.881485	2.8689086	25739.848	29118
51.962402	2.8689086	25739.848	29118
67.665825	2.8689086	25739.848	29118
28.377213	-2.8689086	25739.848	29118
94.61044	2.8689086	25739.848	29118
159.88847	-2.8689086	25739.848	29118
20.642223	-2.8689086	25739.848	29118
66.3971	-2.8689086	25739.848	29118
79.18981	-2.8689086	25739.848	29118
27.582775	-2.8689086	25739.848	29118
85.62065	-2.8689086	25739.848	29118
31.710695	2.8689086	25739.848	29118
31.478088	-2.8689086	25739.848	29118
24.314707	2.8689086	25739.848	29118
60.0578	2.8689086	25739.848	29118
45.14266	2.8689086	25739.848	29118
53.74606	2.8689086	25739.848	29118
48.809444	2.8689086	25739.848	29118
26.05918	-2.8689086	25739.848	29118
67.16306	2.8689086	25739.848	29118
77.28246	2.8689086	25739.848	29118
61.14499	2.8689086	25739.848	29118
27.172903	2.8689086	25739.848	29118
61.588066	2.8689086	25739.848	29118
32.970287	2.8689086	25739.848	29118
51.590626	2.8689086	25739.848	29118
69.093994	2.8689086	25739.848	29118
50.79326	-2.8689086	25739.848	29118
34.768593	2.8689086	25739.848	29118
74.11516	2.8689086	25739.848	29118
46.59087	2.8689086	25739.848	29118
146.82208	2.8689086	25739.848	29118
44.87762	2.8689086	25739.848	29118
153.74269	2.8689086	25739.848	29118
73.391594	2.8689086	25739.848	29118
108.08096	-2.8689086	25739.848	29118
130.61383	2.8689086	25739.848	29118
65.126305	2.8689086	25739.848	29118
116.11295	-2.8689086	25739.848	29118
26.419521	2.8689086	25739.848	29118
118.39905	-2.8689086	25739.848	29118
243.20155	2.8689086	25739.848	29118
82.38398	2.8689086	25739.848	29118
50.306316	2.8689086	25739.848	29118
67.06463	2.8689086	25739.848	29118
