lep_pt	AK8_pt	genWeights	sumWeight	N_exp
321.489	646.0	0.49554962	80409.86	35563
201.26456	854.5	0.49554962	80409.86	35563
229.6119	346.25	0.49554962	80409.86	35563
66.59921	261.5	0.49554962	80409.86	35563
37.442307	272.5	0.49554962	80409.86	35563
122.6873	331.25	-0.49554962	80409.86	35563
31.474895	301.25	-0.49554962	80409.86	35563
219.97884	391.5	0.49554962	80409.86	35563
96.340996	357.25	0.49554962	80409.86	35563
360.43515	894.0	-0.49554962	80409.86	35563
13.150306	595.0	0.49554962	80409.86	35563
73.87675	533.0	0.49554962	80409.86	35563
103.16739	679.5	0.49554962	80409.86	35563
228.07312	342.75	0.49554962	80409.86	35563
304.19568	395.0	0.49554962	80409.86	35563
117.5205	388.0	-0.49554962	80409.86	35563
108.200745	336.5	0.49554962	80409.86	35563
18.571983	238.5	0.49554962	80409.86	35563
16.071545	389.25	0.49554962	80409.86	35563
123.05413	439.5	0.49554962	80409.86	35563
139.9305	434.5	0.49554962	80409.86	35563
304.847	396.0	-0.49554962	80409.86	35563
94.655914	271.25	0.49554962	80409.86	35563
54.712784	429.0	0.49554962	80409.86	35563
118.50784	343.25	0.49554962	80409.86	35563
209.95758	270.75	-0.49554962	80409.86	35563
94.16965	616.5	0.49554962	80409.86	35563
124.77272	415.5	0.49554962	80409.86	35563
74.48798	812.5	0.49554962	80409.86	35563
174.81569	655.0	0.49554962	80409.86	35563
391.5196	473.0	-0.49554962	80409.86	35563
55.88321	262.0	0.49554962	80409.86	35563
19.26023	394.25	-0.49554962	80409.86	35563
111.86806	322.5	-0.49554962	80409.86	35563
182.01155	492.0	0.49554962	80409.86	35563
118.6127	275.5	-0.49554962	80409.86	35563
90.81188	324.75	0.49554962	80409.86	35563
171.62544	313.25	0.49554962	80409.86	35563
94.00914	241.75	0.49554962	80409.86	35563
78.37235	453.75	0.49554962	80409.86	35563
544.1029	658.5	0.49554962	80409.86	35563
377.1495	717.0	-0.49554962	80409.86	35563
143.22803	273.25	-0.49554962	80409.86	35563
396.21674	230.75	-0.49554962	80409.86	35563
73.28886	573.5	0.49554962	80409.86	35563
66.29139	245.25	-0.49554962	80409.86	35563
58.541157	389.5	-0.49554962	80409.86	35563
134.58209	464.25	0.49554962	80409.86	35563
210.59288	487.25	0.49554962	80409.86	35563
283.0086	363.25	0.49554962	80409.86	35563
125.88591	321.75	0.49554962	80409.86	35563
86.562904	519.0	0.49554962	80409.86	35563
93.66596	556.5	0.49554962	80409.86	35563
78.7808	317.25	0.49554962	80409.86	35563
141.63078	348.0	0.49554962	80409.86	35563
320.92212	276.5	0.49554962	80409.86	35563
59.213596	410.0	0.49554962	80409.86	35563
147.84726	526.0	-0.49554962	80409.86	35563
42.137215	422.0	0.49554962	80409.86	35563
106.51	207.125	0.49554962	80409.86	35563
42.330814	306.5	0.49554962	80409.86	35563
124.353096	541.0	-0.49554962	80409.86	35563
195.5489	285.5	0.49554962	80409.86	35563
99.96828	403.25	0.49554962	80409.86	35563
107.54492	218.125	0.49554962	80409.86	35563
122.52878	219.875	-0.49554962	80409.86	35563
173.97295	335.0	0.49554962	80409.86	35563
57.64465	369.25	0.49554962	80409.86	35563
120.81943	341.75	0.49554962	80409.86	35563
36.49812	591.5	0.49554962	80409.86	35563
53.64171	283.5	0.49554962	80409.86	35563
412.0437	573.0	-0.49554962	80409.86	35563
56.33871	680.0	0.49554962	80409.86	35563
82.700584	311.0	0.49554962	80409.86	35563
162.98544	470.75	0.49554962	80409.86	35563
154.49213	521.0	0.49554962	80409.86	35563
143.72702	310.0	0.49554962	80409.86	35563
28.069729	536.5	0.49554962	80409.86	35563
87.981895	363.0	-0.49554962	80409.86	35563
392.33224	397.75	0.49554962	80409.86	35563
95.184494	387.25	0.49554962	80409.86	35563
276.38086	290.25	-0.49554962	80409.86	35563
117.11378	438.25	-0.49554962	80409.86	35563
90.04143	541.5	0.49554962	80409.86	35563
290.71307	524.0	0.49554962	80409.86	35563
326.8271	374.75	0.49554962	80409.86	35563
67.86938	403.5	0.49554962	80409.86	35563
91.252304	231.375	0.49554962	80409.86	35563
63.61427	500.0	0.49554962	80409.86	35563
28.810808	486.5	-0.49554962	80409.86	35563
119.32848	294.75	0.49554962	80409.86	35563
54.465794	209.375	0.49554962	80409.86	35563
216.99796	428.75	-0.49554962	80409.86	35563
104.38154	568.5	0.49554962	80409.86	35563
268.62057	335.0	0.49554962	80409.86	35563
80.53894	252.25	0.49554962	80409.86	35563
208.79466	404.5	0.49554962	80409.86	35563
156.80214	340.0	0.49554962	80409.86	35563
262.6713	448.75	0.49554962	80409.86	35563
70.67219	297.75	0.49554962	80409.86	35563
57.489094	337.0	0.49554962	80409.86	35563
202.51917	699.5	0.49554962	80409.86	35563
246.39076	483.5	0.49554962	80409.86	35563
72.812004	450.75	-0.49554962	80409.86	35563
83.82957	508.0	0.49554962	80409.86	35563
459.92856	641.0	0.49554962	80409.86	35563
111.47846	295.75	-0.49554962	80409.86	35563
62.925495	296.5	0.49554962	80409.86	35563
57.499878	345.5	0.49554962	80409.86	35563
536.2601	579.0	-0.49554962	80409.86	35563
89.26304	244.875	0.49554962	80409.86	35563
174.9411	552.0	0.49554962	80409.86	35563
313.2977	642.5	-0.49554962	80409.86	35563
74.27033	431.5	0.49554962	80409.86	35563
134.79053	622.5	0.49554962	80409.86	35563
156.95805	387.75	0.49554962	80409.86	35563
501.7354	324.75	0.49554962	80409.86	35563
210.6113	399.25	0.49554962	80409.86	35563
72.903755	420.75	-0.49554962	80409.86	35563
202.12582	562.0	0.49554962	80409.86	35563
152.50333	256.5	0.49554962	80409.86	35563
699.3812	495.5	0.49554962	80409.86	35563
90.61963	268.25	0.49554962	80409.86	35563
81.13069	334.75	0.49554962	80409.86	35563
76.745155	520.0	0.49554962	80409.86	35563
58.313835	326.0	-0.49554962	80409.86	35563
178.76964	689.5	-0.49554962	80409.86	35563
163.28488	508.5	0.49554962	80409.86	35563
191.62721	208.0	0.49554962	80409.86	35563
91.80412	279.5	-0.49554962	80409.86	35563
571.71826	1046.0	0.49554962	80409.86	35563
119.1233	210.5	-0.49554962	80409.86	35563
163.4664	225.75	0.49554962	80409.86	35563
58.989502	381.25	0.49554962	80409.86	35563
155.80463	227.625	0.49554962	80409.86	35563
44.4132	271.25	0.49554962	80409.86	35563
332.2767	281.75	-0.49554962	80409.86	35563
272.60452	231.625	0.49554962	80409.86	35563
372.3127	334.75	0.49554962	80409.86	35563
67.73779	243.375	0.49554962	80409.86	35563
208.21255	275.75	0.49554962	80409.86	35563
35.189404	287.0	0.49554962	80409.86	35563
537.5163	775.5	0.49554962	80409.86	35563
171.0042	445.75	-0.49554962	80409.86	35563
118.59434	454.5	0.49554962	80409.86	35563
24.148634	203.0	0.49554962	80409.86	35563
132.14043	502.25	0.49554962	80409.86	35563
100.899864	520.0	0.49554962	80409.86	35563
81.66274	249.25	0.49554962	80409.86	35563
65.92493	244.625	0.49554962	80409.86	35563
91.166306	254.125	0.49554962	80409.86	35563
49.582012	603.0	-0.49554962	80409.86	35563
52.253105	481.25	0.49554962	80409.86	35563
74.33471	390.5	0.49554962	80409.86	35563
327.91968	463.75	0.49554962	80409.86	35563
37.217583	452.75	0.49554962	80409.86	35563
22.86013	272.75	-0.49554962	80409.86	35563
102.44943	407.0	0.49554962	80409.86	35563
