lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
233.90048	409.5	110.25	212.5	0.49554962	290180.0	35563
182.31604	514.5	125.625	175.25	0.49554962	290180.0	35563
108.62017	438.75	168.875	163.75	-0.49554962	290180.0	35563
207.10707	489.75	56.15625	188.375	0.49554962	290180.0	35563
128.05171	550.5	126.125	161.125	0.49554962	290180.0	35563
160.89836	352.75	63.4375	156.75	-0.49554962	290180.0	35563
121.57073	394.5	57.84375	107.5625	-0.49554962	290180.0	35563
113.18736	358.5	93.875	163.625	0.49554962	290180.0	35563
131.91905	634.5	144.0	204.5	0.49554962	290180.0	35563
164.78545	404.5	139.375	151.0	0.49554962	290180.0	35563
153.51666	385.0	164.0	173.875	0.49554962	290180.0	35563
318.89197	414.25	135.0	156.125	0.49554962	290180.0	35563
397.48282	403.0	69.375	187.5	0.49554962	290180.0	35563
201.21086	378.75	100.8125	177.5	0.49554962	290180.0	35563
79.23035	544.0	127.6875	181.0	-0.49554962	290180.0	35563
300.35858	400.0	103.25	170.125	-0.49554962	290180.0	35563
303.30676	386.25	126.4375	183.0	0.49554962	290180.0	35563
155.30795	264.75	109.5625	117.1875	0.49554962	290180.0	35563
136.0147	285.0	115.5	98.125	0.49554962	290180.0	35563
104.63882	539.5	121.1875	173.25	0.49554962	290180.0	35563
318.25784	654.5	55.125	170.0	-0.49554962	290180.0	35563
405.70435	318.25	85.4375	144.0	0.49554962	290180.0	35563
114.46845	293.5	138.75	144.375	0.49554962	290180.0	35563
83.14695	528.0	84.625	174.875	-0.49554962	290180.0	35563
59.669075	381.0	135.5	129.25	0.49554962	290180.0	35563
129.96196	337.25	94.875	27.484375	-0.49554962	290180.0	35563
322.91333	752.5	79.4375	1.2734375	0.49554962	290180.0	35563
643.8476	750.0	112.9375	171.625	0.49554962	290180.0	35563
112.43507	392.5	74.875	154.5	0.49554962	290180.0	35563
81.94101	370.0	110.875	172.0	-0.49554962	290180.0	35563
108.18084	359.75	104.0625	142.5	0.49554962	290180.0	35563
392.72488	534.5	56.21875	92.0625	0.49554962	290180.0	35563
101.83609	427.25	141.625	194.125	-0.49554962	290180.0	35563
117.99402	460.25	122.875	202.5	0.49554962	290180.0	35563
89.28769	343.5	156.875	163.0	0.49554962	290180.0	35563
718.9327	1559.0	653.5	75.5625	0.49554962	290180.0	35563
223.33128	387.25	35.53125	151.25	0.49554962	290180.0	35563
232.0449	436.5	104.8125	175.375	-0.49554962	290180.0	35563
119.35703	320.0	120.0625	146.5	0.49554962	290180.0	35563
116.29967	276.5	65.375	129.625	-0.49554962	290180.0	35563
150.39647	289.0	95.25	90.9375	0.49554962	290180.0	35563
182.09814	510.0	78.6875	199.25	0.49554962	290180.0	35563
140.09457	340.5	112.5625	153.25	-0.49554962	290180.0	35563
106.02816	338.5	103.25	91.5625	0.49554962	290180.0	35563
51.61673	457.75	127.1875	185.625	-0.49554962	290180.0	35563
553.11145	576.5	132.875	180.625	-0.49554962	290180.0	35563
702.4242	346.25	127.25	104.875	0.49554962	290180.0	35563
64.272575	364.75	72.0	123.9375	0.49554962	290180.0	35563
183.55135	544.5	152.125	203.125	0.49554962	290180.0	35563
63.327126	306.25	61.03125	121.125	-0.49554962	290180.0	35563
78.275856	263.5	58.5625	70.4375	0.49554962	290180.0	35563
241.72331	385.0	121.25	178.875	0.49554962	290180.0	35563
270.84494	438.75	182.125	193.5	0.49554962	290180.0	35563
287.6112	500.75	72.0	166.75	-0.49554962	290180.0	35563
522.77435	727.5	178.875	212.25	0.49554962	290180.0	35563
137.14401	231.625	66.0625	91.8125	0.49554962	290180.0	35563
112.91392	269.5	102.375	123.625	0.49554962	290180.0	35563
123.62808	621.5	100.125	159.5	0.49554962	290180.0	35563
326.25873	571.0	105.25	202.75	0.49554962	290180.0	35563
54.827858	565.5	84.25	167.625	0.49554962	290180.0	35563
62.652603	528.0	121.375	160.125	-0.49554962	290180.0	35563
98.4182	380.0	124.0625	160.625	0.49554962	290180.0	35563
158.58336	625.5	93.375	167.5	0.49554962	290180.0	35563
94.34847	419.75	133.5	137.0	0.49554962	290180.0	35563
331.84973	298.25	129.875	136.625	0.49554962	290180.0	35563
132.18028	244.125	77.3125	75.3125	0.49554962	290180.0	35563
203.90598	276.5	98.4375	82.25	0.49554962	290180.0	35563
81.7879	628.5	81.4375	137.375	0.49554962	290180.0	35563
48.34224	369.25	140.375	177.5	0.49554962	290180.0	35563
33.597916	260.75	88.0625	0.44311523	-0.49554962	290180.0	35563
135.86023	292.75	58.03125	105.75	-0.49554962	290180.0	35563
60.468197	372.25	137.125	140.0	-0.49554962	290180.0	35563
64.15516	665.0	95.9375	189.625	0.49554962	290180.0	35563
56.95802	602.0	140.125	197.125	0.49554962	290180.0	35563
240.87703	443.0	125.25	200.125	0.49554962	290180.0	35563
156.93802	486.0	92.25	160.0	-0.49554962	290180.0	35563
164.88895	486.5	231.0	179.875	0.49554962	290180.0	35563
107.65454	373.0	73.625	141.5	-0.49554962	290180.0	35563
133.20741	535.5	56.6875	183.5	0.49554962	290180.0	35563
79.39454	295.5	105.0625	120.6875	0.49554962	290180.0	35563
389.17184	526.5	88.0	213.75	0.49554962	290180.0	35563
101.56175	568.0	149.625	187.25	-0.49554962	290180.0	35563
191.91548	358.0	127.6875	120.375	-0.49554962	290180.0	35563
411.53845	307.25	125.5625	141.375	0.49554962	290180.0	35563
226.64658	229.75	94.875	95.9375	0.49554962	290180.0	35563
74.29224	528.5	141.25	193.375	0.49554962	290180.0	35563
77.74155	407.25	104.125	191.125	-0.49554962	290180.0	35563
131.3553	620.5	96.1875	148.25	0.49554962	290180.0	35563
114.259315	309.5	99.375	135.625	0.49554962	290180.0	35563
123.92254	412.5	60.28125	159.375	-0.49554962	290180.0	35563
226.8088	680.5	57.4375	179.25	0.49554962	290180.0	35563
137.67729	413.0	117.875	159.375	0.49554962	290180.0	35563
50.91873	485.5	59.125	144.625	0.49554962	290180.0	35563
58.404537	426.5	98.9375	131.5	0.49554962	290180.0	35563
140.48479	608.0	99.875	184.625	0.49554962	290180.0	35563
211.67862	361.5	78.0	165.0	0.49554962	290180.0	35563
133.17914	448.75	152.5	182.5	0.49554962	290180.0	35563
197.88696	317.5	63.78125	124.25	0.49554962	290180.0	35563
103.52505	471.25	176.5	148.0	0.49554962	290180.0	35563
404.44052	423.75	119.0625	153.125	0.49554962	290180.0	35563
137.96515	296.25	114.4375	132.25	0.49554962	290180.0	35563
171.72125	680.0	159.25	176.5	0.49554962	290180.0	35563
201.92236	348.0	122.875	140.5	0.49554962	290180.0	35563
102.25185	332.0	97.0	114.5625	0.49554962	290180.0	35563
66.67461	447.0	94.4375	123.1875	0.49554962	290180.0	35563
203.49297	421.5	104.125	170.875	0.49554962	290180.0	35563
127.33543	325.25	102.125	123.125	0.49554962	290180.0	35563
126.90615	395.0	69.75	117.375	0.49554962	290180.0	35563
245.48799	505.0	194.375	210.5	0.49554962	290180.0	35563
302.84943	523.5	91.625	194.125	0.49554962	290180.0	35563
137.82501	333.0	245.0	142.25	0.49554962	290180.0	35563
302.27936	456.0	102.3125	160.125	0.49554962	290180.0	35563
97.57016	266.5	112.5	117.125	0.49554962	290180.0	35563
96.31652	306.5	100.0625	113.9375	-0.49554962	290180.0	35563
151.42984	244.75	123.1875	105.625	0.49554962	290180.0	35563
209.51425	441.75	104.375	170.375	0.49554962	290180.0	35563
273.96494	442.25	148.625	141.625	0.49554962	290180.0	35563
81.59295	459.0	91.1875	0.87646484	0.49554962	290180.0	35563
111.263596	367.5	75.0	130.0	0.49554962	290180.0	35563
199.20992	330.75	112.0	132.25	-0.49554962	290180.0	35563
185.13924	553.0	73.5	176.0	0.49554962	290180.0	35563
141.5833	251.625	86.0	115.3125	-0.49554962	290180.0	35563
82.617386	410.0	95.6875	157.5	0.49554962	290180.0	35563
95.85703	630.0	87.75	190.375	0.49554962	290180.0	35563
212.45164	255.625	61.0625	97.0	0.49554962	290180.0	35563
