lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
136.6208	256.75	95.125	96.25	8.513033	6629829.5	1213296
333.2421	432.75	98.0	122.25	-8.513033	6629829.5	1213296
179.60355	274.75	96.875	132.125	-8.513033	6629829.5	1213296
81.82698	307.25	60.25	86.625	8.513033	6629829.5	1213296
195.31236	328.25	126.5	127.875	-8.513033	6629829.5	1213296
383.79047	504.0	110.25	168.125	8.513033	6629829.5	1213296
457.36166	527.5	87.5	245.0	8.513033	6629829.5	1213296
664.24646	627.0	129.25	195.75	8.513033	6629829.5	1213296
284.92197	270.0	83.8125	33.78125	8.513033	6629829.5	1213296
232.88742	374.5	133.625	165.625	8.513033	6629829.5	1213296
181.36784	340.0	108.8125	125.25	8.513033	6629829.5	1213296
