lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
149.91606	560.0	79.1875	178.625	1.0	50000.0	1380
347.83585	506.5	120.375	173.25	1.0	50000.0	1380
122.8203	448.0	89.875	161.125	1.0	50000.0	1380
546.5397	410.25	117.3125	184.0	1.0	50000.0	1380
50.737434	434.0	119.9375	182.625	1.0	50000.0	1380
82.487045	353.25	88.4375	85.75	1.0	50000.0	1380
132.9364	368.5	62.21875	157.625	1.0	50000.0	1380
396.1221	377.25	59.71875	153.375	1.0	50000.0	1380
39.586227	628.5	144.25	175.0	1.0	50000.0	1380
254.77415	330.25	86.8125	144.125	1.0	50000.0	1380
85.94154	427.25	104.875	126.9375	1.0	50000.0	1380
224.62167	429.0	136.0	177.0	1.0	50000.0	1380
114.275154	371.75	131.0	180.0	1.0	50000.0	1380
65.135925	303.25	132.25	110.9375	1.0	50000.0	1380
313.05884	638.0	100.9375	88.8125	1.0	50000.0	1380
81.75343	372.0	149.75	161.875	1.0	50000.0	1380
251.66145	475.5	130.25	140.125	1.0	50000.0	1380
94.58595	397.5	104.0625	160.375	1.0	50000.0	1380
64.696144	397.25	130.75	155.125	1.0	50000.0	1380
211.8119	328.5	100.8125	92.4375	1.0	50000.0	1380
128.01912	210.375	100.5	78.75	1.0	50000.0	1380
75.48821	388.75	120.4375	142.875	1.0	50000.0	1380
125.558	406.5	44.875	160.625	1.0	50000.0	1380
109.94664	393.0	91.0625	172.375	1.0	50000.0	1380
90.219666	499.5	93.3125	191.875	1.0	50000.0	1380
297.55338	584.0	57.03125	154.125	1.0	50000.0	1380
592.4839	799.0	110.0625	299.0	1.0	50000.0	1380
47.507328	350.75	123.375	157.5	1.0	50000.0	1380
153.15213	406.25	137.25	171.875	1.0	50000.0	1380
250.28046	502.5	79.0	203.25	1.0	50000.0	1380
165.9523	360.75	130.625	152.375	1.0	50000.0	1380
99.65607	344.25	74.625	135.25	1.0	50000.0	1380
79.178566	453.25	124.6875	173.875	1.0	50000.0	1380
84.20914	316.0	73.25	82.125	1.0	50000.0	1380
761.3174	553.0	79.9375	184.125	1.0	50000.0	1380
84.432304	386.25	160.625	121.25	1.0	50000.0	1380
