lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
132.50209	426.0	39.34375	131.75	1.0	385572.0	173880
543.1932	616.0	154.625	235.375	1.0	385572.0	173880
126.61834	438.25	200.875	237.75	1.0	385572.0	173880
130.86087	406.25	122.5625	151.5	1.0	385572.0	173880
136.41203	359.75	58.8125	176.875	1.0	385572.0	173880
54.503582	347.0	133.25	137.625	1.0	385572.0	173880
206.68431	352.5	62.03125	122.0	1.0	385572.0	173880
81.31652	423.75	122.625	153.5	1.0	385572.0	173880
81.402054	332.0	90.75	130.0	1.0	385572.0	173880
121.78713	458.75	174.25	170.0	1.0	385572.0	173880
122.000206	465.25	166.375	181.375	1.0	385572.0	173880
194.43571	374.25	56.4375	58.875	1.0	385572.0	173880
182.3364	399.25	81.0	201.75	1.0	385572.0	173880
119.55112	432.5	83.1875	133.5	1.0	385572.0	173880
372.58243	455.75	96.25	164.125	1.0	385572.0	173880
135.20142	397.25	66.75	133.125	1.0	385572.0	173880
425.16736	522.0	133.125	81.5625	1.0	385572.0	173880
137.75044	466.75	84.9375	63.25	1.0	385572.0	173880
232.9216	434.25	106.6875	118.625	1.0	385572.0	173880
85.871315	408.5	122.0	127.375	1.0	385572.0	173880
148.61346	329.75	103.8125	139.5	1.0	385572.0	173880
121.78229	422.0	99.25	168.0	1.0	385572.0	173880
156.2379	386.0	56.46875	134.125	1.0	385572.0	173880
180.33846	430.25	98.9375	193.375	1.0	385572.0	173880
52.49407	428.5	151.875	150.75	1.0	385572.0	173880
271.5773	550.5	94.75	142.0	1.0	385572.0	173880
376.7279	326.25	55.03125	119.875	1.0	385572.0	173880
464.3735	631.5	89.125	186.0	1.0	385572.0	173880
32.996906	278.0	80.125	142.375	1.0	385572.0	173880
201.21893	524.5	81.5625	188.375	1.0	385572.0	173880
252.02571	456.5	72.625	156.75	1.0	385572.0	173880
305.46646	336.25	82.0	20.9375	1.0	385572.0	173880
345.5254	398.5	74.5625	0.75439453	1.0	385572.0	173880
454.87305	507.75	86.1875	122.9375	1.0	385572.0	173880
388.23215	375.75	61.125	153.25	1.0	385572.0	173880
169.62535	330.75	123.9375	156.125	1.0	385572.0	173880
87.46972	356.0	79.1875	137.25	1.0	385572.0	173880
404.20682	529.5	121.125	170.125	1.0	385572.0	173880
96.05421	390.0	118.5	190.75	1.0	385572.0	173880
58.21463	352.25	120.1875	169.625	1.0	385572.0	173880
41.049904	296.75	72.6875	143.5	1.0	385572.0	173880
251.75473	364.25	117.5	141.25	1.0	385572.0	173880
313.09366	466.75	140.875	138.625	1.0	385572.0	173880
86.13589	543.0	189.375	243.375	1.0	385572.0	173880
55.823997	240.125	82.125	99.0	1.0	385572.0	173880
65.908676	308.0	127.6875	144.625	1.0	385572.0	173880
58.594997	365.75	87.25	149.0	1.0	385572.0	173880
283.36008	333.5	78.9375	4.3710938	1.0	385572.0	173880
139.62616	373.0	118.5625	181.125	1.0	385572.0	173880
116.34439	376.25	78.5625	45.59375	1.0	385572.0	173880
217.1803	443.5	168.625	195.125	1.0	385572.0	173880
63.46809	394.5	115.0625	156.125	1.0	385572.0	173880
354.69745	446.5	107.875	169.75	1.0	385572.0	173880
112.954704	379.75	122.4375	151.5	1.0	385572.0	173880
403.97964	454.75	83.4375	113.75	1.0	385572.0	173880
94.923035	341.0	68.8125	127.3125	1.0	385572.0	173880
143.3382	425.25	135.625	167.75	1.0	385572.0	173880
351.78128	528.0	151.625	192.125	1.0	385572.0	173880
90.56114	345.5	129.125	154.875	1.0	385572.0	173880
338.46008	411.75	102.375	142.125	1.0	385572.0	173880
92.284676	393.75	154.375	156.25	1.0	385572.0	173880
64.760345	339.0	87.625	136.125	1.0	385572.0	173880
109.58483	254.75	89.0	132.875	1.0	385572.0	173880
132.3735	393.25	73.8125	153.75	1.0	385572.0	173880
132.00392	412.0	112.6875	138.875	1.0	385572.0	173880
457.78754	480.5	113.6875	205.375	1.0	385572.0	173880
330.7992	579.5	147.875	195.125	1.0	385572.0	173880
483.22574	587.0	142.0	200.25	1.0	385572.0	173880
367.55484	436.75	81.8125	104.5625	1.0	385572.0	173880
139.06339	315.5	121.625	137.875	1.0	385572.0	173880
119.07245	311.75	71.5625	142.25	1.0	385572.0	173880
117.48149	453.5	93.25	151.875	1.0	385572.0	173880
297.09012	413.75	91.6875	158.375	1.0	385572.0	173880
109.390205	320.0	129.875	169.25	1.0	385572.0	173880
108.45198	392.5	69.9375	3.3476562	1.0	385572.0	173880
93.51549	512.0	80.0625	149.625	1.0	385572.0	173880
133.60503	422.75	62.09375	88.6875	1.0	385572.0	173880
152.32027	414.5	157.75	166.125	1.0	385572.0	173880
46.465492	373.25	109.8125	149.125	1.0	385572.0	173880
186.35878	466.0	137.625	163.125	1.0	385572.0	173880
85.642975	286.75	99.75	139.25	1.0	385572.0	173880
54.578587	227.25	67.3125	98.25	1.0	385572.0	173880
95.79868	266.75	55.75	95.5625	1.0	385572.0	173880
60.20679	294.0	94.0625	148.375	1.0	385572.0	173880
45.68317	427.75	74.875	132.75	1.0	385572.0	173880
53.97355	368.75	103.9375	147.25	1.0	385572.0	173880
103.7084	333.25	120.625	30.453125	1.0	385572.0	173880
