lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
151.18254	604.0	77.3125	129.5	-2.8689086	225952.33	29118
70.04761	290.75	91.8125	112.75	2.8689086	225952.33	29118
178.22072	518.0	129.125	155.625	-2.8689086	225952.33	29118
26.104286	228.375	48.1875	81.375	2.8689086	225952.33	29118
50.202095	306.0	58.1875	157.5	-2.8689086	225952.33	29118
63.622646	208.5	77.625	79.3125	2.8689086	225952.33	29118
208.1253	711.0	150.75	162.0	2.8689086	225952.33	29118
80.1697	505.75	113.4375	163.875	2.8689086	225952.33	29118
54.378357	805.0	74.75	3.3828125	2.8689086	225952.33	29118
195.05455	333.75	46.78125	115.6875	2.8689086	225952.33	29118
367.84732	610.0	71.6875	186.25	-2.8689086	225952.33	29118
