lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
383.15915	393.5	128.75	152.75	15.384004	15295498.0	855600
66.386635	208.5	77.5625	95.75	15.384004	15295498.0	855600
169.4703	226.5	117.5	83.25	15.384004	15295498.0	855600
281.68875	375.25	65.3125	132.125	15.384004	15295498.0	855600
273.73508	252.375	87.75	113.875	15.384004	15295498.0	855600
128.82712	285.25	75.9375	134.375	15.384004	15295498.0	855600
69.81743	378.25	61.9375	94.5	15.384004	15295498.0	855600
299.12582	321.0	87.5625	111.5	15.384004	15295498.0	855600
89.61283	426.5	71.5	165.5	15.384004	15295498.0	855600
81.29013	568.5	62.46875	51.65625	15.384004	15295498.0	855600
