lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
81.94527	407.75	58.53125	124.125	1.0	124761.0	77280
187.48169	557.5	101.6875	211.375	1.0	124761.0	77280
126.59494	362.0	129.125	3.8710938	1.0	124761.0	77280
136.99962	457.5	120.875	158.625	1.0	124761.0	77280
107.214134	566.0	112.375	226.0	1.0	124761.0	77280
329.84106	705.5	83.25	135.5	1.0	124761.0	77280
71.85305	459.25	112.4375	107.5625	1.0	124761.0	77280
120.31497	374.5	66.5625	184.625	1.0	124761.0	77280
259.475	559.0	142.25	158.875	1.0	124761.0	77280
112.75854	531.5	59.21875	160.75	1.0	124761.0	77280
238.73218	568.0	105.4375	168.25	1.0	124761.0	77280
79.96539	254.125	234.25	67.5	1.0	124761.0	77280
440.30618	585.5	57.375	212.0	1.0	124761.0	77280
111.2788	658.0	178.625	259.75	1.0	124761.0	77280
110.20941	488.25	121.3125	165.125	1.0	124761.0	77280
78.43472	445.5	185.625	176.25	1.0	124761.0	77280
97.74007	463.5	73.625	176.875	1.0	124761.0	77280
214.43263	559.0	179.75	3.359375	1.0	124761.0	77280
129.14716	394.5	71.1875	23.21875	1.0	124761.0	77280
68.91845	466.5	121.875	17.78125	1.0	124761.0	77280
125.80864	451.75	161.375	184.125	1.0	124761.0	77280
78.793236	405.75	91.25	54.125	1.0	124761.0	77280
222.18921	441.75	128.875	141.375	1.0	124761.0	77280
48.324356	481.0	121.625	173.0	1.0	124761.0	77280
150.93044	440.25	151.125	3.4902344	1.0	124761.0	77280
31.697353	477.25	103.6875	26.328125	1.0	124761.0	77280
109.72152	629.0	115.9375	178.25	1.0	124761.0	77280
93.82342	525.0	175.375	226.625	1.0	124761.0	77280
192.33574	510.25	123.75	3.1503906	1.0	124761.0	77280
