lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
53.788868	394.75	59.09375	165.125	0.005284793	204.75403	415
121.034386	289.5	77.3125	141.375	-0.005284793	204.75403	415
92.29721	295.25	133.0	123.875	0.005284793	204.75403	415
214.4628	370.0	63.25	162.0	0.005284793	204.75403	415
82.37304	288.25	90.5	142.125	0.005284793	204.75403	415
183.5154	213.375	62.125	101.4375	-0.005284793	204.75403	415
94.35411	407.5	158.75	191.0	-0.005284793	204.75403	415
133.21428	322.25	126.0	109.875	0.005284793	204.75403	415
262.18298	802.0	117.5	183.0	-0.005284793	204.75403	415
117.860855	511.0	137.75	203.625	0.005284793	204.75403	415
180.07825	253.5	73.3125	73.6875	-0.005284793	204.75403	415
43.003883	285.75	96.4375	117.5	0.005284793	204.75403	415
45.99042	222.125	32.625	101.5	0.005284793	204.75403	415
128.48311	205.375	66.3125	79.1875	0.005284793	204.75403	415
268.8054	299.75	88.4375	90.1875	-0.005284793	204.75403	415
272.1885	251.375	135.0	133.0	-0.005284793	204.75403	415
172.74562	218.875	83.75	94.125	0.005284793	204.75403	415
159.64319	486.0	66.625	203.125	0.005284793	204.75403	415
184.78783	420.0	126.8125	190.875	0.005284793	204.75403	415
30.07489	483.25	104.0	189.75	-0.005284793	204.75403	415
142.97755	350.5	84.375	150.75	0.005284793	204.75403	415
188.46057	359.0	60.1875	165.625	0.005284793	204.75403	415
164.2061	247.875	127.9375	96.5625	0.005284793	204.75403	415
325.76044	383.5	80.6875	153.5	0.005284793	204.75403	415
528.5731	552.0	57.34375	149.125	-0.005284793	204.75403	415
153.40294	196.625	70.5	-1.0	0.005284793	204.75403	415
96.58499	484.0	63.4375	180.0	-0.005284793	204.75403	415
113.82066	554.5	136.5	178.0	0.005284793	204.75403	415
174.43085	251.75	118.25	84.625	0.005284793	204.75403	415
384.4441	529.0	130.25	195.375	0.005284793	204.75403	415
153.96492	292.25	86.9375	128.875	0.005284793	204.75403	415
60.624294	443.0	205.375	196.25	-0.005284793	204.75403	415
213.16466	288.5	94.625	112.375	0.005284793	204.75403	415
242.18929	533.0	91.5625	98.25	0.005284793	204.75403	415
305.7919	389.5	129.5	82.1875	0.005284793	204.75403	415
172.15015	418.75	69.75	144.625	0.005284793	204.75403	415
50.478413	322.25	120.625	132.375	-0.005284793	204.75403	415
247.45749	516.0	105.0	195.75	0.005284793	204.75403	415
202.59412	427.25	61.53125	80.625	0.005284793	204.75403	415
214.25056	563.0	156.625	190.0	0.005284793	204.75403	415
117.634926	338.0	56.28125	144.5	0.005284793	204.75403	415
278.28412	417.75	124.625	167.0	0.005284793	204.75403	415
415.161	533.5	84.6875	160.75	0.005284793	204.75403	415
550.04944	599.5	253.25	259.5	-0.005284793	204.75403	415
138.89516	289.5	155.0	118.875	0.005284793	204.75403	415
175.70042	477.75	160.5	180.75	0.005284793	204.75403	415
240.36937	330.5	119.5625	130.375	0.005284793	204.75403	415
213.96263	391.5	84.5	96.1875	-0.005284793	204.75403	415
170.91167	305.0	137.0	38.0	0.005284793	204.75403	415
83.6224	222.125	78.875	63.28125	0.005284793	204.75403	415
527.58746	431.75	89.4375	96.8125	0.005284793	204.75403	415
125.304085	490.0	141.25	152.375	-0.005284793	204.75403	415
106.70934	320.0	122.4375	138.5	-0.005284793	204.75403	415
131.54567	384.5	96.4375	160.25	0.005284793	204.75403	415
65.68029	326.0	58.71875	112.0	0.005284793	204.75403	415
328.66608	817.5	77.25	165.125	0.005284793	204.75403	415
72.096375	506.0	114.375	184.125	0.005284793	204.75403	415
86.45997	268.75	67.3125	97.0	-0.005284793	204.75403	415
63.829166	437.25	220.375	201.125	-0.005284793	204.75403	415
316.87357	684.5	78.1875	71.875	-0.005284793	204.75403	415
198.11159	536.0	147.75	151.25	0.005284793	204.75403	415
483.73123	343.75	157.0	140.875	0.005284793	204.75403	415
375.43262	553.0	180.0	180.375	0.005284793	204.75403	415
321.13623	535.0	104.1875	182.125	0.005284793	204.75403	415
