lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
365.14578	438.25	77.875	193.75	-8.513033	8613077.0	1213296
183.20164	325.75	118.9375	135.625	8.513033	8613077.0	1213296
163.6586	392.25	120.0	157.375	8.513033	8613077.0	1213296
273.28336	291.0	140.0	112.5	8.513033	8613077.0	1213296
224.22142	278.75	57.4375	105.9375	8.513033	8613077.0	1213296
174.48361	561.5	59.9375	24.640625	8.513033	8613077.0	1213296
170.65253	252.75	66.1875	89.6875	8.513033	8613077.0	1213296
306.43292	272.0	71.9375	101.5625	8.513033	8613077.0	1213296
280.4725	452.0	88.25	116.6875	-8.513033	8613077.0	1213296
268.4412	334.75	125.6875	105.6875	-8.513033	8613077.0	1213296
136.63031	239.375	55.8125	108.125	8.513033	8613077.0	1213296
281.13983	332.25	106.3125	157.75	8.513033	8613077.0	1213296
465.31345	309.0	64.75	97.0625	8.513033	8613077.0	1213296
