lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
219.49498	326.5	92.8125	151.0	1.0	708492.0	5244000
133.42834	259.75	34.34375	109.5625	1.0	708492.0	5244000
270.90054	265.75	84.75	95.5	1.0	708492.0	5244000
112.737724	203.5	82.6875	92.125	1.0	708492.0	5244000
227.12984	268.0	47.21875	117.3125	1.0	708492.0	5244000
270.08466	344.5	97.125	182.0	1.0	708492.0	5244000
204.4438	290.25	26.046875	111.25	1.0	708492.0	5244000
252.42656	347.5	127.1875	153.375	1.0	708492.0	5244000
88.92343	204.375	69.875	87.3125	1.0	708492.0	5244000
213.9397	265.5	79.25	110.1875	1.0	708492.0	5244000
248.17561	277.5	85.0	115.125	1.0	708492.0	5244000
73.48557	254.5	73.875	108.25	1.0	708492.0	5244000
242.32674	307.0	69.6875	119.3125	1.0	708492.0	5244000
244.30609	280.5	111.375	118.3125	1.0	708492.0	5244000
171.01508	228.625	92.25	88.1875	1.0	708492.0	5244000
110.60556	253.375	59.3125	118.8125	1.0	708492.0	5244000
