lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
63.86766	467.0	78.6875	169.375	1.0	987000.0	306360
217.60698	597.5	140.625	164.625	1.0	987000.0	306360
65.72736	266.75	49.84375	5.1601562	1.0	987000.0	306360
67.51825	268.0	126.5625	106.375	1.0	987000.0	306360
63.171272	212.375	113.375	6.109375	1.0	987000.0	306360
82.29202	243.5	113.625	99.4375	1.0	987000.0	306360
49.151043	241.125	113.6875	110.1875	1.0	987000.0	306360
50.923103	287.75	90.5	81.8125	1.0	987000.0	306360
60.991173	299.75	49.8125	118.5625	1.0	987000.0	306360
63.497494	253.5	85.5	8.296875	1.0	987000.0	306360
49.430008	479.5	138.5	3.7480469	1.0	987000.0	306360
53.13187	313.25	127.75	144.75	1.0	987000.0	306360
197.4508	344.0	100.25	113.3125	1.0	987000.0	306360
