lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
96.69802	357.75	159.25	160.25	2.8689086	147602.45	29118
118.55833	283.75	114.375	106.9375	2.8689086	147602.45	29118
79.282326	367.5	99.3125	118.4375	2.8689086	147602.45	29118
134.86612	219.625	43.46875	92.5625	2.8689086	147602.45	29118
180.06926	553.5	96.125	169.0	-2.8689086	147602.45	29118
40.123714	448.25	131.75	170.625	-2.8689086	147602.45	29118
95.30645	366.5	57.46875	137.5	2.8689086	147602.45	29118
159.86453	305.25	88.6875	134.625	2.8689086	147602.45	29118
247.19434	542.0	107.0	186.0	-2.8689086	147602.45	29118
67.10244	446.75	147.375	175.75	2.8689086	147602.45	29118
91.39979	381.0	45.78125	106.9375	2.8689086	147602.45	29118
50.927383	419.0	151.0	217.0	2.8689086	147602.45	29118
116.37205	394.0	45.53125	9.8671875	2.8689086	147602.45	29118
144.57478	216.125	75.75	92.6875	2.8689086	147602.45	29118
116.51028	849.0	86.0	34.34375	2.8689086	147602.45	29118
152.70891	468.0	125.875	153.25	-2.8689086	147602.45	29118
58.820164	313.75	55.65625	88.6875	-2.8689086	147602.45	29118
128.57083	442.0	84.9375	183.625	2.8689086	147602.45	29118
96.03684	401.25	39.375	121.3125	2.8689086	147602.45	29118
42.06267	265.75	56.40625	84.6875	-2.8689086	147602.45	29118
75.38735	500.75	111.1875	195.0	-2.8689086	147602.45	29118
149.7523	382.5	68.375	82.4375	2.8689086	147602.45	29118
49.048763	394.75	59.71875	197.75	2.8689086	147602.45	29118
72.20795	477.25	92.5	150.5	2.8689086	147602.45	29118
120.92081	386.0	64.625	137.375	2.8689086	147602.45	29118
83.034164	295.75	81.5625	102.8125	-2.8689086	147602.45	29118
47.89918	335.0	44.84375	84.1875	2.8689086	147602.45	29118
105.22448	535.0	116.875	217.5	2.8689086	147602.45	29118
135.24254	351.75	114.25	128.375	2.8689086	147602.45	29118
81.14639	303.5	30.421875	87.8125	-2.8689086	147602.45	29118
57.914238	405.5	33.1875	168.625	-2.8689086	147602.45	29118
