lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
63.083797	330.25	94.3125	112.9375	-0.61813426	59470.082	33941
60.27515	353.0	121.3125	143.625	0.61813426	59470.082	33941
139.64961	358.0	125.0	145.375	0.61813426	59470.082	33941
46.41233	263.0	50.3125	93.0625	0.61813426	59470.082	33941
55.648342	392.5	167.375	180.25	0.61813426	59470.082	33941
67.212296	357.75	47.25	2.1152344	-0.61813426	59470.082	33941
39.934963	419.0	31.78125	153.25	0.61813426	59470.082	33941
89.56544	418.75	102.75	166.75	-0.61813426	59470.082	33941
89.287796	287.0	39.3125	129.125	0.61813426	59470.082	33941
45.155514	1180.0	77.5	131.625	0.61813426	59470.082	33941
87.24505	266.75	72.875	103.0	-0.61813426	59470.082	33941
42.61984	377.0	165.25	162.25	0.61813426	59470.082	33941
67.64294	387.75	145.875	127.125	0.61813426	59470.082	33941
99.86383	382.25	62.40625	107.6875	0.61813426	59470.082	33941
86.25192	221.125	131.25	42.53125	0.61813426	59470.082	33941
21.665758	594.0	81.6875	1.1582031	0.61813426	59470.082	33941
31.226177	751.0	145.875	6.0507812	-0.61813426	59470.082	33941
47.564056	496.25	61.03125	176.25	0.61813426	59470.082	33941
64.725235	636.5	84.9375	182.625	0.61813426	59470.082	33941
110.77544	395.0	138.125	188.75	0.61813426	59470.082	33941
85.787125	387.5	140.125	161.0	-0.61813426	59470.082	33941
74.02606	469.0	26.453125	186.5	0.61813426	59470.082	33941
226.09262	589.0	108.625	76.0625	-0.61813426	59470.082	33941
251.34122	561.5	84.3125	122.625	0.61813426	59470.082	33941
212.54045	443.0	101.125	156.125	0.61813426	59470.082	33941
