AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
214.0	192.5	0.49554962	209915.81	35563
454.25	425.0	-0.49554962	209915.81	35563
402.5	405.0	-0.49554962	209915.81	35563
254.625	261.0	0.49554962	209915.81	35563
412.0	413.0	0.49554962	209915.81	35563
460.25	429.0	-0.49554962	209915.81	35563
321.0	342.0	0.49554962	209915.81	35563
692.0	656.0	0.49554962	209915.81	35563
516.0	467.0	-0.49554962	209915.81	35563
359.5	378.0	0.49554962	209915.81	35563
320.75	101.75	-0.49554962	209915.81	35563
398.0	440.0	0.49554962	209915.81	35563
377.75	340.0	0.49554962	209915.81	35563
697.0	732.0	0.49554962	209915.81	35563
666.0	686.0	0.49554962	209915.81	35563
409.25	431.0	0.49554962	209915.81	35563
537.5	548.0	-0.49554962	209915.81	35563
235.25	301.0	0.49554962	209915.81	35563
461.0	427.0	0.49554962	209915.81	35563
286.0	297.0	0.49554962	209915.81	35563
384.75	394.0	0.49554962	209915.81	35563
342.0	337.0	0.49554962	209915.81	35563
302.5	354.0	0.49554962	209915.81	35563
858.5	834.0	0.49554962	209915.81	35563
503.5	304.0	0.49554962	209915.81	35563
394.5	392.0	0.49554962	209915.81	35563
239.75	282.0	0.49554962	209915.81	35563
492.5	506.0	0.49554962	209915.81	35563
319.25	292.0	0.49554962	209915.81	35563
381.0	427.0	0.49554962	209915.81	35563
302.0	243.0	-0.49554962	209915.81	35563
330.25	318.0	0.49554962	209915.81	35563
421.25	398.0	0.49554962	209915.81	35563
439.5	363.0	-0.49554962	209915.81	35563
248.375	228.5	-0.49554962	209915.81	35563
323.75	318.0	0.49554962	209915.81	35563
295.75	317.0	0.49554962	209915.81	35563
384.0	367.0	0.49554962	209915.81	35563
272.25	186.5	0.49554962	209915.81	35563
273.25	239.0	0.49554962	209915.81	35563
435.75	412.0	-0.49554962	209915.81	35563
469.75	441.0	0.49554962	209915.81	35563
447.75	451.0	-0.49554962	209915.81	35563
382.75	382.0	0.49554962	209915.81	35563
356.75	359.0	0.49554962	209915.81	35563
290.5	308.0	0.49554962	209915.81	35563
393.75	375.0	0.49554962	209915.81	35563
630.0	620.0	-0.49554962	209915.81	35563
248.875	266.0	0.49554962	209915.81	35563
597.0	548.0	0.49554962	209915.81	35563
528.0	546.0	-0.49554962	209915.81	35563
331.5	311.0	0.49554962	209915.81	35563
646.0	409.0	-0.49554962	209915.81	35563
323.0	293.0	0.49554962	209915.81	35563
579.0	552.0	0.49554962	209915.81	35563
285.25	341.0	0.49554962	209915.81	35563
410.25	205.0	-0.49554962	209915.81	35563
400.75	137.0	0.49554962	209915.81	35563
453.25	425.0	0.49554962	209915.81	35563
