lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
234.13219	391.75	47.09375	164.25	0.005284793	16.594252	415
310.9965	315.25	70.6875	95.4375	0.005284793	16.594252	415
101.521225	627.0	29.828125	209.25	-0.005284793	16.594252	415
39.662518	374.25	29.234375	180.5	0.005284793	16.594252	415
457.18872	366.0	83.5	143.625	0.005284793	16.594252	415
66.72307	409.75	112.75	173.0	-0.005284793	16.594252	415
237.162	563.5	49.5	109.9375	0.005284793	16.594252	415
106.9892	322.25	58.8125	138.5	0.005284793	16.594252	415
276.3656	385.0	45.40625	191.375	0.005284793	16.594252	415
46.330738	681.0	66.625	46.21875	0.005284793	16.594252	415
322.55075	484.0	62.375	167.875	0.005284793	16.594252	415
158.18277	360.0	27.71875	123.125	0.005284793	16.594252	415
261.72455	451.5	80.875	99.4375	0.005284793	16.594252	415
127.8811	567.0	56.125	163.0	-0.005284793	16.594252	415
109.25731	528.5	58.5625	162.25	0.005284793	16.594252	415
112.134735	263.25	93.375	112.0625	0.005284793	16.594252	415
117.66157	246.875	30.75	98.5625	-0.005284793	16.594252	415
225.75122	430.5	114.4375	177.625	0.005284793	16.594252	415
75.75104	254.625	62.09375	107.5	0.005284793	16.594252	415
97.07609	255.125	69.25	97.125	0.005284793	16.594252	415
72.35728	240.75	141.25	61.53125	-0.005284793	16.594252	415
52.032494	398.75	33.15625	108.375	0.005284793	16.594252	415
99.272545	415.75	171.125	170.0	0.005284793	16.594252	415
142.09808	452.75	102.0	187.625	0.005284793	16.594252	415
129.01549	524.5	100.1875	174.875	0.005284793	16.594252	415
161.6856	433.25	138.375	175.625	-0.005284793	16.594252	415
48.137993	297.0	48.5625	67.25	-0.005284793	16.594252	415
108.852005	282.0	51.28125	109.875	0.005284793	16.594252	415
150.51729	269.25	134.625	94.9375	0.005284793	16.594252	415
128.04282	252.75	69.3125	58.5625	0.005284793	16.594252	415
38.1344	257.0	115.375	110.25	0.005284793	16.594252	415
197.53201	269.25	121.4375	117.0625	0.005284793	16.594252	415
147.46494	322.5	46.78125	90.6875	-0.005284793	16.594252	415
489.81216	470.75	145.375	186.75	0.005284793	16.594252	415
287.40714	449.0	106.0	189.25	-0.005284793	16.594252	415
226.5679	295.0	117.9375	134.875	0.005284793	16.594252	415
