lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
285.386	334.0	77.0	115.25	-15.384004	15287389.0	855600
83.62729	504.25	138.25	196.625	15.384004	15287389.0	855600
434.6562	826.5	30.5625	84.375	15.384004	15287389.0	855600
146.1536	526.5	182.125	203.875	15.384004	15287389.0	855600
244.02225	301.75	104.875	155.75	15.384004	15287389.0	855600
369.34628	392.25	32.5	78.1875	15.384004	15287389.0	855600
103.17988	291.25	80.5	119.0	-15.384004	15287389.0	855600
97.85533	505.0	136.0	222.5	15.384004	15287389.0	855600
288.5511	902.0	123.875	38.375	15.384004	15287389.0	855600
273.80566	426.75	35.28125	50.8125	15.384004	15287389.0	855600
897.8909	931.5	50.53125	124.375	-15.384004	15287389.0	855600
194.83138	262.5	124.625	14.265625	15.384004	15287389.0	855600
58.890484	356.0	80.6875	91.9375	15.384004	15287389.0	855600
313.3983	476.5	55.5	172.5	-15.384004	15287389.0	855600
276.04517	424.75	52.53125	89.375	15.384004	15287389.0	855600
218.82098	307.25	102.9375	144.375	15.384004	15287389.0	855600
156.91536	345.25	151.75	153.5	15.384004	15287389.0	855600
445.16602	500.5	66.1875	172.5	15.384004	15287389.0	855600
268.37268	284.0	109.125	117.1875	-15.384004	15287389.0	855600
309.60956	357.75	114.6875	138.0	15.384004	15287389.0	855600
270.9636	425.75	55.46875	165.125	15.384004	15287389.0	855600
102.28271	410.5	107.875	162.625	15.384004	15287389.0	855600
353.01413	418.25	158.375	180.75	15.384004	15287389.0	855600
340.31815	513.5	53.875	142.5	-15.384004	15287389.0	855600
67.8354	379.5	83.0	77.8125	15.384004	15287389.0	855600
160.80357	262.0	125.625	131.875	15.384004	15287389.0	855600
255.29141	418.5	25.421875	99.5	15.384004	15287389.0	855600
440.4791	283.0	46.625	64.875	15.384004	15287389.0	855600
202.18364	314.25	88.5	123.4375	15.384004	15287389.0	855600
97.302765	758.0	59.8125	216.5	15.384004	15287389.0	855600
157.79231	451.25	76.1875	146.875	15.384004	15287389.0	855600
266.807	399.5	70.1875	145.125	15.384004	15287389.0	855600
110.98303	216.75	93.125	92.6875	15.384004	15287389.0	855600
58.05746	427.5	56.71875	4.2578125	15.384004	15287389.0	855600
229.81557	293.5	128.5	140.125	15.384004	15287389.0	855600
407.2948	366.75	113.5625	168.625	15.384004	15287389.0	855600
183.79118	422.75	130.0	21.3125	15.384004	15287389.0	855600
67.20456	224.25	158.625	84.5625	15.384004	15287389.0	855600
254.37459	266.5	71.875	107.625	15.384004	15287389.0	855600
186.32582	320.5	42.0	104.1875	15.384004	15287389.0	855600
439.33875	628.5	26.90625	82.625	15.384004	15287389.0	855600
367.18716	542.0	69.0625	170.75	-15.384004	15287389.0	855600
153.04048	470.75	201.75	196.5	15.384004	15287389.0	855600
105.67402	258.5	58.125	100.8125	15.384004	15287389.0	855600
274.3562	498.5	106.75	185.125	15.384004	15287389.0	855600
266.08176	462.5	131.125	164.875	15.384004	15287389.0	855600
138.14523	592.5	27.125	186.75	15.384004	15287389.0	855600
176.59721	372.25	30.796875	132.125	15.384004	15287389.0	855600
541.1832	807.5	70.6875	46.03125	15.384004	15287389.0	855600
87.10788	223.75	71.1875	4.9570312	15.384004	15287389.0	855600
427.44693	448.0	45.78125	146.75	-15.384004	15287389.0	855600
278.48044	466.5	33.96875	84.4375	15.384004	15287389.0	855600
244.25447	314.5	115.5	143.0	15.384004	15287389.0	855600
185.37524	220.125	51.84375	82.3125	-15.384004	15287389.0	855600
48.539207	320.5	60.71875	126.0	15.384004	15287389.0	855600
199.80931	406.5	113.9375	140.25	15.384004	15287389.0	855600
80.08581	231.625	82.875	86.0625	15.384004	15287389.0	855600
55.344574	325.75	72.9375	3.0078125	-15.384004	15287389.0	855600
469.6153	425.5	97.0625	201.25	-15.384004	15287389.0	855600
472.9152	446.0	134.25	150.25	15.384004	15287389.0	855600
82.65188	222.5	37.5625	74.375	-15.384004	15287389.0	855600
195.23384	362.0	29.3125	160.0	15.384004	15287389.0	855600
232.33148	272.25	71.6875	94.0	-15.384004	15287389.0	855600
