lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
280.53568	538.0	179.0	89.0	8.513033	6583213.5	1213296
167.982	212.75	58.375	85.625	8.513033	6583213.5	1213296
276.85632	342.25	39.75	90.3125	-8.513033	6583213.5	1213296
279.64072	273.0	79.0	121.75	8.513033	6583213.5	1213296
226.47469	305.25	105.125	81.875	-8.513033	6583213.5	1213296
228.69902	309.75	73.4375	117.9375	8.513033	6583213.5	1213296
187.76735	444.5	151.0	169.75	8.513033	6583213.5	1213296
274.7443	336.5	110.6875	128.75	8.513033	6583213.5	1213296
260.04773	508.5	88.1875	191.875	8.513033	6583213.5	1213296
178.46237	284.25	29.875	113.3125	-8.513033	6583213.5	1213296
202.28535	327.0	105.0	118.1875	-8.513033	6583213.5	1213296
96.57987	418.75	86.25	186.0	-8.513033	6583213.5	1213296
196.50636	343.0	86.1875	108.6875	8.513033	6583213.5	1213296
123.86791	569.0	31.390625	143.5	8.513033	6583213.5	1213296
545.0011	863.0	61.71875	40.125	-8.513033	6583213.5	1213296
74.4947	471.75	110.8125	179.375	8.513033	6583213.5	1213296
94.97903	438.75	32.46875	158.0	8.513033	6583213.5	1213296
309.83685	533.0	74.375	152.75	8.513033	6583213.5	1213296
359.1686	357.0	58.53125	122.5	8.513033	6583213.5	1213296
174.12431	233.625	47.5625	121.125	8.513033	6583213.5	1213296
180.01334	291.75	61.8125	142.375	8.513033	6583213.5	1213296
258.14627	361.0	28.15625	135.875	8.513033	6583213.5	1213296
234.04567	236.625	117.1875	114.75	8.513033	6583213.5	1213296
265.14273	343.0	112.875	141.625	8.513033	6583213.5	1213296
171.77328	224.625	82.0625	83.875	-8.513033	6583213.5	1213296
257.63797	256.75	87.6875	100.9375	8.513033	6583213.5	1213296
443.46634	535.0	77.125	168.625	8.513033	6583213.5	1213296
314.53577	288.75	103.625	118.3125	8.513033	6583213.5	1213296
249.43993	247.125	64.625	124.875	-8.513033	6583213.5	1213296
240.73515	413.0	144.375	163.75	8.513033	6583213.5	1213296
105.81649	251.5	91.0625	101.0	8.513033	6583213.5	1213296
175.91425	291.0	31.234375	133.25	8.513033	6583213.5	1213296
535.8251	522.0	116.9375	167.25	8.513033	6583213.5	1213296
248.64307	515.5	131.375	204.0	-8.513033	6583213.5	1213296
266.33942	411.75	126.1875	135.375	8.513033	6583213.5	1213296
246.99796	453.5	153.25	151.875	-8.513033	6583213.5	1213296
46.51036	297.0	117.0	113.0	8.513033	6583213.5	1213296
305.88208	415.75	76.3125	143.25	8.513033	6583213.5	1213296
192.7419	324.5	81.3125	120.5625	-8.513033	6583213.5	1213296
161.7761	255.75	60.21875	112.8125	8.513033	6583213.5	1213296
743.5304	791.0	116.9375	191.5	8.513033	6583213.5	1213296
390.68387	526.0	119.125	128.125	-8.513033	6583213.5	1213296
86.53405	204.375	98.1875	85.875	8.513033	6583213.5	1213296
312.87567	407.5	80.25	165.25	8.513033	6583213.5	1213296
393.14417	493.75	28.703125	66.5	-8.513033	6583213.5	1213296
280.85333	365.75	90.0625	117.4375	-8.513033	6583213.5	1213296
184.43181	352.25	95.75	138.5	8.513033	6583213.5	1213296
73.110756	534.5	111.0625	228.75	8.513033	6583213.5	1213296
141.86594	304.5	56.09375	139.0	-8.513033	6583213.5	1213296
411.27457	679.0	81.625	53.125	8.513033	6583213.5	1213296
245.07152	253.625	26.859375	104.0625	-8.513033	6583213.5	1213296
204.31686	359.5	77.6875	72.375	8.513033	6583213.5	1213296
242.91805	451.75	140.875	161.0	8.513033	6583213.5	1213296
149.67151	240.875	45.15625	92.75	8.513033	6583213.5	1213296
43.922726	359.75	53.9375	179.25	8.513033	6583213.5	1213296
187.11815	248.25	145.125	70.4375	8.513033	6583213.5	1213296
205.35304	430.0	93.1875	141.875	-8.513033	6583213.5	1213296
258.68347	256.5	69.0	93.1875	8.513033	6583213.5	1213296
302.61627	308.25	151.75	133.25	-8.513033	6583213.5	1213296
154.37526	306.5	38.1875	156.375	8.513033	6583213.5	1213296
400.56958	401.0	72.0	144.75	8.513033	6583213.5	1213296
237.50313	483.0	38.40625	175.125	8.513033	6583213.5	1213296
198.81172	242.875	65.6875	119.9375	8.513033	6583213.5	1213296
399.88568	264.5	62.3125	97.5625	8.513033	6583213.5	1213296
79.99275	240.0	67.0	90.3125	8.513033	6583213.5	1213296
109.46261	332.75	53.96875	118.125	8.513033	6583213.5	1213296
80.78625	356.0	77.0625	158.125	8.513033	6583213.5	1213296
106.70075	229.25	82.5	94.8125	8.513033	6583213.5	1213296
162.98123	298.5	52.53125	133.25	8.513033	6583213.5	1213296
86.7121	212.75	55.25	79.8125	8.513033	6583213.5	1213296
236.29979	283.25	65.125	101.625	-8.513033	6583213.5	1213296
125.87798	603.0	47.0625	152.5	8.513033	6583213.5	1213296
173.05058	291.0	41.0625	122.4375	8.513033	6583213.5	1213296
84.530655	262.25	112.5625	99.375	8.513033	6583213.5	1213296
231.25922	363.25	155.125	159.125	8.513033	6583213.5	1213296
252.23875	239.0	108.375	119.375	8.513033	6583213.5	1213296
465.99277	718.0	55.625	171.875	8.513033	6583213.5	1213296
135.2708	342.75	26.5	114.0	8.513033	6583213.5	1213296
372.29788	396.0	140.125	199.875	8.513033	6583213.5	1213296
286.36172	343.25	125.875	134.125	-8.513033	6583213.5	1213296
