lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
222.14131	413.0	0.7328869	111.0	a	0.49554962	289570.47	35563
473.656	829.5	0.59525937	175.875	a	-0.49554962	289570.47	35563
59.94009	350.25	0.8077155	164.75		0.49554962	289570.47	35563
173.12547	365.5	0.32766545	170.75	a	0.49554962	289570.47	35563
159.86458	273.5	0.71834624	10.1796875		0.49554962	289570.47	35563
67.993126	453.75	0.8433642	166.75	a	0.49554962	289570.47	35563
284.19485	244.0	0.7741445	102.375	c	0.49554962	289570.47	35563
131.90817	597.5	0.42210525	182.25	a	0.49554962	289570.47	35563
349.1438	535.5	0.38366336	191.75	a	-0.49554962	289570.47	35563
472.35013	560.0	0.70723945	112.625	a	0.49554962	289570.47	35563
336.3914	474.75	0.6474122	156.5	a	-0.49554962	289570.47	35563
236.364	472.75	0.8546082	86.8125		-0.49554962	289570.47	35563
185.14465	419.5	0.46477613	208.0	a	-0.49554962	289570.47	35563
364.58133	446.25	0.9471218	116.9375		0.49554962	289570.47	35563
241.90518	246.5	0.85444534	74.4375		-0.49554962	289570.47	35563
225.06549	426.25	0.58090186	171.5	a	0.49554962	289570.47	35563
179.64346	325.25	0.6910526	141.375		-0.49554962	289570.47	35563
152.48056	326.5	0.6310345	118.9375		-0.49554962	289570.47	35563
51.52266	473.0	0.58350307	178.5	a	0.49554962	289570.47	35563
145.24124	346.25	0.2631932	170.375	a	0.49554962	289570.47	35563
52.822437	235.375	0.6384283	103.1875		-0.49554962	289570.47	35563
177.99184	248.0	0.78578895	6.3828125	c	-0.49554962	289570.47	35563
269.06332	434.75	0.66473377	157.5		0.49554962	289570.47	35563
56.01732	195.625	0.5857401	69.8125		-0.49554962	289570.47	35563
115.65891	410.0	0.7795513	130.0	d	0.49554962	289570.47	35563
344.82364	671.5	0.70089054	151.625	a	0.49554962	289570.47	35563
79.396614	623.0	0.47982594	77.125	a	-0.49554962	289570.47	35563
188.40504	518.0	0.39534378	175.875	a	-0.49554962	289570.47	35563
307.9609	222.125	0.88258785	72.9375		-0.49554962	289570.47	35563
89.733986	197.875	0.6527197	48.28125	c	0.49554962	289570.47	35563
457.62213	738.0	0.5479798	311.0	a	0.49554962	289570.47	35563
178.60663	527.0	0.44837636	184.75	a	0.49554962	289570.47	35563
335.96942	350.25	0.64675176	85.6875	b	-0.49554962	289570.47	35563
187.18604	421.5	0.7600157	184.0		0.49554962	289570.47	35563
333.78348	558.0	0.5455764	192.0	a	0.49554962	289570.47	35563
167.19519	485.5	0.27238807	173.0	a	0.49554962	289570.47	35563
104.2231	371.25	0.81866467	113.1875		-0.49554962	289570.47	35563
109.908775	239.125	0.839174	99.0	c	0.49554962	289570.47	35563
62.1121	311.5	0.51878357	152.25	a	0.49554962	289570.47	35563
