lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
72.73225	320.5	279.0	141.875	1.0	1132766.0	173880
141.96104	343.75	78.875	151.25	1.0	1132766.0	173880
139.08055	349.25	114.75	94.5625	1.0	1132766.0	173880
47.23762	423.5	168.75	1.515625	1.0	1132766.0	173880
245.16916	442.0	136.125	168.0	1.0	1132766.0	173880
413.21848	547.5	106.4375	198.875	1.0	1132766.0	173880
304.4934	601.0	79.75	176.625	1.0	1132766.0	173880
185.90361	321.25	42.4375	82.875	1.0	1132766.0	173880
143.16295	381.5	162.375	153.375	1.0	1132766.0	173880
199.09573	430.75	135.0	148.125	1.0	1132766.0	173880
80.3448	382.5	160.5	167.375	1.0	1132766.0	173880
67.24902	371.0	107.0625	167.625	1.0	1132766.0	173880
86.08636	371.0	96.25	2.5117188	1.0	1132766.0	173880
255.09157	464.25	124.375	132.5	1.0	1132766.0	173880
230.6049	432.0	95.8125	174.125	1.0	1132766.0	173880
224.33055	329.75	158.75	8.15625	1.0	1132766.0	173880
249.85837	410.25	170.125	158.625	1.0	1132766.0	173880
638.7885	600.5	144.125	163.625	1.0	1132766.0	173880
236.03131	347.25	88.0	141.0	1.0	1132766.0	173880
132.65117	480.25	60.6875	132.375	1.0	1132766.0	173880
333.96198	578.0	122.6875	229.125	1.0	1132766.0	173880
83.247116	393.0	108.5625	167.875	1.0	1132766.0	173880
142.4929	422.75	76.25	1.9023438	1.0	1132766.0	173880
248.13162	311.75	126.4375	141.125	1.0	1132766.0	173880
156.24268	343.25	88.6875	158.625	1.0	1132766.0	173880
65.43176	307.0	163.625	143.75	1.0	1132766.0	173880
180.74467	382.5	88.0625	157.75	1.0	1132766.0	173880
294.66135	429.75	77.625	79.5625	1.0	1132766.0	173880
53.76335	354.75	111.625	176.75	1.0	1132766.0	173880
189.87067	227.375	98.375	80.0	1.0	1132766.0	173880
64.86975	372.0	79.0625	148.875	1.0	1132766.0	173880
63.13721	423.5	120.125	175.625	1.0	1132766.0	173880
421.90436	634.0	238.5	242.625	1.0	1132766.0	173880
73.93151	265.25	77.5	113.4375	1.0	1132766.0	173880
512.5246	318.0	108.4375	96.625	1.0	1132766.0	173880
43.474197	328.25	85.8125	114.8125	1.0	1132766.0	173880
59.651302	348.75	90.3125	5.3476562	1.0	1132766.0	173880
126.297905	377.5	72.1875	153.875	1.0	1132766.0	173880
208.42357	370.0	66.8125	179.25	1.0	1132766.0	173880
120.38374	305.25	148.125	117.125	1.0	1132766.0	173880
114.82276	446.0	137.5	120.6875	1.0	1132766.0	173880
114.02461	426.5	122.25	157.375	1.0	1132766.0	173880
298.46298	561.5	212.5	269.75	1.0	1132766.0	173880
135.7978	418.25	147.25	162.5	1.0	1132766.0	173880
110.23527	437.75	78.5625	204.25	1.0	1132766.0	173880
294.62558	443.5	113.5625	148.875	1.0	1132766.0	173880
77.25318	338.25	65.375	1.9111328	1.0	1132766.0	173880
65.2135	318.0	91.4375	47.5	1.0	1132766.0	173880
99.20782	418.25	73.0625	120.3125	1.0	1132766.0	173880
359.45947	402.25	100.1875	8.40625	1.0	1132766.0	173880
256.4958	483.5	106.125	131.625	1.0	1132766.0	173880
205.57014	503.75	185.625	182.25	1.0	1132766.0	173880
93.003395	318.5	101.125	148.625	1.0	1132766.0	173880
153.96454	373.0	58.21875	85.0	1.0	1132766.0	173880
113.29851	327.0	88.9375	142.875	1.0	1132766.0	173880
196.22778	322.0	122.0625	108.1875	1.0	1132766.0	173880
365.39914	384.75	107.0625	147.25	1.0	1132766.0	173880
186.61687	502.25	116.1875	169.25	1.0	1132766.0	173880
92.79224	272.0	119.8125	92.8125	1.0	1132766.0	173880
108.66859	265.0	59.84375	62.34375	1.0	1132766.0	173880
488.37143	332.5	100.125	135.25	1.0	1132766.0	173880
83.73871	345.75	185.25	172.625	1.0	1132766.0	173880
51.56735	322.75	127.3125	66.0	1.0	1132766.0	173880
121.886925	411.5	89.75	131.125	1.0	1132766.0	173880
247.08018	500.75	146.625	236.5	1.0	1132766.0	173880
133.69437	278.25	105.875	119.375	1.0	1132766.0	173880
90.25675	432.75	168.375	186.0	1.0	1132766.0	173880
389.04376	530.0	126.125	210.875	1.0	1132766.0	173880
82.3947	458.0	159.5	165.125	1.0	1132766.0	173880
246.82272	371.25	122.375	158.375	1.0	1132766.0	173880
530.78845	694.0	110.5	219.75	1.0	1132766.0	173880
222.39862	310.5	100.375	8.0390625	1.0	1132766.0	173880
109.58842	359.75	76.3125	166.625	1.0	1132766.0	173880
49.704563	398.25	71.6875	0.8588867	1.0	1132766.0	173880
47.811012	368.5	105.4375	138.75	1.0	1132766.0	173880
91.64902	342.75	130.75	1.7333984	1.0	1132766.0	173880
533.85034	366.5	105.5625	126.5	1.0	1132766.0	173880
398.5085	559.5	118.6875	172.75	1.0	1132766.0	173880
120.257195	295.25	179.5	4.421875	1.0	1132766.0	173880
60.46388	376.5	92.3125	174.625	1.0	1132766.0	173880
95.18532	364.0	68.125	105.3125	1.0	1132766.0	173880
324.56577	443.25	70.4375	129.25	1.0	1132766.0	173880
302.39194	421.25	105.6875	152.5	1.0	1132766.0	173880
468.3486	372.0	107.375	204.375	1.0	1132766.0	173880
66.67609	402.5	161.25	174.75	1.0	1132766.0	173880
61.381298	347.5	126.625	148.625	1.0	1132766.0	173880
180.9685	441.5	197.625	205.875	1.0	1132766.0	173880
69.811066	321.25	99.4375	1.4160156	1.0	1132766.0	173880
111.26793	349.75	82.125	126.0	1.0	1132766.0	173880
80.71811	383.25	157.625	153.625	1.0	1132766.0	173880
343.12653	455.5	103.5625	160.125	1.0	1132766.0	173880
568.2967	557.0	83.6875	145.625	1.0	1132766.0	173880
56.44202	383.25	94.5625	4.0859375	1.0	1132766.0	173880
83.729195	396.5	161.125	110.0625	1.0	1132766.0	173880
129.34799	345.75	130.625	153.5	1.0	1132766.0	173880
74.335266	309.25	99.25	139.125	1.0	1132766.0	173880
71.41159	379.25	69.875	144.0	1.0	1132766.0	173880
118.18756	448.5	136.25	4.6953125	1.0	1132766.0	173880
269.4932	396.75	95.875	129.25	1.0	1132766.0	173880
186.70828	474.25	109.3125	131.875	1.0	1132766.0	173880
270.58194	512.5	123.9375	177.875	1.0	1132766.0	173880
153.27113	376.75	82.75	174.75	1.0	1132766.0	173880
79.20276	330.75	48.75	92.75	1.0	1132766.0	173880
86.89326	385.75	86.5625	145.125	1.0	1132766.0	173880
81.018234	377.0	87.0	1.9755859	1.0	1132766.0	173880
112.69851	377.75	67.875	126.375	1.0	1132766.0	173880
718.34863	612.0	150.375	143.5	1.0	1132766.0	173880
98.576935	302.0	130.75	133.625	1.0	1132766.0	173880
69.74658	371.0	130.125	143.0	1.0	1132766.0	173880
158.15569	408.0	138.875	170.0	1.0	1132766.0	173880
99.38204	295.5	107.25	124.5625	1.0	1132766.0	173880
175.9194	360.0	96.8125	131.25	1.0	1132766.0	173880
48.735443	327.5	153.375	174.625	1.0	1132766.0	173880
86.672134	408.75	174.75	5.9492188	1.0	1132766.0	173880
100.268456	313.5	147.5	135.375	1.0	1132766.0	173880
241.61073	469.0	92.0625	237.75	1.0	1132766.0	173880
348.7487	567.0	276.0	262.25	1.0	1132766.0	173880
133.13432	398.75	195.125	171.75	1.0	1132766.0	173880
309.1965	318.5	59.96875	4.9492188	1.0	1132766.0	173880
198.73439	415.0	78.625	143.0	1.0	1132766.0	173880
590.67914	469.0	88.25	190.875	1.0	1132766.0	173880
205.65034	471.25	91.0625	185.0	1.0	1132766.0	173880
308.7759	423.25	113.0	145.25	1.0	1132766.0	173880
227.91032	513.5	144.75	163.625	1.0	1132766.0	173880
406.49225	400.75	138.125	127.6875	1.0	1132766.0	173880
