lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
71.84901	312.0	83.125	104.875	1.0	1320000.0	306360
66.07518	226.875	88.625	88.5	1.0	1320000.0	306360
150.14453	437.0	76.0	157.75	1.0	1320000.0	306360
64.00636	331.75	106.0	131.125	1.0	1320000.0	306360
46.14023	335.0	108.6875	131.25	1.0	1320000.0	306360
181.78372	336.0	152.25	132.125	1.0	1320000.0	306360
63.69124	382.25	63.21875	34.09375	1.0	1320000.0	306360
72.87464	218.75	104.4375	94.75	1.0	1320000.0	306360
33.826244	217.5	144.625	7.5820312	1.0	1320000.0	306360
90.501854	347.5	72.1875	158.875	1.0	1320000.0	306360
144.87178	444.25	70.4375	153.875	1.0	1320000.0	306360
75.39343	233.25	59.125	105.0	1.0	1320000.0	306360
