lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
111.17643	561.5	88.5625	83.25	2.8689086	358332.44	29118
84.24961	630.5	63.1875	179.75	2.8689086	358332.44	29118
135.28201	383.5	127.75	162.625	2.8689086	358332.44	29118
123.44121	455.0	62.34375	166.5	-2.8689086	358332.44	29118
230.61807	315.0	95.25	103.5	2.8689086	358332.44	29118
114.70314	966.0	140.75	26.96875	2.8689086	358332.44	29118
61.390377	434.25	136.375	196.75	2.8689086	358332.44	29118
131.75352	552.5	66.9375	169.125	2.8689086	358332.44	29118
145.95303	474.75	119.8125	193.875	-2.8689086	358332.44	29118
54.611553	258.5	65.1875	118.3125	-2.8689086	358332.44	29118
118.17852	432.75	176.125	198.625	-2.8689086	358332.44	29118
196.32506	665.5	84.625	123.9375	2.8689086	358332.44	29118
46.546825	513.5	125.6875	79.8125	2.8689086	358332.44	29118
179.1643	452.75	91.5	137.75	2.8689086	358332.44	29118
81.513214	449.0	156.75	222.25	2.8689086	358332.44	29118
95.97352	318.5	99.4375	131.25	2.8689086	358332.44	29118
116.332726	712.0	174.0	185.375	-2.8689086	358332.44	29118
182.95976	434.5	140.375	183.375	-2.8689086	358332.44	29118
153.88528	363.0	110.3125	176.375	2.8689086	358332.44	29118
53.311237	424.75	91.4375	180.125	-2.8689086	358332.44	29118
224.64476	353.75	80.625	75.25	-2.8689086	358332.44	29118
110.96438	519.5	67.875	187.0	-2.8689086	358332.44	29118
83.45979	371.0	116.5	192.75	2.8689086	358332.44	29118
613.5018	742.0	71.5625	1.4941406	2.8689086	358332.44	29118
112.29783	405.25	109.0	151.875	2.8689086	358332.44	29118
125.76181	363.0	112.0625	173.875	-2.8689086	358332.44	29118
162.51561	388.5	65.1875	141.75	2.8689086	358332.44	29118
77.42592	297.5	69.625	109.4375	-2.8689086	358332.44	29118
65.13707	265.75	96.3125	119.5625	2.8689086	358332.44	29118
