lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
260.51443	358.0	98.625	136.625	0.49554962	193245.5	35563
142.37556	493.75	153.0	175.375	0.49554962	193245.5	35563
117.37962	457.25	198.875	206.125	0.49554962	193245.5	35563
253.21516	646.0	74.5	127.8125	0.49554962	193245.5	35563
180.6963	408.25	131.75	7.8242188	0.49554962	193245.5	35563
272.93576	307.0	88.125	147.75	0.49554962	193245.5	35563
186.88579	233.625	89.5	113.375	0.49554962	193245.5	35563
109.39154	533.5	87.6875	92.6875	0.49554962	193245.5	35563
203.9995	442.75	110.625	142.5	0.49554962	193245.5	35563
245.59624	236.625	108.8125	106.375	0.49554962	193245.5	35563
87.18879	269.0	154.375	96.5	0.49554962	193245.5	35563
93.26382	221.125	91.8125	85.9375	0.49554962	193245.5	35563
270.67157	421.25	95.9375	165.5	-0.49554962	193245.5	35563
282.86316	429.0	56.625	176.75	-0.49554962	193245.5	35563
308.59064	451.75	73.5	127.9375	0.49554962	193245.5	35563
462.7042	475.25	130.0	156.625	-0.49554962	193245.5	35563
255.95576	501.5	70.0625	162.5	0.49554962	193245.5	35563
278.373	551.5	123.375	165.5	-0.49554962	193245.5	35563
253.84201	467.5	119.625	159.0	0.49554962	193245.5	35563
96.75802	376.0	73.0	125.0	-0.49554962	193245.5	35563
467.46472	608.5	83.9375	226.625	0.49554962	193245.5	35563
357.3882	819.0	118.125	208.75	0.49554962	193245.5	35563
270.67102	324.0	82.9375	163.875	-0.49554962	193245.5	35563
137.01463	429.0	77.1875	170.125	-0.49554962	193245.5	35563
291.44788	834.5	113.5625	204.375	0.49554962	193245.5	35563
351.76147	310.25	114.875	150.625	0.49554962	193245.5	35563
88.31921	344.0	97.9375	149.875	0.49554962	193245.5	35563
163.08803	367.0	98.25	150.875	0.49554962	193245.5	35563
65.912056	376.5	168.75	164.0	0.49554962	193245.5	35563
90.68647	429.0	158.875	154.625	-0.49554962	193245.5	35563
261.19452	320.5	74.75	132.875	0.49554962	193245.5	35563
235.56706	576.0	57.25	155.0	0.49554962	193245.5	35563
354.4605	345.75	79.5	86.125	0.49554962	193245.5	35563
97.212524	340.25	94.875	151.125	0.49554962	193245.5	35563
277.36093	497.25	91.3125	186.375	0.49554962	193245.5	35563
196.03046	261.25	109.375	135.875	0.49554962	193245.5	35563
208.32185	362.5	144.125	91.8125	0.49554962	193245.5	35563
186.36942	394.0	61.25	158.75	0.49554962	193245.5	35563
158.8022	217.875	80.875	99.625	-0.49554962	193245.5	35563
50.438244	246.75	141.625	99.875	0.49554962	193245.5	35563
104.12358	401.25	163.0	151.0	0.49554962	193245.5	35563
81.67907	270.5	136.625	120.8125	0.49554962	193245.5	35563
187.17252	509.0	132.75	171.375	-0.49554962	193245.5	35563
420.09848	506.0	100.1875	154.0	0.49554962	193245.5	35563
447.10068	654.5	128.25	136.25	0.49554962	193245.5	35563
128.18794	286.75	111.9375	103.5	0.49554962	193245.5	35563
158.06746	496.25	130.5	159.0	0.49554962	193245.5	35563
502.67538	934.5	156.5	141.5	0.49554962	193245.5	35563
180.87675	272.5	54.90625	133.75	0.49554962	193245.5	35563
123.15861	340.75	119.125	146.625	0.49554962	193245.5	35563
41.90235	483.25	106.9375	182.625	0.49554962	193245.5	35563
51.351727	498.0	110.375	184.25	-0.49554962	193245.5	35563
190.55301	416.0	66.9375	148.875	0.49554962	193245.5	35563
274.80634	521.0	101.0	176.25	-0.49554962	193245.5	35563
87.69377	393.5	162.875	167.25	0.49554962	193245.5	35563
166.8332	499.0	131.375	198.375	-0.49554962	193245.5	35563
167.88531	473.0	113.3125	187.625	0.49554962	193245.5	35563
358.76065	567.0	144.25	192.5	0.49554962	193245.5	35563
