lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
146.4908	476.75	157.125	198.5	0.005284793	134.25488	415
318.79123	663.0	150.875	220.375	0.005284793	134.25488	415
219.81288	408.5	100.375	153.25	0.005284793	134.25488	415
207.09157	548.5	157.0	179.5	0.005284793	134.25488	415
107.08002	408.25	125.1875	188.875	0.005284793	134.25488	415
398.8268	665.0	155.75	192.875	-0.005284793	134.25488	415
194.87068	385.25	136.375	177.125	0.005284793	134.25488	415
99.01263	400.75	90.0	154.5	0.005284793	134.25488	415
74.08085	423.25	123.25	136.125	0.005284793	134.25488	415
202.33835	533.5	58.5625	176.125	0.005284793	134.25488	415
223.75038	310.5	65.8125	132.625	0.005284793	134.25488	415
125.128426	449.0	131.375	182.125	0.005284793	134.25488	415
385.67392	640.0	98.8125	151.5	0.005284793	134.25488	415
106.14139	247.5	93.1875	92.4375	0.005284793	134.25488	415
46.24673	612.0	121.3125	194.875	-0.005284793	134.25488	415
226.93185	344.25	152.375	150.625	0.005284793	134.25488	415
312.4002	543.5	139.625	151.875	-0.005284793	134.25488	415
217.61365	207.5	95.4375	93.8125	0.005284793	134.25488	415
122.02622	293.75	99.25	108.25	0.005284793	134.25488	415
216.03412	242.0	123.5	109.125	0.005284793	134.25488	415
547.11145	661.0	115.4375	169.875	0.005284793	134.25488	415
161.06721	418.0	171.375	159.125	0.005284793	134.25488	415
200.68683	461.5	99.9375	193.125	-0.005284793	134.25488	415
222.2567	383.5	93.9375	175.25	0.005284793	134.25488	415
202.53822	214.375	63.25	78.1875	-0.005284793	134.25488	415
231.9746	384.25	160.5	152.5	0.005284793	134.25488	415
81.288734	264.25	103.625	92.125	-0.005284793	134.25488	415
268.42593	387.75	80.0625	107.375	0.005284793	134.25488	415
494.4081	718.5	167.125	320.0	0.005284793	134.25488	415
262.88324	397.5	88.0	96.8125	0.005284793	134.25488	415
363.83405	392.75	77.75	141.875	-0.005284793	134.25488	415
289.80615	270.75	87.25	114.0	-0.005284793	134.25488	415
45.360775	363.5	104.9375	104.25	-0.005284793	134.25488	415
43.22905	560.0	89.9375	92.25	0.005284793	134.25488	415
191.73541	315.25	102.375	160.0	0.005284793	134.25488	415
257.31686	191.0	66.9375	86.0625	0.005284793	134.25488	415
112.9896	384.75	100.9375	161.5	0.005284793	134.25488	415
297.2272	431.5	160.125	214.375	-0.005284793	134.25488	415
222.5038	369.75	82.125	183.25	0.005284793	134.25488	415
224.87952	423.0	67.25	147.625	0.005284793	134.25488	415
127.77874	280.0	55.46875	108.5	0.005284793	134.25488	415
71.32131	565.5	143.875	199.625	0.005284793	134.25488	415
172.3209	474.5	127.1875	172.5	0.005284793	134.25488	415
261.24106	493.5	150.125	231.125	-0.005284793	134.25488	415
152.57625	343.75	82.5	138.75	0.005284793	134.25488	415
386.63202	360.5	132.375	84.6875	0.005284793	134.25488	415
417.4654	516.0	143.125	211.25	0.005284793	134.25488	415
301.862	480.25	94.9375	144.875	-0.005284793	134.25488	415
168.67873	386.5	105.4375	170.5	-0.005284793	134.25488	415
73.97052	434.75	45.78125	145.625	0.005284793	134.25488	415
346.71204	370.0	106.75	147.875	0.005284793	134.25488	415
82.9198	417.0	136.0	183.125	0.005284793	134.25488	415
117.196594	404.75	103.875	194.375	-0.005284793	134.25488	415
217.63837	362.0	158.75	160.625	0.005284793	134.25488	415
194.91731	364.0	134.875	115.625	0.005284793	134.25488	415
61.88132	476.25	118.6875	192.625	0.005284793	134.25488	415
306.98068	454.0	151.125	166.0	-0.005284793	134.25488	415
463.914	674.0	86.25	198.375	0.005284793	134.25488	415
366.42743	742.0	97.1875	132.125	-0.005284793	134.25488	415
217.67915	301.25	70.8125	124.3125	0.005284793	134.25488	415
63.29196	545.5	111.9375	171.75	0.005284793	134.25488	415
386.43546	486.5	72.8125	173.75	0.005284793	134.25488	415
293.88922	321.0	161.5	177.125	0.005284793	134.25488	415
