lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
146.1536	526.5	182.125	203.875	15.384004	15287389.0	855600
244.02225	301.75	104.875	155.75	15.384004	15287389.0	855600
298.5094	366.25	116.5	2.4707031	15.384004	15287389.0	855600
313.3983	476.5	55.5	172.5	-15.384004	15287389.0	855600
129.57153	190.375	78.8125	-1.0	15.384004	15287389.0	855600
218.82098	307.25	102.9375	144.375	15.384004	15287389.0	855600
156.91536	345.25	151.75	153.5	15.384004	15287389.0	855600
445.16602	500.5	66.1875	172.5	15.384004	15287389.0	855600
183.79118	422.75	130.0	21.3125	15.384004	15287389.0	855600
266.08176	462.5	131.125	164.875	15.384004	15287389.0	855600
244.25447	314.5	115.5	143.0	15.384004	15287389.0	855600
69.82116	358.5	107.4375	150.0	15.384004	15287389.0	855600
78.169846	639.5	64.8125	19.8125	15.384004	15287389.0	855600
357.98663	442.5	88.1875	142.25	-15.384004	15287389.0	855600
46.73983	304.5	92.125	85.75	15.384004	15287389.0	855600
70.062096	378.5	123.0	165.25	15.384004	15287389.0	855600
152.63788	193.25	69.4375	42.78125	15.384004	15287389.0	855600
281.1353	431.75	149.5	151.625	15.384004	15287389.0	855600
495.49017	736.0	181.5	225.875	15.384004	15287389.0	855600
283.74777	335.5	56.59375	146.5	15.384004	15287389.0	855600
71.18292	193.625	59.375	93.1875	-15.384004	15287389.0	855600
97.11893	662.5	62.34375	159.125	15.384004	15287389.0	855600
156.56416	201.875	66.875	100.25	15.384004	15287389.0	855600
206.1043	400.0	98.625	138.375	15.384004	15287389.0	855600
