lep_pt	genWeights	sumWeight	N_exp
71.22218	-2.8689086	358332.44	29118
41.266396	2.8689086	358332.44	29118
146.22981	2.8689086	358332.44	29118
80.7978	2.8689086	358332.44	29118
74.743416	-2.8689086	358332.44	29118
39.684025	2.8689086	358332.44	29118
54.52024	2.8689086	358332.44	29118
57.92742	2.8689086	358332.44	29118
102.786766	2.8689086	358332.44	29118
73.63889	2.8689086	358332.44	29118
103.826996	-2.8689086	358332.44	29118
57.29279	2.8689086	358332.44	29118
19.466967	2.8689086	358332.44	29118
67.86591	2.8689086	358332.44	29118
107.929375	2.8689086	358332.44	29118
148.73392	2.8689086	358332.44	29118
60.76329	2.8689086	358332.44	29118
219.52087	-2.8689086	358332.44	29118
144.49963	2.8689086	358332.44	29118
51.89587	2.8689086	358332.44	29118
48.915726	2.8689086	358332.44	29118
123.88483	2.8689086	358332.44	29118
44.83159	2.8689086	358332.44	29118
159.05417	2.8689086	358332.44	29118
55.48702	-2.8689086	358332.44	29118
31.95477	2.8689086	358332.44	29118
76.43268	-2.8689086	358332.44	29118
47.068363	2.8689086	358332.44	29118
31.471039	2.8689086	358332.44	29118
57.33315	-2.8689086	358332.44	29118
76.51566	-2.8689086	358332.44	29118
53.755646	2.8689086	358332.44	29118
116.22697	-2.8689086	358332.44	29118
121.26779	2.8689086	358332.44	29118
136.43892	2.8689086	358332.44	29118
102.53141	2.8689086	358332.44	29118
89.099884	-2.8689086	358332.44	29118
100.70501	-2.8689086	358332.44	29118
175.35443	-2.8689086	358332.44	29118
124.66477	-2.8689086	358332.44	29118
92.00819	2.8689086	358332.44	29118
44.669323	2.8689086	358332.44	29118
287.48682	2.8689086	358332.44	29118
82.598045	2.8689086	358332.44	29118
111.17643	2.8689086	358332.44	29118
225.00626	2.8689086	358332.44	29118
57.6565	2.8689086	358332.44	29118
93.731995	2.8689086	358332.44	29118
165.9754	2.8689086	358332.44	29118
41.703426	2.8689086	358332.44	29118
54.882633	-2.8689086	358332.44	29118
51.964233	2.8689086	358332.44	29118
68.46735	-2.8689086	358332.44	29118
95.841286	2.8689086	358332.44	29118
60.918667	2.8689086	358332.44	29118
94.599846	2.8689086	358332.44	29118
100.93273	2.8689086	358332.44	29118
69.76874	2.8689086	358332.44	29118
71.03222	-2.8689086	358332.44	29118
61.936943	-2.8689086	358332.44	29118
41.112537	2.8689086	358332.44	29118
55.023956	-2.8689086	358332.44	29118
54.524067	2.8689086	358332.44	29118
72.52081	2.8689086	358332.44	29118
35.695454	2.8689086	358332.44	29118
53.07483	-2.8689086	358332.44	29118
58.80551	2.8689086	358332.44	29118
84.66155	2.8689086	358332.44	29118
56.235645	2.8689086	358332.44	29118
47.589764	2.8689086	358332.44	29118
46.06853	-2.8689086	358332.44	29118
63.948368	2.8689086	358332.44	29118
50.579216	2.8689086	358332.44	29118
159.61755	-2.8689086	358332.44	29118
24.753716	2.8689086	358332.44	29118
64.65489	-2.8689086	358332.44	29118
68.94138	2.8689086	358332.44	29118
93.01813	2.8689086	358332.44	29118
100.26467	-2.8689086	358332.44	29118
41.98349	-2.8689086	358332.44	29118
54.168808	2.8689086	358332.44	29118
60.29777	-2.8689086	358332.44	29118
55.427177	2.8689086	358332.44	29118
85.62191	-2.8689086	358332.44	29118
102.56894	-2.8689086	358332.44	29118
28.73723	2.8689086	358332.44	29118
41.853554	2.8689086	358332.44	29118
74.1447	2.8689086	358332.44	29118
87.31172	2.8689086	358332.44	29118
84.24961	2.8689086	358332.44	29118
135.28201	2.8689086	358332.44	29118
78.0808	-2.8689086	358332.44	29118
42.952763	2.8689086	358332.44	29118
83.029045	2.8689086	358332.44	29118
102.446724	-2.8689086	358332.44	29118
112.36794	2.8689086	358332.44	29118
68.60808	-2.8689086	358332.44	29118
48.88811	2.8689086	358332.44	29118
61.53374	2.8689086	358332.44	29118
37.09898	2.8689086	358332.44	29118
61.6743	-2.8689086	358332.44	29118
49.92861	-2.8689086	358332.44	29118
76.82369	2.8689086	358332.44	29118
98.47159	-2.8689086	358332.44	29118
56.96462	2.8689086	358332.44	29118
83.12413	-2.8689086	358332.44	29118
74.63645	-2.8689086	358332.44	29118
76.84474	2.8689086	358332.44	29118
53.834377	2.8689086	358332.44	29118
120.07778	-2.8689086	358332.44	29118
47.876507	2.8689086	358332.44	29118
120.77536	2.8689086	358332.44	29118
58.92616	-2.8689086	358332.44	29118
152.45284	2.8689086	358332.44	29118
75.77152	-2.8689086	358332.44	29118
131.64018	-2.8689086	358332.44	29118
55.71052	2.8689086	358332.44	29118
100.5525	-2.8689086	358332.44	29118
72.52681	-2.8689086	358332.44	29118
60.555126	2.8689086	358332.44	29118
180.52101	2.8689086	358332.44	29118
63.69796	2.8689086	358332.44	29118
245.69284	2.8689086	358332.44	29118
62.378716	2.8689086	358332.44	29118
208.8542	-2.8689086	358332.44	29118
49.323708	-2.8689086	358332.44	29118
56.176777	-2.8689086	358332.44	29118
61.181965	2.8689086	358332.44	29118
71.3755	2.8689086	358332.44	29118
40.2116	2.8689086	358332.44	29118
61.731754	-2.8689086	358332.44	29118
51.036957	-2.8689086	358332.44	29118
101.62596	2.8689086	358332.44	29118
122.84479	2.8689086	358332.44	29118
68.698265	2.8689086	358332.44	29118
72.375175	-2.8689086	358332.44	29118
65.31027	2.8689086	358332.44	29118
74.07064	2.8689086	358332.44	29118
78.66753	2.8689086	358332.44	29118
92.5155	2.8689086	358332.44	29118
41.82047	2.8689086	358332.44	29118
97.884476	2.8689086	358332.44	29118
