lep_pt	AK8_pt	AK4_pt	GenT_pt	M_sd	genWeights	sumWeight	N_exp
46.487164	338.25	98.75	448.0	123.25	0.49554962	224808.1	35563
165.67197	275.25	56.3125	239.0	100.375	0.49554962	224808.1	35563
325.85266	338.75	107.0625	350.0	124.6875	0.49554962	224808.1	35563
330.15073	401.75	128.75	448.0	103.25	0.49554962	224808.1	35563
128.18431	319.0	64.625	348.0	98.0625	0.49554962	224808.1	35563
213.51775	389.75	154.5	383.0	179.125	0.49554962	224808.1	35563
182.80742	351.0	54.84375	360.0	127.625	0.49554962	224808.1	35563
130.99683	803.5	84.875	786.0	92.75	0.49554962	224808.1	35563
369.25125	542.0	76.125	534.0	158.5	-0.49554962	224808.1	35563
206.11809	307.75	82.5625	216.0	135.125	0.49554962	224808.1	35563
198.7646	342.5	136.0	362.0	133.75	0.49554962	224808.1	35563
41.75645	270.5	111.25	256.0	101.0	0.49554962	224808.1	35563
112.295044	416.0	93.25	417.0	168.375	-0.49554962	224808.1	35563
125.8532	419.5	89.4375	401.0	100.375	0.49554962	224808.1	35563
275.01758	290.75	76.0625	309.0	118.625	-0.49554962	224808.1	35563
74.23239	625.0	92.9375	610.0	96.25	-0.49554962	224808.1	35563
265.37534	484.0	61.21875	477.0	160.0	0.49554962	224808.1	35563
100.715706	301.5	97.5625	322.0	98.0625	0.49554962	224808.1	35563
273.6991	261.25	117.75	232.0	82.125	-0.49554962	224808.1	35563
78.42593	467.25	121.4375	425.0	161.375	0.49554962	224808.1	35563
231.5518	327.5	147.5	347.0	130.0	0.49554962	224808.1	35563
115.329475	408.25	140.5	361.0	124.5	-0.49554962	224808.1	35563
373.23096	433.5	62.1875	431.0	140.625	-0.49554962	224808.1	35563
322.4785	242.125	136.25	264.0	80.75	0.49554962	224808.1	35563
102.5653	332.25	149.625	284.0	142.125	0.49554962	224808.1	35563
540.55634	543.5	174.875	544.0	208.0	0.49554962	224808.1	35563
48.10275	354.5	121.5	356.0	121.375	0.49554962	224808.1	35563
113.0337	506.25	101.0625	480.0	188.25	0.49554962	224808.1	35563
259.43674	633.5	82.5	754.0	186.375	0.49554962	224808.1	35563
52.47837	247.125	82.375	241.0	110.4375	-0.49554962	224808.1	35563
198.37581	222.0	62.15625	393.0	75.875	0.49554962	224808.1	35563
98.959236	212.625	77.4375	126.5	80.5	0.49554962	224808.1	35563
76.251	423.75	87.8125	460.0	171.875	-0.49554962	224808.1	35563
97.7799	403.75	74.1875	352.0	157.625	-0.49554962	224808.1	35563
51.422424	330.0	99.375	375.0	80.8125	0.49554962	224808.1	35563
65.24374	483.25	158.375	462.0	162.25	0.49554962	224808.1	35563
57.39524	383.25	69.375	417.0	155.875	0.49554962	224808.1	35563
171.52951	524.5	142.625	477.0	142.625	0.49554962	224808.1	35563
687.7713	587.5	81.0625	542.0	168.25	0.49554962	224808.1	35563
75.37889	282.75	55.1875	237.0	121.0	0.49554962	224808.1	35563
142.1594	506.25	78.375	474.0	177.5	0.49554962	224808.1	35563
256.12408	503.5	178.5	445.0	184.375	0.49554962	224808.1	35563
272.89682	435.25	126.5625	460.0	163.625	0.49554962	224808.1	35563
250.32295	489.0	85.875	534.0	171.75	0.49554962	224808.1	35563
298.0223	414.75	71.5	389.0	182.375	0.49554962	224808.1	35563
155.89096	453.5	107.6875	443.0	183.25	0.49554962	224808.1	35563
280.57986	363.5	95.5625	360.0	130.625	0.49554962	224808.1	35563
41.57752	896.5	208.875	636.0	374.75	0.49554962	224808.1	35563
81.76168	321.0	58.71875	358.0	118.9375	0.49554962	224808.1	35563
348.3942	516.0	139.0	564.0	167.0	0.49554962	224808.1	35563
331.81668	726.0	66.125	652.0	88.4375	-0.49554962	224808.1	35563
90.654755	477.0	73.8125	468.0	154.625	0.49554962	224808.1	35563
54.953243	352.5	102.375	413.0	111.3125	0.49554962	224808.1	35563
354.80304	347.25	63.8125	296.0	133.375	0.49554962	224808.1	35563
598.4829	720.5	110.625	686.0	167.75	0.49554962	224808.1	35563
112.63869	280.75	121.25	271.0	119.625	-0.49554962	224808.1	35563
218.43019	453.75	77.125	437.0	100.125	0.49554962	224808.1	35563
53.451817	351.0	55.25	312.0	107.1875	-0.49554962	224808.1	35563
114.74228	420.25	113.125	422.0	166.25	-0.49554962	224808.1	35563
115.098015	397.25	123.5625	484.0	96.375	-0.49554962	224808.1	35563
161.16362	409.0	83.625	390.0	171.375	0.49554962	224808.1	35563
89.75679	269.5	108.0	280.0	111.625	0.49554962	224808.1	35563
116.90421	392.0	151.875	436.0	102.6875	0.49554962	224808.1	35563
404.89102	558.0	59.90625	534.0	161.375	0.49554962	224808.1	35563
65.92771	545.5	158.875	532.0	184.0	0.49554962	224808.1	35563
553.6426	451.0	101.3125	429.0	96.4375	0.49554962	224808.1	35563
112.130394	324.5	78.6875	204.5	144.0	0.49554962	224808.1	35563
543.34576	525.0	168.875	540.0	166.375	0.49554962	224808.1	35563
35.63037	427.5	70.875	457.0	142.25	0.49554962	224808.1	35563
177.41843	350.25	97.375	338.0	133.625	0.49554962	224808.1	35563
66.25956	270.5	118.625	248.5	95.4375	0.49554962	224808.1	35563
124.33834	307.0	98.75	325.0	133.0	0.49554962	224808.1	35563
241.64253	405.0	98.4375	448.0	131.125	0.49554962	224808.1	35563
134.42784	430.5	108.4375	435.0	168.625	-0.49554962	224808.1	35563
315.7615	509.5	123.0625	465.0	197.25	-0.49554962	224808.1	35563
485.51553	606.5	223.5	544.0	248.5	-0.49554962	224808.1	35563
140.44025	361.75	122.0625	287.0	1.2626953	0.49554962	224808.1	35563
159.19714	214.75	142.25	227.0	95.6875	-0.49554962	224808.1	35563
132.18555	414.5	165.5	396.0	175.625	0.49554962	224808.1	35563
90.211945	277.0	81.875	264.0	119.5	-0.49554962	224808.1	35563
293.47943	282.75	75.1875	307.0	86.375	0.49554962	224808.1	35563
57.66253	384.5	155.625	356.0	171.0	0.49554962	224808.1	35563
138.02388	247.625	80.5625	234.0	109.5	0.49554962	224808.1	35563
423.42957	602.5	55.5625	473.0	201.75	-0.49554962	224808.1	35563
160.93562	383.0	123.5625	380.0	174.25	0.49554962	224808.1	35563
161.07614	410.0	58.21875	315.0	1.2558594	0.49554962	224808.1	35563
100.72474	279.0	55.46875	290.0	106.4375	0.49554962	224808.1	35563
206.3127	204.25	152.625	225.0	84.4375	0.49554962	224808.1	35563
287.7269	364.75	76.1875	388.0	130.625	-0.49554962	224808.1	35563
374.58972	425.75	84.0	456.0	162.25	0.49554962	224808.1	35563
146.94797	378.0	157.5	389.0	153.375	0.49554962	224808.1	35563
409.24713	364.5	89.0625	309.0	156.125	0.49554962	224808.1	35563
335.66364	243.5	117.1875	232.0	84.5	0.49554962	224808.1	35563
166.86867	668.0	113.1875	610.0	222.75	0.49554962	224808.1	35563
231.503	291.0	95.625	334.0	90.75	0.49554962	224808.1	35563
140.93999	214.5	68.1875	205.5	100.375	-0.49554962	224808.1	35563
36.22837	349.5	77.3125	330.0	136.125	0.49554962	224808.1	35563
204.5733	410.0	170.625	396.0	181.875	0.49554962	224808.1	35563
335.46747	430.0	147.875	453.0	159.125	0.49554962	224808.1	35563
112.61863	520.0	76.75	524.0	180.125	0.49554962	224808.1	35563
109.512405	454.25	172.125	449.0	167.5	0.49554962	224808.1	35563
101.05743	379.25	150.5	372.0	115.6875	0.49554962	224808.1	35563
78.5977	314.0	113.125	367.0	106.5	0.49554962	224808.1	35563
45.345795	430.5	125.8125	485.0	172.75	0.49554962	224808.1	35563
187.30087	334.25	141.375	355.0	161.875	0.49554962	224808.1	35563
105.164246	361.5	70.125	342.0	128.375	0.49554962	224808.1	35563
150.33469	404.25	135.375	363.0	197.25	0.49554962	224808.1	35563
58.758644	324.25	71.125	273.0	126.25	-0.49554962	224808.1	35563
309.72314	348.75	94.8125	377.0	130.0	-0.49554962	224808.1	35563
214.09459	275.0	136.625	363.0	112.125	0.49554962	224808.1	35563
72.57876	418.75	119.875	374.0	158.0	-0.49554962	224808.1	35563
115.545876	427.5	105.25	412.0	177.5	0.49554962	224808.1	35563
173.20323	400.75	162.0	332.0	183.5	-0.49554962	224808.1	35563
70.37476	220.625	123.1875	323.0	92.6875	0.49554962	224808.1	35563
137.26248	330.25	117.875	343.0	110.875	-0.49554962	224808.1	35563
113.434105	295.5	104.875	351.0	115.1875	-0.49554962	224808.1	35563
450.28107	569.0	64.4375	562.0	187.875	0.49554962	224808.1	35563
244.15031	321.25	132.0	401.0	142.375	0.49554962	224808.1	35563
79.98588	367.25	54.625	349.0	127.4375	0.49554962	224808.1	35563
135.95781	268.25	74.1875	330.0	115.625	0.49554962	224808.1	35563
229.89882	621.0	164.5	251.0	209.625	0.49554962	224808.1	35563
123.21111	704.5	99.1875	638.0	195.5	0.49554962	224808.1	35563
104.32557	366.5	131.125	275.0	71.5625	-0.49554962	224808.1	35563
88.49083	240.375	57.03125	289.0	101.3125	0.49554962	224808.1	35563
139.94595	274.75	130.625	269.0	111.75	0.49554962	224808.1	35563
121.69552	326.75	108.5	262.0	146.125	0.49554962	224808.1	35563
251.32632	462.25	70.625	465.0	152.875	0.49554962	224808.1	35563
51.732838	455.0	55.46875	435.0	216.25	0.49554962	224808.1	35563
139.77846	429.75	143.125	419.0	160.125	0.49554962	224808.1	35563
75.86912	324.75	119.4375	356.0	114.3125	0.49554962	224808.1	35563
146.05086	364.0	98.25	445.0	121.25	0.49554962	224808.1	35563
84.53271	301.5	114.0625	279.0	95.5	0.49554962	224808.1	35563
253.20729	517.0	101.6875	137.5	147.25	0.49554962	224808.1	35563
46.587463	269.5	122.375	356.0	93.8125	0.49554962	224808.1	35563
69.81011	254.625	56.15625	227.0	89.5	0.49554962	224808.1	35563
153.50244	245.0	56.34375	276.0	110.9375	0.49554962	224808.1	35563
186.16821	362.25	132.5	403.0	173.75	-0.49554962	224808.1	35563
235.52174	342.0	84.4375	421.0	102.0625	0.49554962	224808.1	35563
203.68617	384.75	120.125	387.0	169.625	0.49554962	224808.1	35563
183.80891	294.75	63.125	248.5	101.875	-0.49554962	224808.1	35563
93.30883	472.5	110.9375	481.0	161.625	-0.49554962	224808.1	35563
35.980488	357.25	74.3125	392.0	81.3125	0.49554962	224808.1	35563
107.924644	320.25	50.53125	289.0	141.75	-0.49554962	224808.1	35563
60.707096	257.25	73.5	375.0	33.28125	0.49554962	224808.1	35563
90.04978	758.5	196.625	788.0	132.5	0.49554962	224808.1	35563
349.7483	453.0	60.59375	364.0	214.5	0.49554962	224808.1	35563
195.78168	555.0	249.0	636.0	159.375	0.49554962	224808.1	35563
107.84477	328.25	133.375	295.0	105.6875	0.49554962	224808.1	35563
364.23892	500.0	81.8125	490.0	183.5	-0.49554962	224808.1	35563
96.99828	227.625	99.75	255.5	89.375	0.49554962	224808.1	35563
151.12949	594.5	131.375	578.0	178.0	0.49554962	224808.1	35563
252.76762	371.25	120.1875	376.0	162.875	-0.49554962	224808.1	35563
89.00338	366.75	171.0	367.0	170.75	-0.49554962	224808.1	35563
166.9474	360.75	88.9375	368.0	144.375	0.49554962	224808.1	35563
224.94707	569.0	121.0	526.0	175.125	-0.49554962	224808.1	35563
189.7782	610.0	156.5	608.0	179.875	0.49554962	224808.1	35563
138.17912	244.375	128.125	239.5	119.625	0.49554962	224808.1	35563
102.96694	365.0	102.625	407.0	131.875	0.49554962	224808.1	35563
178.91034	423.25	62.21875	395.0	121.6875	0.49554962	224808.1	35563
98.70434	439.5	134.5	434.0	179.5	0.49554962	224808.1	35563
340.1171	361.25	97.25	365.0	121.6875	0.49554962	224808.1	35563
155.46298	267.25	68.9375	196.0	102.8125	-0.49554962	224808.1	35563
265.59213	253.5	87.125	288.0	112.625	-0.49554962	224808.1	35563
108.34967	382.75	93.375	407.0	164.5	0.49554962	224808.1	35563
91.27762	609.0	166.875	632.0	166.0	-0.49554962	224808.1	35563
78.20554	323.75	102.1875	282.0	98.5	0.49554962	224808.1	35563
97.18118	263.5	124.0	247.5	99.875	0.49554962	224808.1	35563
47.885918	291.5	84.0625	381.0	22.671875	0.49554962	224808.1	35563
39.269924	302.0	94.0	313.0	140.125	-0.49554962	224808.1	35563
345.99292	363.0	62.78125	339.0	146.875	0.49554962	224808.1	35563
123.12462	535.0	51.625	505.0	131.625	-0.49554962	224808.1	35563
377.8847	399.25	128.5	356.0	174.0	0.49554962	224808.1	35563
74.96129	316.0	68.3125	389.0	78.25	0.49554962	224808.1	35563
202.9974	350.75	76.8125	322.0	141.5	-0.49554962	224808.1	35563
95.69868	305.0	150.75	297.0	132.125	0.49554962	224808.1	35563
65.90213	314.25	87.1875	291.0	142.75	-0.49554962	224808.1	35563
268.56424	469.0	206.375	435.0	191.125	0.49554962	224808.1	35563
246.96611	512.5	124.6875	461.0	202.625	0.49554962	224808.1	35563
46.68655	372.75	147.5	350.0	186.0	0.49554962	224808.1	35563
154.35916	211.625	109.9375	277.0	71.0	0.49554962	224808.1	35563
284.76825	276.25	136.75	268.0	119.75	-0.49554962	224808.1	35563
94.95536	223.75	120.125	253.0	90.5625	-0.49554962	224808.1	35563
291.88132	395.0	145.625	243.5	170.875	-0.49554962	224808.1	35563
276.73737	461.75	107.875	514.0	170.125	-0.49554962	224808.1	35563
60.404793	493.5	122.0625	467.0	180.125	-0.49554962	224808.1	35563
95.83528	205.375	65.375	212.5	81.625	0.49554962	224808.1	35563
123.40073	498.0	153.0	292.0	276.75	0.49554962	224808.1	35563
310.07462	302.5	124.5	209.0	118.875	0.49554962	224808.1	35563
335.67377	224.5	73.375	233.0	101.5625	0.49554962	224808.1	35563
47.220203	261.5	111.4375	339.0	106.75	-0.49554962	224808.1	35563
193.84401	296.0	58.125	311.0	8.9609375	0.49554962	224808.1	35563
