lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
388.45117	397.25	127.5625	174.375	-0.49554962	209709.69	35563
65.42687	224.75	263.25	73.375	-0.49554962	209709.69	35563
95.91091	413.25	148.25	176.75	-0.49554962	209709.69	35563
223.4718	347.5	127.4375	144.75	0.49554962	209709.69	35563
55.11097	330.25	120.8125	152.875	0.49554962	209709.69	35563
178.69695	359.75	124.0625	170.5	-0.49554962	209709.69	35563
270.1116	276.0	149.125	112.9375	-0.49554962	209709.69	35563
298.78812	469.5	112.0625	13.9609375	-0.49554962	209709.69	35563
386.14847	395.0	122.5	168.875	0.49554962	209709.69	35563
170.2879	293.75	134.875	134.75	0.49554962	209709.69	35563
173.46576	285.75	128.375	103.5625	0.49554962	209709.69	35563
204.125	338.0	135.75	158.625	0.49554962	209709.69	35563
93.53043	378.0	119.75	168.5	-0.49554962	209709.69	35563
139.56654	233.875	145.125	103.25	0.49554962	209709.69	35563
176.6163	332.5	131.25	95.5	0.49554962	209709.69	35563
124.865364	416.25	127.0625	173.625	0.49554962	209709.69	35563
104.22895	501.25	266.75	164.5	-0.49554962	209709.69	35563
302.7637	481.0	136.5	159.875	-0.49554962	209709.69	35563
213.81613	484.0	145.125	164.5	-0.49554962	209709.69	35563
164.1559	333.0	105.8125	154.375	-0.49554962	209709.69	35563
87.42559	410.5	138.625	217.125	0.49554962	209709.69	35563
153.49194	277.0	192.5	124.9375	-0.49554962	209709.69	35563
76.28132	377.5	128.125	146.625	0.49554962	209709.69	35563
61.715298	584.5	163.625	1.7001953	0.49554962	209709.69	35563
192.93188	422.0	136.0	194.375	-0.49554962	209709.69	35563
65.47906	533.5	204.875	250.625	0.49554962	209709.69	35563
170.57973	372.0	128.75	127.25	0.49554962	209709.69	35563
321.78445	368.75	115.1875	148.625	0.49554962	209709.69	35563
210.7738	416.5	167.25	172.5	-0.49554962	209709.69	35563
539.70404	704.0	122.625	175.125	-0.49554962	209709.69	35563
216.83978	583.5	200.875	216.75	0.49554962	209709.69	35563
281.78073	447.25	159.75	175.25	0.49554962	209709.69	35563
83.604	377.75	177.0	21.265625	0.49554962	209709.69	35563
100.41917	423.5	143.375	185.75	-0.49554962	209709.69	35563
94.79979	744.5	200.5	179.75	-0.49554962	209709.69	35563
46.38816	501.5	187.0	90.9375	0.49554962	209709.69	35563
220.78542	393.75	112.25	179.75	0.49554962	209709.69	35563
147.96985	497.75	169.5	191.25	0.49554962	209709.69	35563
145.80823	250.125	108.3125	107.0	0.49554962	209709.69	35563
80.92101	379.0	145.625	163.5	0.49554962	209709.69	35563
167.30652	240.625	101.125	98.625	-0.49554962	209709.69	35563
211.08527	423.5	177.0	216.75	0.49554962	209709.69	35563
143.68794	375.5	161.375	147.375	0.49554962	209709.69	35563
59.782726	652.0	149.875	266.75	0.49554962	209709.69	35563
127.75364	406.0	185.75	174.0	-0.49554962	209709.69	35563
63.618446	457.5	121.9375	140.0	0.49554962	209709.69	35563
390.11072	600.5	184.125	218.5	0.49554962	209709.69	35563
139.91566	688.5	167.25	205.125	-0.49554962	209709.69	35563
317.08267	704.5	195.625	216.75	-0.49554962	209709.69	35563
194.1781	338.25	112.1875	129.625	0.49554962	209709.69	35563
126.208786	177.75	156.25	-1.0	0.49554962	209709.69	35563
55.331745	431.5	150.375	192.5	0.49554962	209709.69	35563
239.3138	471.0	155.0	219.5	0.49554962	209709.69	35563
547.1994	635.0	205.125	294.0	0.49554962	209709.69	35563
194.66052	516.0	162.125	205.375	-0.49554962	209709.69	35563
148.09474	366.5	116.125	127.5	0.49554962	209709.69	35563
151.55978	384.0	149.5	182.375	-0.49554962	209709.69	35563
578.8651	435.25	186.625	204.75	0.49554962	209709.69	35563
267.33246	419.25	100.875	192.5	0.49554962	209709.69	35563
223.31862	418.75	128.5	180.875	0.49554962	209709.69	35563
86.981094	712.0	191.375	171.25	0.49554962	209709.69	35563
112.07062	393.25	187.125	99.375	0.49554962	209709.69	35563
312.116	434.5	122.0	187.375	0.49554962	209709.69	35563
245.38066	542.5	169.875	186.125	0.49554962	209709.69	35563
118.96924	424.25	139.5	184.0	0.49554962	209709.69	35563
219.55162	376.75	120.5625	184.5	0.49554962	209709.69	35563
403.3323	725.0	142.875	287.5	0.49554962	209709.69	35563
535.0115	787.5	356.75	341.0	0.49554962	209709.69	35563
508.1224	749.5	136.375	85.8125	0.49554962	209709.69	35563
85.21552	329.75	163.75	135.625	0.49554962	209709.69	35563
61.64501	461.0	187.875	204.375	0.49554962	209709.69	35563
340.17813	499.5	211.75	213.75	0.49554962	209709.69	35563
219.07089	421.75	204.375	135.75	0.49554962	209709.69	35563
206.04068	481.75	98.6875	173.25	0.49554962	209709.69	35563
262.97595	257.0	125.25	109.5	0.49554962	209709.69	35563
292.95013	365.5	198.125	121.0625	0.49554962	209709.69	35563
256.56006	730.5	119.375	186.875	0.49554962	209709.69	35563
168.78886	400.5	130.375	161.75	0.49554962	209709.69	35563
354.49188	562.0	177.375	155.5	0.49554962	209709.69	35563
138.92163	404.0	126.0625	140.125	0.49554962	209709.69	35563
180.40967	1192.0	241.375	320.25	0.49554962	209709.69	35563
164.94868	439.25	172.125	204.5	0.49554962	209709.69	35563
199.94193	577.0	159.25	194.25	0.49554962	209709.69	35563
78.33253	456.5	192.375	199.25	0.49554962	209709.69	35563
170.6803	216.5	107.0625	2.375	-0.49554962	209709.69	35563
136.74915	360.75	127.25	133.375	0.49554962	209709.69	35563
182.87785	382.25	133.0	163.0	0.49554962	209709.69	35563
217.23529	479.5	208.875	205.375	0.49554962	209709.69	35563
150.9903	309.0	136.375	124.4375	0.49554962	209709.69	35563
171.5567	389.25	140.0	188.25	0.49554962	209709.69	35563
62.273495	274.0	109.1875	141.875	-0.49554962	209709.69	35563
109.30296	290.5	125.9375	110.8125	-0.49554962	209709.69	35563
246.33334	325.25	120.4375	129.625	0.49554962	209709.69	35563
144.43318	428.0	195.375	178.75	0.49554962	209709.69	35563
248.35478	379.25	135.25	176.75	0.49554962	209709.69	35563
110.86192	318.5	135.125	128.75	-0.49554962	209709.69	35563
161.43271	379.75	146.0	182.375	0.49554962	209709.69	35563
64.86869	463.0	202.625	187.125	0.49554962	209709.69	35563
288.56354	684.5	199.25	63.15625	0.49554962	209709.69	35563
82.4949	188.875	104.0625	79.0625	0.49554962	209709.69	35563
224.09555	342.5	126.75	122.375	-0.49554962	209709.69	35563
165.69153	548.5	147.25	212.25	-0.49554962	209709.69	35563
127.83193	313.25	134.75	141.125	-0.49554962	209709.69	35563
265.07275	397.25	113.875	163.0	0.49554962	209709.69	35563
178.22044	402.75	176.75	192.5	0.49554962	209709.69	35563
967.541	1134.0	302.75	432.25	0.49554962	209709.69	35563
701.2908	890.0	127.0625	93.1875	0.49554962	209709.69	35563
104.78784	398.0	150.0	200.375	0.49554962	209709.69	35563
100.24632	737.5	136.125	179.125	0.49554962	209709.69	35563
509.26178	587.0	190.0	284.0	0.49554962	209709.69	35563
199.07816	381.5	140.25	89.875	0.49554962	209709.69	35563
164.8621	322.25	167.875	148.875	-0.49554962	209709.69	35563
378.92477	497.0	183.0	203.625	-0.49554962	209709.69	35563
278.2966	518.0	168.625	197.625	0.49554962	209709.69	35563
141.53258	500.0	147.125	193.75	0.49554962	209709.69	35563
315.84198	377.75	152.25	183.0	0.49554962	209709.69	35563
338.72345	435.25	188.625	186.875	0.49554962	209709.69	35563
105.08921	368.5	177.75	164.375	-0.49554962	209709.69	35563
126.033104	422.0	134.125	194.0	0.49554962	209709.69	35563
261.62494	389.75	168.25	155.125	0.49554962	209709.69	35563
57.085472	242.75	100.5625	119.125	0.49554962	209709.69	35563
500.04666	1143.0	296.5	296.25	-0.49554962	209709.69	35563
167.75177	427.75	191.0	193.0	0.49554962	209709.69	35563
125.83206	269.0	121.0625	111.625	-0.49554962	209709.69	35563
66.31939	499.75	97.625	170.75	0.49554962	209709.69	35563
469.4206	460.75	128.25	158.75	0.49554962	209709.69	35563
309.82892	515.5	165.0	188.5	0.49554962	209709.69	35563
195.0255	357.75	130.875	140.5	0.49554962	209709.69	35563
453.45544	560.5	115.5625	143.875	0.49554962	209709.69	35563
192.42735	382.0	107.625	165.25	0.49554962	209709.69	35563
105.46379	584.5	211.375	186.75	0.49554962	209709.69	35563
412.70108	550.0	96.5	226.5	0.49554962	209709.69	35563
313.1382	507.25	149.625	157.0	-0.49554962	209709.69	35563
56.028206	347.75	204.75	151.75	0.49554962	209709.69	35563
273.95035	544.5	148.5	81.875	0.49554962	209709.69	35563
154.00314	478.0	130.375	186.25	0.49554962	209709.69	35563
261.1618	419.75	104.375	170.5	-0.49554962	209709.69	35563
151.12338	375.0	152.375	169.125	0.49554962	209709.69	35563
163.76761	446.25	164.0	158.125	0.49554962	209709.69	35563
346.33957	267.25	122.9375	113.5625	0.49554962	209709.69	35563
52.22073	465.75	158.0	200.625	0.49554962	209709.69	35563
95.032104	274.0	100.5625	127.6875	0.49554962	209709.69	35563
66.27702	385.5	113.0	185.125	0.49554962	209709.69	35563
136.40341	350.75	118.875	160.5	-0.49554962	209709.69	35563
188.71387	419.75	135.625	153.125	-0.49554962	209709.69	35563
59.006763	419.75	107.1875	161.875	0.49554962	209709.69	35563
96.33758	381.0	159.0	162.375	0.49554962	209709.69	35563
232.69302	623.0	171.5	258.25	0.49554962	209709.69	35563
94.72814	262.0	142.375	90.625	-0.49554962	209709.69	35563
157.09764	565.0	117.0625	169.75	0.49554962	209709.69	35563
205.88094	403.75	198.0	194.125	0.49554962	209709.69	35563
188.53278	468.5	130.5	180.375	0.49554962	209709.69	35563
428.07364	400.5	159.5	169.375	0.49554962	209709.69	35563
244.12326	416.5	145.75	150.625	0.49554962	209709.69	35563
232.59763	409.5	142.875	176.625	-0.49554962	209709.69	35563
135.9587	560.5	150.0	181.875	-0.49554962	209709.69	35563
137.3839	391.25	151.75	156.5	0.49554962	209709.69	35563
84.59429	732.0	268.0	180.25	-0.49554962	209709.69	35563
156.22383	436.0	171.625	151.75	0.49554962	209709.69	35563
422.20163	650.5	190.625	203.875	0.49554962	209709.69	35563
57.902847	441.0	187.75	207.75	0.49554962	209709.69	35563
350.80496	262.25	213.875	116.8125	0.49554962	209709.69	35563
205.1743	358.75	141.875	137.875	0.49554962	209709.69	35563
77.27866	527.0	184.0	232.125	-0.49554962	209709.69	35563
89.6449	426.75	120.6875	158.0	0.49554962	209709.69	35563
