lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
370.85547	441.25	157.375	226.875	0.005284793	404.65662	415
146.91179	490.0	226.25	209.125	-0.005284793	404.65662	415
353.26352	350.0	126.8125	125.3125	0.005284793	404.65662	415
299.646	403.25	185.875	176.375	0.005284793	404.65662	415
183.82368	251.375	156.75	89.4375	-0.005284793	404.65662	415
263.6082	353.25	105.875	143.75	-0.005284793	404.65662	415
101.764	408.5	142.0	176.0	0.005284793	404.65662	415
523.7456	680.0	153.0	173.875	-0.005284793	404.65662	415
77.56352	397.5	198.125	167.5	-0.005284793	404.65662	415
243.9886	313.5	108.3125	131.125	-0.005284793	404.65662	415
155.00381	417.75	133.125	137.25	-0.005284793	404.65662	415
436.75885	452.0	138.5	176.0	0.005284793	404.65662	415
568.5273	703.0	155.0	265.5	0.005284793	404.65662	415
271.57498	334.75	145.75	162.75	0.005284793	404.65662	415
248.7983	450.0	136.125	161.375	-0.005284793	404.65662	415
135.68726	400.5	196.25	173.375	0.005284793	404.65662	415
162.13501	400.5	170.875	168.875	-0.005284793	404.65662	415
192.98592	421.5	123.75	182.75	0.005284793	404.65662	415
252.35883	445.5	143.75	167.25	0.005284793	404.65662	415
56.65712	371.75	151.375	2.375	0.005284793	404.65662	415
429.7085	466.5	107.625	168.375	-0.005284793	404.65662	415
389.32703	444.5	118.6875	203.625	0.005284793	404.65662	415
214.76123	295.0	138.0	110.375	0.005284793	404.65662	415
207.76297	729.5	150.875	207.375	-0.005284793	404.65662	415
325.3894	395.75	193.375	149.75	0.005284793	404.65662	415
52.257412	254.75	140.0	108.75	0.005284793	404.65662	415
