lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
132.094	710.5	127.0	136.625	1.0	49000.0	1380
175.07047	972.0	131.0	184.5	1.0	49000.0	1380
473.7614	524.0	97.5625	92.6875	1.0	49000.0	1380
576.4724	953.5	92.1875	322.25	1.0	49000.0	1380
484.2865	877.0	110.125	65.1875	1.0	49000.0	1380
152.3503	565.0	130.375	2.9785156	1.0	49000.0	1380
209.36198	1258.0	96.5625	121.3125	1.0	49000.0	1380
277.14648	1033.0	57.25	192.75	1.0	49000.0	1380
822.2826	1388.0	184.75	187.375	1.0	49000.0	1380
116.63318	763.5	103.0625	78.0	1.0	49000.0	1380
407.3678	956.5	170.25	72.75	1.0	49000.0	1380
89.06979	577.5	86.4375	168.0	1.0	49000.0	1380
407.66486	1217.0	134.375	175.375	1.0	49000.0	1380
249.69308	637.0	138.875	195.625	1.0	49000.0	1380
114.773315	665.5	47.65625	161.375	1.0	49000.0	1380
115.93775	775.5	111.375	186.375	1.0	49000.0	1380
405.695	1201.0	47.03125	248.0	1.0	49000.0	1380
743.73584	990.5	40.0625	133.0	1.0	49000.0	1380
332.5247	1009.5	137.25	42.625	1.0	49000.0	1380
48.216084	493.75	58.875	194.25	1.0	49000.0	1380
143.29778	940.5	31.15625	84.75	1.0	49000.0	1380
67.98328	333.0	87.9375	118.5625	1.0	49000.0	1380
881.84753	1021.0	90.1875	19.65625	1.0	49000.0	1380
315.0305	1030.0	44.9375	169.5	1.0	49000.0	1380
87.59385	1078.0	66.8125	194.5	1.0	49000.0	1380
938.79065	1915.0	159.5	73.5	1.0	49000.0	1380
142.55565	814.5	57.125	170.375	1.0	49000.0	1380
93.12541	933.0	164.375	257.5	1.0	49000.0	1380
151.42036	870.5	58.09375	74.3125	1.0	49000.0	1380
195.43907	505.0	52.34375	139.25	1.0	49000.0	1380
131.41179	385.25	100.375	144.875	1.0	49000.0	1380
237.48474	1014.5	37.40625	183.625	1.0	49000.0	1380
261.0312	1142.0	76.25	111.3125	1.0	49000.0	1380
95.09805	888.0	62.84375	139.25	1.0	49000.0	1380
242.40549	931.5	143.375	161.125	1.0	49000.0	1380
83.44028	640.5	148.375	78.9375	1.0	49000.0	1380
147.91217	572.5	75.5	173.625	1.0	49000.0	1380
392.41623	683.5	171.875	142.625	1.0	49000.0	1380
102.0738	736.5	44.5	108.9375	1.0	49000.0	1380
413.03436	1164.0	82.25	131.625	1.0	49000.0	1380
252.6792	1225.0	72.9375	98.6875	1.0	49000.0	1380
213.59561	799.5	88.25	199.75	1.0	49000.0	1380
307.89517	816.5	70.8125	113.6875	1.0	49000.0	1380
51.95718	904.0	28.140625	127.5	1.0	49000.0	1380
272.34076	903.0	27.734375	90.3125	1.0	49000.0	1380
228.28099	432.0	34.65625	114.1875	1.0	49000.0	1380
235.36444	369.25	71.0	120.1875	1.0	49000.0	1380
401.26685	1086.0	34.6875	138.875	1.0	49000.0	1380
99.918564	813.0	101.625	171.875	1.0	49000.0	1380
70.77789	998.5	62.375	79.9375	1.0	49000.0	1380
247.18153	619.0	97.1875	19.859375	1.0	49000.0	1380
206.52899	555.5	217.125	209.375	1.0	49000.0	1380
73.27127	1057.0	80.5625	4.9960938	1.0	49000.0	1380
47.33655	484.5	122.4375	230.0	1.0	49000.0	1380
175.83215	761.0	101.6875	181.125	1.0	49000.0	1380
220.70563	812.5	48.71875	104.875	1.0	49000.0	1380
215.3248	875.5	140.375	134.0	1.0	49000.0	1380
118.494644	733.0	32.90625	190.125	1.0	49000.0	1380
496.50754	832.5	104.5625	193.25	1.0	49000.0	1380
675.7025	1700.0	288.75	168.5	1.0	49000.0	1380
122.93783	1069.0	63.5625	125.5	1.0	49000.0	1380
127.51491	867.5	34.125	67.8125	1.0	49000.0	1380
161.48041	829.5	25.28125	235.875	1.0	49000.0	1380
35.389954	947.5	63.1875	131.75	1.0	49000.0	1380
287.7186	903.5	34.90625	98.9375	1.0	49000.0	1380
506.25568	873.0	69.0625	69.0625	1.0	49000.0	1380
666.99756	1409.0	79.9375	152.25	1.0	49000.0	1380
148.5504	1005.0	103.375	183.375	1.0	49000.0	1380
148.67223	1249.0	58.71875	219.5	1.0	49000.0	1380
107.401726	720.0	43.09375	269.0	1.0	49000.0	1380
85.381256	982.5	102.1875	197.25	1.0	49000.0	1380
346.5724	887.5	73.0	168.875	1.0	49000.0	1380
48.076702	477.0	74.0	158.75	1.0	49000.0	1380
