lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
133.79945	352.0	151.0	154.0	1.0	370665.0	77280
114.992455	444.5	129.375	1.6806641	1.0	370665.0	77280
63.911163	600.5	44.5	6.1875	1.0	370665.0	77280
220.46979	474.0	182.75	236.875	1.0	370665.0	77280
272.6006	519.0	61.40625	82.5625	1.0	370665.0	77280
80.51735	468.25	135.625	6.8359375	1.0	370665.0	77280
93.24985	450.5	55.34375	57.65625	1.0	370665.0	77280
351.73074	655.0	99.75	220.625	1.0	370665.0	77280
414.5364	648.5	46.625	167.375	1.0	370665.0	77280
122.32743	404.5	157.25	113.75	1.0	370665.0	77280
211.80235	486.0	118.1875	158.0	1.0	370665.0	77280
120.73366	453.5	75.4375	3.8574219	1.0	370665.0	77280
289.40448	756.5	106.25	175.125	1.0	370665.0	77280
404.0601	557.0	58.0	197.25	1.0	370665.0	77280
117.51309	207.375	101.0625	67.8125	1.0	370665.0	77280
164.06882	524.5	180.375	209.875	1.0	370665.0	77280
153.5851	509.5	72.125	148.75	1.0	370665.0	77280
125.1533	466.5	82.125	183.625	1.0	370665.0	77280
428.29395	620.5	48.34375	3.3671875	1.0	370665.0	77280
518.486	667.0	114.4375	189.5	1.0	370665.0	77280
92.93966	441.0	79.0	197.0	1.0	370665.0	77280
109.0391	440.75	109.5	11.9296875	1.0	370665.0	77280
354.42975	622.5	81.125	173.875	1.0	370665.0	77280
149.85939	385.5	78.4375	8.421875	1.0	370665.0	77280
58.024776	333.0	50.5	151.0	1.0	370665.0	77280
60.735645	551.0	133.75	162.625	1.0	370665.0	77280
61.984055	511.75	47.53125	185.5	1.0	370665.0	77280
73.7752	590.5	167.625	190.875	1.0	370665.0	77280
67.20636	396.0	33.46875	99.6875	1.0	370665.0	77280
59.742943	603.0	108.8125	0.7001953	1.0	370665.0	77280
228.22281	466.25	141.75	2.1171875	1.0	370665.0	77280
71.85208	426.5	107.625	33.46875	1.0	370665.0	77280
124.65361	416.0	128.875	175.375	1.0	370665.0	77280
486.34784	510.25	87.875	181.25	1.0	370665.0	77280
64.341385	488.5	73.0625	116.25	1.0	370665.0	77280
622.4411	862.5	57.84375	75.625	1.0	370665.0	77280
394.38992	523.0	79.1875	99.75	1.0	370665.0	77280
520.3843	1072.0	74.9375	115.625	1.0	370665.0	77280
164.72366	528.0	118.1875	92.6875	1.0	370665.0	77280
97.27789	389.0	105.3125	142.875	1.0	370665.0	77280
66.35358	459.25	63.75	123.5	1.0	370665.0	77280
277.835	548.0	152.125	158.75	1.0	370665.0	77280
68.6769	415.5	83.375	0.26293945	1.0	370665.0	77280
77.475815	545.5	155.375	5.734375	1.0	370665.0	77280
92.76959	444.25	59.8125	6.40625	1.0	370665.0	77280
65.74809	604.0	52.71875	38.3125	1.0	370665.0	77280
308.42932	461.25	156.0	152.5	1.0	370665.0	77280
101.93534	483.25	80.25	149.0	1.0	370665.0	77280
148.32722	405.25	152.75	177.5	1.0	370665.0	77280
61.931255	546.0	178.125	179.5	1.0	370665.0	77280
131.16635	634.5	72.6875	3.625	1.0	370665.0	77280
152.40033	427.0	142.25	149.625	1.0	370665.0	77280
333.74225	551.0	32.4375	118.25	1.0	370665.0	77280
72.77379	512.0	117.75	11.7421875	1.0	370665.0	77280
67.93746	449.75	74.0625	170.25	1.0	370665.0	77280
101.21875	575.5	88.6875	260.75	1.0	370665.0	77280
171.2925	463.0	101.25	5.3476562	1.0	370665.0	77280
68.253044	444.25	42.6875	127.5	1.0	370665.0	77280
53.861855	263.0	131.5	96.0625	1.0	370665.0	77280
129.99643	350.25	46.53125	138.0	1.0	370665.0	77280
