lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
80.33589	351.0	28.015625	25.34375	0.49554962	209709.69	35563
116.50445	565.5	25.359375	184.75	0.49554962	209709.69	35563
197.15028	287.5	146.75	125.5	-0.49554962	209709.69	35563
223.4718	347.5	127.4375	144.75	0.49554962	209709.69	35563
289.1398	620.5	129.0	237.125	0.49554962	209709.69	35563
55.11097	330.25	120.8125	152.875	0.49554962	209709.69	35563
310.47345	589.0	133.625	183.75	0.49554962	209709.69	35563
120.30631	451.0	90.875	140.25	-0.49554962	209709.69	35563
141.66267	304.0	126.5625	91.125	-0.49554962	209709.69	35563
129.25258	256.5	92.0625	118.75	0.49554962	209709.69	35563
223.06387	691.0	95.75	315.25	0.49554962	209709.69	35563
137.60794	280.5	31.765625	62.625	-0.49554962	209709.69	35563
552.4154	602.5	49.53125	154.5	0.49554962	209709.69	35563
112.3893	268.25	98.1875	112.375	0.49554962	209709.69	35563
239.15201	397.25	108.0625	199.875	-0.49554962	209709.69	35563
345.52863	295.75	84.375	116.25	0.49554962	209709.69	35563
173.17342	424.75	146.75	94.3125	0.49554962	209709.69	35563
104.75744	265.5	101.9375	106.75	0.49554962	209709.69	35563
202.77687	331.5	121.25	151.125	0.49554962	209709.69	35563
390.83554	633.0	73.6875	168.75	0.49554962	209709.69	35563
66.03907	462.75	157.0	180.125	0.49554962	209709.69	35563
204.61519	235.375	49.96875	63.875	-0.49554962	209709.69	35563
146.44395	370.5	48.8125	160.25	0.49554962	209709.69	35563
59.71897	632.0	175.375	161.625	0.49554962	209709.69	35563
260.8735	431.5	53.09375	123.1875	0.49554962	209709.69	35563
101.66758	741.5	110.6875	232.25	0.49554962	209709.69	35563
262.1621	734.5	53.9375	95.3125	0.49554962	209709.69	35563
312.88177	340.25	69.25	152.25	0.49554962	209709.69	35563
170.2879	293.75	134.875	134.75	0.49554962	209709.69	35563
228.46957	286.5	114.375	118.8125	-0.49554962	209709.69	35563
65.43382	214.125	147.375	93.25	-0.49554962	209709.69	35563
141.78903	317.75	34.21875	117.5	0.49554962	209709.69	35563
389.6674	544.0	45.375	178.75	-0.49554962	209709.69	35563
372.1294	415.5	56.96875	80.9375	0.49554962	209709.69	35563
173.46576	285.75	128.375	103.5625	0.49554962	209709.69	35563
88.35316	289.5	66.375	113.6875	-0.49554962	209709.69	35563
182.7737	579.0	52.03125	148.25	0.49554962	209709.69	35563
309.33145	338.0	115.25	188.75	0.49554962	209709.69	35563
190.83554	563.5	78.6875	156.0	0.49554962	209709.69	35563
191.64615	265.75	79.6875	131.25	0.49554962	209709.69	35563
251.13707	256.75	108.4375	9.203125	0.49554962	209709.69	35563
251.88316	815.5	82.3125	152.5	0.49554962	209709.69	35563
210.21617	477.75	61.25	100.375	0.49554962	209709.69	35563
326.42065	409.75	48.625	98.625	0.49554962	209709.69	35563
351.51624	413.75	54.8125	78.4375	0.49554962	209709.69	35563
56.52421	301.0	118.8125	114.1875	0.49554962	209709.69	35563
59.655735	433.75	127.125	189.75	0.49554962	209709.69	35563
183.202	445.5	89.75	134.25	0.49554962	209709.69	35563
105.801956	420.75	109.8125	132.25	0.49554962	209709.69	35563
443.55984	635.5	176.375	166.75	0.49554962	209709.69	35563
121.3654	339.75	94.75	154.75	0.49554962	209709.69	35563
265.54422	336.0	113.8125	113.5	-0.49554962	209709.69	35563
222.57147	332.25	157.375	140.25	0.49554962	209709.69	35563
116.14508	547.0	85.875	94.3125	0.49554962	209709.69	35563
90.18656	556.5	133.0	171.25	0.49554962	209709.69	35563
393.4142	322.0	72.5625	117.8125	0.49554962	209709.69	35563
116.482796	311.0	103.6875	100.6875	-0.49554962	209709.69	35563
182.29915	368.25	86.5625	136.0	0.49554962	209709.69	35563
132.46667	382.25	26.875	144.5	0.49554962	209709.69	35563
314.58487	329.25	124.1875	162.75	0.49554962	209709.69	35563
71.436455	314.0	87.625	116.375	-0.49554962	209709.69	35563
135.5093	345.0	126.3125	134.75	0.49554962	209709.69	35563
220.8657	201.625	61.40625	107.375	0.49554962	209709.69	35563
293.49057	415.5	72.5	110.75	0.49554962	209709.69	35563
83.95237	269.0	41.59375	84.6875	-0.49554962	209709.69	35563
192.97498	556.0	75.6875	192.875	-0.49554962	209709.69	35563
171.7113	292.25	39.4375	117.4375	0.49554962	209709.69	35563
98.75594	442.0	169.625	168.25	-0.49554962	209709.69	35563
263.64948	408.75	83.375	190.875	0.49554962	209709.69	35563
172.81908	218.375	102.3125	96.9375	-0.49554962	209709.69	35563
73.535385	393.75	165.5	158.125	0.49554962	209709.69	35563
79.633965	293.75	123.5625	128.0	0.49554962	209709.69	35563
130.75537	324.25	53.71875	112.5	0.49554962	209709.69	35563
145.4663	298.25	83.375	112.1875	0.49554962	209709.69	35563
440.09094	529.5	150.875	190.0	0.49554962	209709.69	35563
129.71622	329.75	54.78125	126.875	-0.49554962	209709.69	35563
110.34284	353.25	76.25	132.375	0.49554962	209709.69	35563
71.199936	335.75	134.375	143.875	0.49554962	209709.69	35563
454.27716	455.75	130.75	179.625	0.49554962	209709.69	35563
118.85621	297.75	97.375	155.5	-0.49554962	209709.69	35563
286.68896	605.0	82.0625	167.75	-0.49554962	209709.69	35563
175.18143	480.25	34.875	197.375	-0.49554962	209709.69	35563
263.66684	241.375	124.0	93.3125	0.49554962	209709.69	35563
403.64258	889.0	65.625	200.75	0.49554962	209709.69	35563
105.92526	267.5	63.5625	106.875	0.49554962	209709.69	35563
231.03114	454.0	124.375	149.5	0.49554962	209709.69	35563
312.4502	383.25	33.75	131.75	0.49554962	209709.69	35563
107.417175	310.25	115.0625	61.28125	0.49554962	209709.69	35563
191.31583	387.75	26.421875	183.5	-0.49554962	209709.69	35563
279.57138	456.25	52.0625	155.625	0.49554962	209709.69	35563
313.63037	353.0	28.390625	121.1875	0.49554962	209709.69	35563
321.78445	368.75	115.1875	148.625	0.49554962	209709.69	35563
134.8245	273.5	96.1875	111.75	0.49554962	209709.69	35563
153.58025	510.5	44.15625	219.625	0.49554962	209709.69	35563
65.674446	375.5	110.875	97.0	0.49554962	209709.69	35563
141.3455	435.25	49.875	165.625	0.49554962	209709.69	35563
174.01521	229.25	67.6875	102.0	-0.49554962	209709.69	35563
177.46638	275.5	107.875	111.0625	0.49554962	209709.69	35563
178.48447	322.5	43.8125	106.5625	-0.49554962	209709.69	35563
241.75029	423.5	156.875	190.875	-0.49554962	209709.69	35563
216.83978	583.5	200.875	216.75	0.49554962	209709.69	35563
392.8439	656.5	53.6875	89.3125	0.49554962	209709.69	35563
447.7738	683.0	56.0625	85.875	0.49554962	209709.69	35563
103.96331	369.5	106.0625	155.375	-0.49554962	209709.69	35563
281.78073	447.25	159.75	175.25	0.49554962	209709.69	35563
87.825	466.75	114.1875	178.375	0.49554962	209709.69	35563
108.36651	202.5	74.0	79.8125	0.49554962	209709.69	35563
72.73794	200.0	40.3125	96.6875	0.49554962	209709.69	35563
127.535545	348.75	27.1875	116.625	0.49554962	209709.69	35563
113.07242	345.25	80.0	130.25	0.49554962	209709.69	35563
268.0626	381.5	79.9375	86.875	-0.49554962	209709.69	35563
167.6278	454.25	76.8125	177.625	0.49554962	209709.69	35563
90.70645	283.25	100.25	94.5	-0.49554962	209709.69	35563
188.4182	441.0	102.1875	180.375	0.49554962	209709.69	35563
91.73266	521.5	76.1875	143.375	0.49554962	209709.69	35563
94.79979	744.5	200.5	179.75	-0.49554962	209709.69	35563
521.66986	488.25	94.3125	121.0	-0.49554962	209709.69	35563
187.2363	649.5	113.0625	176.875	-0.49554962	209709.69	35563
46.38816	501.5	187.0	90.9375	0.49554962	209709.69	35563
537.2718	502.25	61.6875	116.25	0.49554962	209709.69	35563
132.10709	403.5	63.9375	105.5625	0.49554962	209709.69	35563
207.09578	329.5	132.0	133.875	-0.49554962	209709.69	35563
89.77851	474.75	98.5	1.90625	0.49554962	209709.69	35563
226.12943	411.75	41.09375	101.875	0.49554962	209709.69	35563
296.75848	570.5	91.8125	163.625	0.49554962	209709.69	35563
47.660095	475.0	132.25	209.125	0.49554962	209709.69	35563
211.08527	423.5	177.0	216.75	0.49554962	209709.69	35563
181.48961	264.75	50.625	118.3125	0.49554962	209709.69	35563
133.78218	551.5	130.5	177.5	0.49554962	209709.69	35563
218.93164	335.5	71.0625	126.0	0.49554962	209709.69	35563
212.16945	351.75	48.96875	131.75	0.49554962	209709.69	35563
103.135796	288.5	30.3125	129.75	0.49554962	209709.69	35563
143.68794	375.5	161.375	147.375	0.49554962	209709.69	35563
68.58036	367.5	147.875	183.875	0.49554962	209709.69	35563
90.85054	254.125	69.75	81.5625	0.49554962	209709.69	35563
162.59041	209.0	98.25	82.25	-0.49554962	209709.69	35563
178.5132	367.75	125.625	140.125	0.49554962	209709.69	35563
127.75364	406.0	185.75	174.0	-0.49554962	209709.69	35563
596.2374	447.5	35.5	129.625	-0.49554962	209709.69	35563
157.20193	322.5	37.6875	128.75	0.49554962	209709.69	35563
97.30034	567.0	27.359375	183.75	0.49554962	209709.69	35563
139.91566	688.5	167.25	205.125	-0.49554962	209709.69	35563
65.068146	379.25	43.53125	138.125	0.49554962	209709.69	35563
46.103832	251.375	86.875	104.4375	-0.49554962	209709.69	35563
42.236977	357.75	42.28125	164.0	0.49554962	209709.69	35563
277.13983	179.125	55.84375	-1.0	0.49554962	209709.69	35563
132.65111	333.5	86.375	130.25	-0.49554962	209709.69	35563
181.50764	398.25	112.375	157.625	0.49554962	209709.69	35563
55.331745	431.5	150.375	192.5	0.49554962	209709.69	35563
208.97203	467.0	72.3125	175.25	0.49554962	209709.69	35563
87.000916	491.0	172.0	193.0	-0.49554962	209709.69	35563
138.95587	219.5	42.4375	69.75	0.49554962	209709.69	35563
174.53464	368.75	106.5	161.75	-0.49554962	209709.69	35563
209.99536	409.5	113.625	175.875	0.49554962	209709.69	35563
86.873	309.25	59.15625	124.5	0.49554962	209709.69	35563
114.2367	371.75	172.125	185.125	-0.49554962	209709.69	35563
175.06436	672.5	99.9375	144.625	0.49554962	209709.69	35563
118.288605	511.5	77.25	164.0	0.49554962	209709.69	35563
92.139984	598.5	135.875	160.25	0.49554962	209709.69	35563
317.66095	557.5	137.0	145.0	0.49554962	209709.69	35563
163.01567	293.5	46.34375	140.25	0.49554962	209709.69	35563
189.0541	280.5	28.71875	95.0625	-0.49554962	209709.69	35563
262.4515	274.25	68.8125	115.3125	0.49554962	209709.69	35563
132.1625	536.0	26.015625	153.625	0.49554962	209709.69	35563
127.44715	379.0	29.875	159.875	-0.49554962	209709.69	35563
105.87365	471.5	62.5	177.875	0.49554962	209709.69	35563
71.195786	216.875	119.3125	105.5625	0.49554962	209709.69	35563
115.11271	332.25	135.375	136.5	-0.49554962	209709.69	35563
578.8651	435.25	186.625	204.75	0.49554962	209709.69	35563
159.36446	179.5	27.78125	-1.0	0.49554962	209709.69	35563
138.88528	293.75	61.21875	93.125	0.49554962	209709.69	35563
85.36329	268.25	57.46875	125.6875	0.49554962	209709.69	35563
192.7062	471.75	76.5625	5.5117188	0.49554962	209709.69	35563
223.31862	418.75	128.5	180.875	0.49554962	209709.69	35563
202.88753	426.75	107.0	178.75	0.49554962	209709.69	35563
409.35236	361.0	92.6875	130.0	0.49554962	209709.69	35563
66.10216	321.0	93.9375	137.625	-0.49554962	209709.69	35563
79.51424	375.0	115.9375	144.875	0.49554962	209709.69	35563
86.981094	712.0	191.375	171.25	0.49554962	209709.69	35563
69.04594	449.75	120.9375	177.0	0.49554962	209709.69	35563
177.30373	494.5	98.6875	122.25	0.49554962	209709.69	35563
418.79135	373.0	87.375	180.875	0.49554962	209709.69	35563
569.9531	697.5	47.46875	149.5	0.49554962	209709.69	35563
433.77893	652.5	68.25	180.5	0.49554962	209709.69	35563
208.95152	324.5	62.3125	110.6875	-0.49554962	209709.69	35563
112.07062	393.25	187.125	99.375	0.49554962	209709.69	35563
357.70993	494.5	47.09375	209.75	0.49554962	209709.69	35563
68.0697	436.0	107.6875	177.625	0.49554962	209709.69	35563
312.116	434.5	122.0	187.375	0.49554962	209709.69	35563
77.57759	461.75	87.1875	184.75	0.49554962	209709.69	35563
199.11215	511.25	43.8125	193.5	-0.49554962	209709.69	35563
88.9627	403.5	143.875	72.75	0.49554962	209709.69	35563
235.95648	323.5	81.125	168.875	0.49554962	209709.69	35563
69.14184	330.75	44.6875	90.4375	0.49554962	209709.69	35563
39.855064	506.5	174.5	228.0	0.49554962	209709.69	35563
56.169857	227.5	154.375	15.671875	0.49554962	209709.69	35563
367.95145	317.5	36.0625	74.3125	0.49554962	209709.69	35563
167.8645	272.0	127.1875	129.375	0.49554962	209709.69	35563
78.26774	381.5	74.9375	76.8125	0.49554962	209709.69	35563
554.7724	342.25	65.4375	180.125	0.49554962	209709.69	35563
37.906536	407.0	139.5	164.0	0.49554962	209709.69	35563
134.472	787.5	84.3125	184.5	-0.49554962	209709.69	35563
417.48615	471.5	37.03125	88.0625	0.49554962	209709.69	35563
100.08489	176.75	62.21875	-1.0	0.49554962	209709.69	35563
301.6501	662.0	59.375	203.5	0.49554962	209709.69	35563
257.43164	298.5	47.625	119.25	0.49554962	209709.69	35563
173.6186	1123.0	71.9375	217.0	0.49554962	209709.69	35563
192.93541	327.5	77.75	120.0625	0.49554962	209709.69	35563
219.55162	376.75	120.5625	184.5	0.49554962	209709.69	35563
106.07956	248.0	86.8125	106.625	0.49554962	209709.69	35563
132.82324	228.25	56.78125	64.1875	0.49554962	209709.69	35563
508.1224	749.5	136.375	85.8125	0.49554962	209709.69	35563
240.26375	659.0	68.9375	5.8671875	0.49554962	209709.69	35563
279.216	339.25	107.0625	107.9375	0.49554962	209709.69	35563
53.4488	670.5	174.0	223.75	0.49554962	209709.69	35563
117.55959	246.75	89.0625	111.5625	-0.49554962	209709.69	35563
69.71482	391.75	87.375	174.625	0.49554962	209709.69	35563
89.06364	496.0	73.5625	84.0	-0.49554962	209709.69	35563
141.29468	263.5	80.4375	125.875	-0.49554962	209709.69	35563
58.81415	924.5	27.890625	11.078125	0.49554962	209709.69	35563
212.81665	443.75	39.3125	158.625	0.49554962	209709.69	35563
143.00546	403.0	141.75	125.5	-0.49554962	209709.69	35563
219.07089	421.75	204.375	135.75	0.49554962	209709.69	35563
98.632256	585.0	87.625	164.25	-0.49554962	209709.69	35563
206.04068	481.75	98.6875	173.25	0.49554962	209709.69	35563
247.241	410.75	112.5625	163.0	-0.49554962	209709.69	35563
113.19778	380.0	113.0	136.75	0.49554962	209709.69	35563
292.51456	328.5	47.90625	132.125	-0.49554962	209709.69	35563
90.948906	402.25	91.5625	136.375	0.49554962	209709.69	35563
312.17154	571.0	166.875	181.375	0.49554962	209709.69	35563
258.85327	754.5	77.25	193.5	0.49554962	209709.69	35563
259.33463	285.75	98.125	124.25	0.49554962	209709.69	35563
59.55502	345.0	33.59375	97.0	-0.49554962	209709.69	35563
225.79977	254.125	44.625	100.25	0.49554962	209709.69	35563
196.28842	328.25	113.625	138.75	0.49554962	209709.69	35563
105.7915	649.0	64.125	201.25	-0.49554962	209709.69	35563
239.95134	456.25	90.9375	118.75	0.49554962	209709.69	35563
176.43214	490.75	30.765625	163.125	0.49554962	209709.69	35563
324.38293	370.75	109.3125	159.375	0.49554962	209709.69	35563
227.65007	435.0	41.59375	100.75	0.49554962	209709.69	35563
174.90987	692.0	106.125	177.5	0.49554962	209709.69	35563
234.67426	464.25	171.625	177.125	0.49554962	209709.69	35563
206.52658	486.5	108.6875	174.5	0.49554962	209709.69	35563
206.95338	604.0	120.9375	211.375	0.49554962	209709.69	35563
111.42382	246.625	44.4375	105.1875	-0.49554962	209709.69	35563
364.75293	704.0	75.25	167.125	-0.49554962	209709.69	35563
140.91324	652.5	86.875	184.0	-0.49554962	209709.69	35563
306.8239	395.0	94.3125	146.0	-0.49554962	209709.69	35563
489.1244	432.75	163.375	180.25	0.49554962	209709.69	35563
161.62988	224.875	47.90625	47.53125	-0.49554962	209709.69	35563
288.10547	312.75	58.65625	126.375	0.49554962	209709.69	35563
203.81133	303.25	105.625	101.625	0.49554962	209709.69	35563
209.08458	676.5	91.0	180.375	0.49554962	209709.69	35563
126.81063	423.5	62.65625	87.125	0.49554962	209709.69	35563
98.32036	270.75	36.53125	95.3125	0.49554962	209709.69	35563
115.16124	258.25	81.6875	119.6875	0.49554962	209709.69	35563
354.49188	562.0	177.375	155.5	0.49554962	209709.69	35563
244.80894	338.25	99.3125	126.375	0.49554962	209709.69	35563
420.025	362.25	87.5	143.375	0.49554962	209709.69	35563
301.83185	459.0	166.75	185.5	0.49554962	209709.69	35563
56.77502	237.375	63.40625	82.6875	0.49554962	209709.69	35563
136.29684	181.5	40.90625	-1.0	0.49554962	209709.69	35563
89.33754	235.75	105.0625	118.1875	0.49554962	209709.69	35563
113.996346	1024.0	94.5625	445.0	0.49554962	209709.69	35563
201.13042	638.0	85.0625	169.75	0.49554962	209709.69	35563
296.1929	631.5	113.25	198.25	0.49554962	209709.69	35563
203.76639	586.0	101.0625	199.0	-0.49554962	209709.69	35563
194.27876	273.75	90.6875	126.1875	-0.49554962	209709.69	35563
41.60778	212.625	80.5	82.0	0.49554962	209709.69	35563
97.794586	449.75	91.875	167.875	0.49554962	209709.69	35563
809.12726	811.5	33.84375	115.125	-0.49554962	209709.69	35563
373.79147	549.0	44.25	164.875	0.49554962	209709.69	35563
145.17458	368.5	129.125	132.0	0.49554962	209709.69	35563
77.07401	409.25	96.75	175.0	0.49554962	209709.69	35563
213.3463	362.5	109.0625	120.0625	0.49554962	209709.69	35563
124.436584	484.25	158.375	108.9375	-0.49554962	209709.69	35563
61.84431	599.5	30.140625	130.875	0.49554962	209709.69	35563
89.873215	285.75	41.84375	133.375	0.49554962	209709.69	35563
291.1175	463.75	104.125	170.875	0.49554962	209709.69	35563
128.61018	245.75	78.6875	108.125	0.49554962	209709.69	35563
451.08453	703.5	93.4375	131.75	0.49554962	209709.69	35563
105.462296	402.5	152.0	159.625	0.49554962	209709.69	35563
189.02203	233.875	64.125	109.8125	-0.49554962	209709.69	35563
69.67316	300.5	97.125	114.875	-0.49554962	209709.69	35563
159.20471	479.25	72.3125	170.375	0.49554962	209709.69	35563
319.5871	491.0	44.875	178.0	0.49554962	209709.69	35563
280.67233	331.25	72.0	7.46875	0.49554962	209709.69	35563
93.61366	473.0	91.3125	124.5	0.49554962	209709.69	35563
104.931595	245.25	34.875	94.9375	0.49554962	209709.69	35563
218.86409	317.75	89.625	4.953125	0.49554962	209709.69	35563
588.4553	781.5	56.125	185.125	0.49554962	209709.69	35563
125.71407	313.25	32.03125	136.5	0.49554962	209709.69	35563
182.87785	382.25	133.0	163.0	0.49554962	209709.69	35563
40.436085	435.75	140.5	190.75	0.49554962	209709.69	35563
183.62584	315.5	128.75	137.625	0.49554962	209709.69	35563
852.15765	806.5	73.4375	80.1875	0.49554962	209709.69	35563
272.77823	446.5	93.8125	205.0	0.49554962	209709.69	35563
325.11465	344.75	127.25	149.5	0.49554962	209709.69	35563
138.8221	386.25	82.375	156.125	0.49554962	209709.69	35563
97.32882	214.625	39.4375	89.0	0.49554962	209709.69	35563
62.273495	274.0	109.1875	141.875	-0.49554962	209709.69	35563
280.76276	277.75	92.5	141.125	0.49554962	209709.69	35563
517.30023	762.0	61.53125	199.375	-0.49554962	209709.69	35563
123.59503	312.0	87.1875	134.375	0.49554962	209709.69	35563
246.33334	325.25	120.4375	129.625	0.49554962	209709.69	35563
504.5347	338.75	67.8125	167.875	0.49554962	209709.69	35563
233.8192	500.5	125.4375	183.125	-0.49554962	209709.69	35563
82.4949	188.875	104.0625	79.0625	0.49554962	209709.69	35563
363.27728	586.5	118.75	127.6875	0.49554962	209709.69	35563
69.15335	292.75	56.8125	109.0625	0.49554962	209709.69	35563
162.44691	632.0	156.25	233.625	0.49554962	209709.69	35563
285.63596	457.5	44.03125	94.4375	0.49554962	209709.69	35563
192.31175	318.0	62.71875	121.25	-0.49554962	209709.69	35563
286.64597	350.5	56.90625	138.125	-0.49554962	209709.69	35563
88.98538	409.5	98.125	70.0625	-0.49554962	209709.69	35563
86.43987	481.25	101.1875	184.5	0.49554962	209709.69	35563
265.07275	397.25	113.875	163.0	0.49554962	209709.69	35563
118.2102	513.5	64.875	204.875	0.49554962	209709.69	35563
319.79742	189.25	147.5	-1.0	0.49554962	209709.69	35563
165.84668	444.75	92.4375	206.875	-0.49554962	209709.69	35563
89.91233	395.0	129.75	122.125	0.49554962	209709.69	35563
208.23264	270.0	33.625	106.5	0.49554962	209709.69	35563
170.12897	460.25	144.875	169.125	0.49554962	209709.69	35563
202.22371	478.0	82.625	135.25	0.49554962	209709.69	35563
701.2908	890.0	127.0625	93.1875	0.49554962	209709.69	35563
104.78784	398.0	150.0	200.375	0.49554962	209709.69	35563
208.72057	537.5	39.4375	157.0	0.49554962	209709.69	35563
130.6071	473.5	55.96875	174.75	0.49554962	209709.69	35563
199.07816	381.5	140.25	89.875	0.49554962	209709.69	35563
292.32068	348.75	161.125	176.25	0.49554962	209709.69	35563
164.8621	322.25	167.875	148.875	-0.49554962	209709.69	35563
66.5337	251.5	56.78125	108.4375	0.49554962	209709.69	35563
126.01639	592.5	103.5625	168.5	0.49554962	209709.69	35563
378.92477	497.0	183.0	203.625	-0.49554962	209709.69	35563
89.39993	342.0	102.8125	82.6875	0.49554962	209709.69	35563
103.59877	346.75	46.0625	108.25	0.49554962	209709.69	35563
58.799763	575.5	55.71875	191.75	0.49554962	209709.69	35563
429.51288	477.0	74.5625	110.125	-0.49554962	209709.69	35563
