lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
64.3358	266.25	89.25	120.75	2.8689086	256572.23	29118
166.27092	393.0	139.625	139.25	-2.8689086	256572.23	29118
143.87051	302.5	61.71875	106.9375	2.8689086	256572.23	29118
104.34936	293.25	53.125	105.5625	-2.8689086	256572.23	29118
71.7306	390.75	103.0625	182.625	-2.8689086	256572.23	29118
317.04788	577.5	73.375	104.0625	2.8689086	256572.23	29118
209.5766	476.5	85.75	146.875	-2.8689086	256572.23	29118
571.9767	967.5	134.5	193.25	2.8689086	256572.23	29118
87.745926	302.25	106.1875	69.625	2.8689086	256572.23	29118
114.52041	460.0	70.25	176.0	2.8689086	256572.23	29118
