lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
53.670563	595.5	85.125	20.984375	15.384004	6373515.0	855600
171.41676	431.75	98.4375	207.25	15.384004	6373515.0	855600
347.46405	392.5	112.875	169.125	15.384004	6373515.0	855600
355.57822	616.5	70.9375	135.375	-15.384004	6373515.0	855600
57.49958	239.625	127.0	5.4960938	15.384004	6373515.0	855600
230.2476	378.0	140.25	147.25	15.384004	6373515.0	855600
33.47372	338.5	114.3125	176.25	15.384004	6373515.0	855600
196.14505	252.0	64.25	85.1875	15.384004	6373515.0	855600
151.608	390.5	99.875	45.375	15.384004	6373515.0	855600
192.84607	173.25	79.8125	-1.0	15.384004	6373515.0	855600
236.91286	482.75	199.875	199.125	15.384004	6373515.0	855600
340.79166	407.5	92.6875	157.25	15.384004	6373515.0	855600
345.15002	357.25	125.0	110.4375	15.384004	6373515.0	855600
518.57684	874.5	97.5625	212.625	15.384004	6373515.0	855600
118.38911	261.5	121.75	102.375	15.384004	6373515.0	855600
311.93845	348.5	134.5	148.375	15.384004	6373515.0	855600
