lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
207.0684	464.75	96.0	99.5	8.513033	8573816.0	1213296
301.43112	442.5	119.9375	225.25	8.513033	8573816.0	1213296
404.3407	583.5	52.21875	100.5	-8.513033	8573816.0	1213296
97.6301	286.25	70.875	6.953125	8.513033	8573816.0	1213296
200.28618	374.5	84.75	93.625	8.513033	8573816.0	1213296
313.602	489.75	147.25	207.125	-8.513033	8573816.0	1213296
176.5139	295.75	142.125	142.25	-8.513033	8573816.0	1213296
158.99884	251.75	103.8125	107.4375	8.513033	8573816.0	1213296
86.33119	273.75	53.1875	112.8125	8.513033	8573816.0	1213296
230.64842	307.0	101.25	131.25	8.513033	8573816.0	1213296
122.23864	191.625	62.5625	71.625	-8.513033	8573816.0	1213296
238.15855	396.5	50.59375	140.5	-8.513033	8573816.0	1213296
51.304424	300.5	99.8125	94.1875	8.513033	8573816.0	1213296
252.6163	228.625	87.3125	116.0	-8.513033	8573816.0	1213296
431.17722	519.0	91.875	110.75	8.513033	8573816.0	1213296
98.87275	591.5	131.875	162.625	8.513033	8573816.0	1213296
236.93509	373.75	150.5	167.0	8.513033	8573816.0	1213296
333.14496	439.25	60.625	112.375	8.513033	8573816.0	1213296
65.340004	241.0	94.5	49.28125	8.513033	8573816.0	1213296
279.94568	295.75	82.1875	115.9375	8.513033	8573816.0	1213296
141.57379	253.0	126.4375	89.9375	8.513033	8573816.0	1213296
53.359573	245.0	100.8125	104.6875	8.513033	8573816.0	1213296
149.59535	254.0	83.8125	95.5625	-8.513033	8573816.0	1213296
400.70477	627.0	55.875	16.046875	8.513033	8573816.0	1213296
295.6973	472.0	139.875	158.5	8.513033	8573816.0	1213296
83.38057	296.75	80.3125	2.8613281	8.513033	8573816.0	1213296
172.74678	483.75	118.5625	196.875	8.513033	8573816.0	1213296
429.38184	434.0	130.625	203.75	8.513033	8573816.0	1213296
177.09676	287.5	52.65625	106.125	-8.513033	8573816.0	1213296
298.71478	351.0	84.6875	94.8125	8.513033	8573816.0	1213296
335.18393	426.5	81.6875	146.75	8.513033	8573816.0	1213296
188.73706	325.0	69.125	124.625	8.513033	8573816.0	1213296
